N	3gram	Bakhtin_sl_2	SlovoVZh
1	по отношению к	4	11
2	не может быть	15	7
3	в том что	4	4
4	и не может	1	3
5	тем не менее	1	3
6	может быть и	2	3
7	до сих пор	2	3
8	это как бы	1	3
9	и не в	1	3
10	смысл и значение	1	2
11	с другой стороны	1	2
12	что не может	1	2
13	одной стороны и	3	2
14	с точки зрения	3	2
15	в зависимости от	4	2
16	до известной степени	1	2
17	мы можем сказать	1	2
18	лежит на границе	2	2
19	только в процессе	1	2
20	в отношении к	4	2
21	не довлеет себе	1	2
22	выходят за пределы	1	2
23	с одной стороны	5	2
24	тех или иных	1	1
25	независимо от него	1	1
26	но прежде всего	2	1
27	том что в	1	1
28	высказывания как бы	1	1
29	и в поэзии	1	1
30	но все же	4	1
31	в пространстве и	1	1
32	как например в	1	1
33	в чем не	2	1
34	как и слово	1	1
35	в нашем случае	1	1
36	имеет дело с	1	1
37	довлеет себе оно	1	1
38	все более и	1	1
39	в этом направлении	1	1
40	суждения и оценки	1	1
41	более или менее	2	1
42	друг к другу	1	1
43	во всяком случае	2	1
44	мы уже сказали	1	1
45	истории литературы и	1	1
46	словом и его	1	1
47	свое выражение в	1	1
48	между тем как	1	1
49	не могут выйти	1	1
50	может опираться на	1	1
51	в частности в	1	1
52	хотя бы только	1	1
53	сих пор не	2	1
54	и точек зрения	1	1
55	ни в чем	2	1
56	как уже сказано	2	1
57	сами по себе	1	1
58	для нас и	1	1
59	особенно важное значение	1	1
60	в свою очередь	2	1
61	но и в	1	1
62	в них и	1	1
63	в истории литературы	2	1
64	о том что	1	1
65	но все это	1	1
66	в этом отношении	3	1
67	с самого начала	1	1
68	обстоит дело и	1	1
69	более и более	1	1
70	то же время	4	1
71	как мы уже	2	1
72	включает в себя	2	1
73	себя в слове	1	1
74	раз подчеркнуть что	1	1
75	в лучшем случае	1	1
76	и в истории	2	1
77	человек и его	12	1
78	со всех сторон	1	1
79	в процессе этого	1	1
80	может быть только	1	1
81	у него свое	1	1
82	в то же	4	1
83	говорит о том	1	1
84	все зависит от	1	1
85	она имеет дело	1	1
86	еще раз подчеркнуть	1	1
87	как не может	1	1
88	в такой степени	1	1
89	в значительной степени	6	1
90	сама по себе	3	1
91	и оценки относятся	1	1
92	и самое слово	1	1
93	и в нем	1	1
94	она не может	1	1
95	как и в	1	1
96	но в то	3	1
97	с другими социальными	1	1
98	мы увидим что	1	1
99	и с другой	1	1
