N	2gram	Medvedev_F_3	Analitik
1	художественной реальности	1	20
2	в этом	18	18
3	и в	27	16
4	литературного произведения	4	16
5	в частности	1	16
6	не только	9	16
7	так и	21	15
8	как и	14	14
9	и не	30	12
10	в том	7	12
11	но и	10	12
12	том что	4	12
13	в качестве	1	11
14	при этом	8	10
15	могут быть	4	10
16	а не	17	10
17	как бы	8	10
18	и даже	2	9
19	лишь в	9	9
20	ничего не	2	9
21	в этой	2	9
22	в пределах	8	9
23	в целом	4	8
24	отнюдь не	8	8
25	в данном	6	8
26	в себе	3	7
27	то что	8	7
28	к тому	4	7
29	о том	4	7
30	говорить о	2	6
31	как это	4	6
32	в мире	1	6
33	в самом	11	6
34	и на	3	6
35	но в	6	6
36	может быть	25	6
37	с другой	6	6
38	данном случае	4	5
39	говорит о	1	5
40	произведения в	6	5
41	в контексте	1	5
42	как система	2	5
43	с одной	1	5
44	в сторону	2	5
45	но не	5	4
46	можно сказать	3	4
47	того же	3	4
48	не может	24	4
49	отношению к	3	4
50	и является	4	4
51	не менее	7	4
52	все это	7	4
53	точки зрения	16	4
54	в сознании	1	4
55	как раз	8	4
56	не в	12	4
57	тем самым	1	4
58	не так	1	4
59	в конце	3	4
60	во всех	3	4
61	для него	1	4
62	в себя	1	4
63	не с	1	4
64	то же	15	4
65	за пределы	2	4
66	по отношению	3	4
67	между двумя	1	4
68	и его	19	4
69	в сущности	2	4
70	имеет место	3	4
71	хотя и	1	4
72	только в	8	4
73	уже не	3	4
74	только не	2	4
75	и тем	3	4
76	внутренней речи	2	4
77	совпадает с	2	4
78	на этом	2	4
79	столь же	3	4
80	этом случае	1	4
81	одной стороны	1	4
82	как в	4	4
83	в своем	2	4
84	его от	2	3
85	в словах	1	3
86	как мы	8	3
87	не знает	1	3
88	на себе	1	3
89	бы в	6	3
90	место в	10	3
91	прежде всего	4	3
92	высказывания в	1	3
93	и все	8	3
94	есть в	1	3
95	ключ к	1	3
96	проявляется в	2	3
97	я и	1	3
98	романа в	3	3
99	так что	1	3
100	в их	1	3
101	случае в	3	3
102	как о	2	3
103	а в	1	3
104	в нашем	1	3
105	в эту	2	3
106	сводится к	5	3
107	одной из	2	3
108	литературное произведение	3	3
109	той или	1	3
110	автора и	1	3
111	никогда не	5	3
112	тем что	5	3
113	тем не	2	3
114	ему в	1	3
115	со стороны	4	3
116	если бы	12	3
117	не был	1	3
118	этого слова	2	3
119	именно в	1	3
120	того или	1	3
121	этом отношении	3	3
122	что и	2	3
123	и если	1	3
124	в результате	5	3
125	в действительности	9	3
126	подобно тому	4	3
127	или иного	1	3
128	мы имеем	1	3
129	и то	1	3
130	было бы	6	3
131	одного из	1	3
132	только на	4	3
133	тому как	5	3
134	или иной	2	3
135	на фоне	3	3
136	из них	2	3
137	можно было	1	3
138	в речи	1	3
139	языка и	1	2
140	для всех	1	2
141	в значительной	1	2
142	еще не	6	2
143	во времени	1	2
144	и иной	2	2
145	на то	1	2
146	в двух	1	2
147	так же	9	2
148	и для	6	2
149	в поэзии	3	2
150	и их	5	2
151	самого рассказывания	1	2
152	а то	1	2
153	в нас	2	2
154	вовсе не	28	2
155	была бы	2	2
156	таким образом	18	2
157	из своих	2	2
158	ведь это	1	2
159	в произведении	3	2
160	т е	32	2
161	строго говоря	1	2
162	с ним	1	2
163	и во	2	2
164	даже в	2	2
165	или напротив	1	2
166	дело не	2	2
167	и романа	1	2
168	в своей	6	2
169	по себе	4	2
170	вследствие этого	3	2
171	в одном	1	2
172	те же	3	2
173	же время	7	2
174	его в	7	2
175	на протяжении	2	2
176	или даже	1	2
177	отношения к	2	2
178	таком случае	1	2
179	и второй	1	2
180	с той	1	2
181	вместе с	6	2
182	что в	8	2
183	этом смысле	2	2
184	и внутренне	1	2
185	превращается в	2	2
186	здесь в	1	2
187	того что	3	2
188	аналогичным образом	1	2
189	в таком	2	2
190	или иных	1	2
191	произведения как	6	2
192	это только	2	2
193	между тем	7	2
194	еще более	1	2
195	к своему	1	2
196	значительной степени	1	2
197	в его	7	2
198	тех или	1	2
199	в этих	3	2
200	вообще не	2	2
201	с точки	14	2
202	на него	1	2
203	е к	1	2
204	целого и	1	2
205	высказывания и	5	2
206	одну из	2	2
207	же является	2	2
208	с ее	2	2
209	отличие от	2	2
210	к внутреннему	1	2
211	к его	3	2
212	в то	7	2
213	частности в	1	2
214	художественное восприятие	1	2
215	один из	1	2
216	за пределами	1	2
217	на основе	1	2
218	при таком	1	2
219	он был	4	2
220	о чем	1	2
221	той же	3	2
222	художественного высказывания	1	2
223	не о	3	2
224	теми же	1	2
225	с их	1	2
226	другой стороны	5	2
227	в котором	2	2
228	этих случаях	1	2
229	ни с	2	2
230	художественного произведения	7	2
231	которые и	1	2
232	в отличие	2	2
233	она не	4	2
234	он не	1	2
235	роль в	4	2
236	же не	1	2
237	в одну	1	2
238	композиции как	1	2
239	в общем	2	2
240	одно из	1	2
241	еще в	3	2
242	или точнее	2	2
243	переходит от	1	2
244	художественного восприятия	2	2
245	ведь и	1	2
246	по существу	1	2
247	не следует	3	2
248	и до	1	2
249	себя в	1	2
250	сказать что	3	2
251	жизнью и	2	2
252	к этому	2	2
253	что она	2	2
254	но эта	2	2
255	никак не	3	2
256	художественная реальность	2	2
257	так например	1	2
258	том или	1	2
259	он и	3	2
