N	2gram	Nazirov_Vr_1	Formalny
1	т е	3	34
2	и в	8	24
3	в его	3	23
4	прежде всего	1	22
5	и не	5	20
6	так и	1	18
7	точки зрения	2	16
8	не может	2	16
9	в этом	8	15
10	в нем	6	14
11	может быть	4	14
12	таким образом	2	13
13	с точки	2	13
14	в своем	3	11
15	как и	6	11
16	в своей	2	11
17	в их	1	11
18	не менее	2	11
19	в ней	4	10
20	то же	5	10
21	и ее	2	10
22	и его	3	10
23	и их	1	10
24	в то	5	9
25	в процессе	1	9
26	все это	4	9
27	как в	1	8
28	и с	6	8
29	же время	5	8
30	в ее	1	8
31	именно в	1	8
32	то что	7	8
33	в свою	2	8
34	с ее	1	7
35	не только	9	7
36	место в	2	7
37	не должна	1	7
38	жизни и	1	7
39	до конца	1	7
40	и от	1	7
41	но и	7	7
42	отношения к	2	6
43	еще не	2	6
44	отнюдь не	2	6
45	в целом	1	6
46	в этой	2	6
47	как бы	4	6
48	свою очередь	1	6
49	на основе	2	6
50	до сих	1	6
51	в том	3	6
52	было бы	1	6
53	сих пор	1	6
54	и все	7	6
55	а в	2	6
56	во всех	1	5
57	одним словом	1	5
58	но в	6	5
59	в самом	1	5
60	при этом	4	5
61	не могло	1	5
62	в литературе	1	5
63	того что	1	5
64	с другой	1	5
65	с его	3	4
66	в истории	4	4
67	независимо от	1	4
68	в мире	2	4
69	как о	1	4
70	друг друга	1	4
71	как на	1	4
72	никогда не	2	4
73	всяком случае	1	4
74	в связи	3	4
75	в частности	1	4
76	быть и	1	4
77	что в	7	4
78	к этой	1	4
79	так же	4	4
80	во всяком	1	4
81	это и	1	3
82	но не	1	3
83	отношение к	2	3
84	как к	1	3
85	все же	6	3
86	целый ряд	4	3
87	и как	3	3
88	и наконец	1	3
89	и отчасти	1	3
90	в себе	2	3
91	их отношения	1	3
92	он не	3	3
93	всех этих	1	3
94	его в	3	3
95	в жизни	1	3
96	в них	2	3
97	они не	1	3
98	тем самым	1	3
99	но для	1	3
100	связи с	3	3
101	отличается от	1	3
102	ясно что	1	3
103	жизнь и	1	3
104	критика и	1	3
105	бы в	1	3
106	один из	1	3
107	особенно резко	1	3
108	для него	2	3
109	в особенности	1	3
110	и даже	6	3
111	не было	5	3
112	в россии	5	3
113	в основном	1	3
114	но это	2	3
115	более того	1	3
116	с помощью	1	3
117	же в	2	3
118	а н	2	3
119	что он	4	3
120	же как	2	2
121	и это	2	2
122	в году	18	2
123	литературой в	1	2
124	идет о	1	2
125	с этим	1	2
126	в него	2	2
127	эту проблему	1	2
128	не могла	1	2
129	но ведь	1	2
130	это не	4	2
131	в эту	2	2
132	у тургенева	11	2
133	раз и	1	2
134	произведения это	1	2
135	только не	1	2
136	следовательно и	1	2
137	ничего не	1	2
138	одна из	2	2
139	за исключением	1	2
140	во всем	1	2
141	от того	1	2
142	его с	2	2
143	не есть	1	2
144	на нее	1	2
145	не с	1	2
146	еще в	1	2
147	с ним	4	2
148	и что	8	2
149	единства и	1	2
150	все в	1	2
151	и лишь	1	2
152	между тем	5	2
153	во всей	1	2
154	в другой	1	2
155	уже не	2	2
156	чтобы он	3	2
157	в душе	1	2
158	его и	2	2
159	в одном	1	2
160	как раз	2	2
161	и самый	1	2
162	под влиянием	1	2
163	вместе с	2	2
164	ко всем	1	2
165	литературе и	1	2
166	мире а	1	2
167	к которому	1	2
168	в своих	4	2
169	отношении к	1	2
170	только как	1	2
171	влияния на	1	2
172	а между	1	1
173	можно говорить	1	1
174	этого в	1	1
175	также и	1	1
176	начинается с	1	1
177	литературе эта	1	1
178	себя как	1	1
179	к вопросу	1	1
180	прочим и	1	1
181	и есть	1	1
182	художник а	1	1
183	по преимуществу	1	1
184	также что	1	1
185	высшей степени	1	1
186	едва ли	1	1
187	и этот	1	1
188	той же	1	1
189	содержания в	1	1
190	развитие в	1	1
191	это отношение	1	1
192	х годов	4	1
193	в составе	1	1
194	ему в	1	1
195	это время	1	1
196	не был	1	1
197	в чем	3	1
198	и всего	1	1
199	совершенно прав	1	1
200	совсем не	1	1
201	тогда как	2	1
202	образ базарова	1	1
203	и речи	1	1
204	среде но	1	1
205	как нам	1	1
206	хотя и	1	1
207	так при	1	1
208	в этот	3	1
209	то в	1	1
210	в условиях	1	1
211	мы получаем	1	1
212	так в	2	1
213	как он	1	1
214	на то	3	1
215	тем не	1	1
216	в первой	1	1
217	этот процесс	1	1
218	о новом	1	1
219	ее своей	1	1
220	нашего времени	2	1
221	людей и	1	1
222	ним на	1	1
223	это конечно	1	1
224	из-за этого	1	1
225	входя в	1	1
226	заключается в	1	1
227	время и	2	1
228	этом романе	1	1
229	этом смысле	1	1
230	в итоге	1	1
231	в высшей	1	1
232	далеко не	3	1
233	этого не	1	1
234	и уже	3	1
235	он и	1	1
236	такой же	1	1
237	не мог	2	1
238	этот материал	1	1
239	в этих	1	1
240	или вообще	1	1
241	можно найти	1	1
242	в котором	6	1
243	а от	1	1
244	этому же	1	1
245	своего рода	1	1
246	в силу	1	1
247	но он	3	1
248	к реальному	1	1
249	есть еще	1	1
250	через два	1	1
251	сам этот	1	1
252	всех их	1	1
253	литературной среде	1	1
254	человека но	1	1
255	отражает и	1	1
256	в обоих	1	1
257	в русской	3	1
258	не имеет	1	1
259	той духовной	1	1
260	если в	1	1
261	говорить о	1	1
262	не лучше	1	1
263	правда в	1	1
264	это то	1	1
265	между нами	1	1
266	он хочет	1	1
267	по своей	1	1
268	тургенева не	1	1
269	п в	2	1
270	потому что	1	1
271	же он	1	1
272	в роман	2	1
273	было не	1	1
274	этом отношении	1	1
275	эту сторону	1	1
276	и из	1	1
277	в духе	1	1
278	конечно гораздо	1	1
279	могут быть	1	1
280	вопрос и	1	1
281	мысли на	2	1
282	ничего общего	1	1
283	правда не	1	1
284	и о	3	1
285	только при	1	1
286	тем это	1	1
287	роль в	1	1
288	что у	3	1
289	было в	1	1
290	во многом	4	1
291	художником в	1	1
292	его жизни	1	1
293	а также	2	1
294	от них	1	1
295	и во	3	1
296	в форме	1	1
297	вслед за	1	1
298	в свете	1	1
299	и самые	1	1
300	к нему	1	1
301	от этой	1	1
302	романа и	1	1
303	проникнуть в	1	1
304	по мнению	2	1
305	в предисловии	1	1
306	свил себе	1	1
307	а белого	1	1
308	из которого	1	1
309	сколько в	1	1
310	для всех	1	1
311	в сторону	1	1
312	себя в	1	1
313	а это	1	1
314	из них	2	1
315	мы знаем	2	1
316	никто не	1	1
317	у него	5	1
318	связан с	1	1
319	материал и	1	1
320	в н	1	1
321	что они	1	1
322	к роману	1	1
323	характерно для	1	1
324	во второй	1	1
325	быть прежде	1	1
326	а с	2	1
327	что для	1	1
328	у человека	1	1
329	одну из	1	1
330	несмотря на	4	1
331	развиваться в	1	1
332	по праву	1	1
333	его на	2	1
334	из которых	1	1
335	по своему	1	1
336	не дают	1	1
337	наряду с	3	1
338	в той	2	1
339	во все	1	1
340	что же	1	1
341	автором на	1	1
342	что как	1	1
343	тех пор	1	1
344	в это	2	1
345	между прочим	1	1
346	романа с	1	1
347	в недрах	1	1
348	том что	3	1
349	ее и	1	1
350	для нас	4	1
351	романа в	1	1
352	которую он	1	1
353	в литературной	1	1
354	еще более	1	1
355	тем более	2	1
356	только что	1	1
357	гораздо больше	1	1
358	а о	1	1
359	другой стороны	1	1
360	далее он	1	1
361	уже лет	1	1
362	обычно не	1	1
363	о себе	3	1
364	автора в	1	1
365	партии и	1	1
366	из этого	1	1
367	себе не	1	1
368	это в	2	1
369	к этому	3	1
