N	2gram	Losev_Dial_2	Stilisti
1	и в	19	42
2	не только	19	27
3	как бы	14	27
4	прежде всего	8	22
5	хотя бы	4	17
6	но и	12	15
7	то же	12	15
8	и не	30	14
9	не может	9	12
10	может быть	20	12
11	как и	10	11
12	мы уже	8	11
13	точки зрения	12	11
14	и как	10	10
15	как мы	3	10
16	в этом	8	10
17	отнюдь не	6	10
18	мы должны	2	10
19	что мы	2	10
20	при этом	4	9
21	мы не	1	9
22	то что	14	9
23	в то	6	9
24	в себе	15	8
25	все же	4	8
26	таким образом	4	8
27	с тем	2	8
28	что же	2	8
29	в ней	2	8
30	и это	5	8
31	в которой	2	7
32	же время	5	7
33	потому что	14	7
34	а не	16	7
35	и от	3	7
36	и его	5	7
37	зависимости от	2	7
38	ничего не	3	7
39	никогда не	9	7
40	только в	5	7
41	и тем	1	7
42	в зависимости	2	7
43	и на	1	7
44	мы можем	1	7
45	было бы	3	7
46	так как	14	7
47	на его	2	6
48	так и	10	6
49	или как	3	6
50	в нем	10	6
51	не в	8	6
52	когда мы	3	6
53	в конце	2	6
54	во всех	2	6
55	но ведь	2	6
56	в этой	3	6
57	мы будем	1	6
58	в области	2	6
59	или иной	1	6
60	же мы	3	5
61	и с	5	5
62	одно и	4	5
63	и их	3	5
64	как это	7	5
65	того или	2	5
66	те же	1	5
67	независимо от	4	5
68	вместе с	2	5
69	в той	3	5
70	слова и	1	5
71	своей жизни	1	5
72	в живом	1	5
73	в его	1	5
74	тому что	2	5
75	мы никогда	1	5
76	а в	4	5
77	с точки	8	5
78	у которого	1	5
79	или иного	1	5
80	уже в	4	5
81	и следовательно	5	5
82	же самое	2	5
83	которой мы	1	4
84	можно сказать	5	4
85	так же	2	4
86	не забудем	1	4
87	что это	10	4
88	всех своих	1	4
89	так сказать	1	4
90	его в	3	4
91	были бы	1	4
92	ту или	1	4
93	того что	6	4
94	но все	2	4
95	и к	7	4
96	все время	3	4
97	к тому	2	4
98	в каждом	2	4
99	уже не	3	4
100	не существует	1	4
101	что именно	1	4
102	в самом	5	4
103	не что	3	4
104	с самого	2	4
105	мы видим	2	4
106	не просто	12	4
107	мы называем	1	4
108	но в	2	4
109	на него	2	4
110	или иную	1	4
111	о том	5	4
112	все это	4	4
113	себя в	2	4
114	самом деле	4	4
115	и пр	5	4
116	тем же	2	4
117	и то	7	4
118	точка зрения	1	4
119	если мы	2	4
120	самого начала	2	4
121	той или	4	4
122	нуждается в	3	3
123	или иное	4	3
124	и здесь	1	3
125	не знает	1	3
126	еще не	4	3
127	и вот	4	3
128	конце концов	1	3
129	жизни и	6	3
130	как таковой	4	3
131	в разных	3	3
132	главным образом	1	3
133	не к	1	3
134	мертвых душ	1	3
135	связи с	4	3
136	но при	1	3
137	и все	12	3
138	забудем что	1	3
139	этом мы	1	3
140	что у	2	3
141	что такое	3	3
142	его и	1	3
143	уже видели	1	3
144	в тех	2	3
145	от того	4	3
146	та же	4	3
147	через нее	1	3
148	об этом	3	3
149	то или	4	3
150	если он	1	3
151	слово и	1	3
152	расстояние между	1	3
153	в виду	5	3
154	необходимо чтобы	2	3
155	в ее	4	3
156	но вот	2	3
157	на самом	2	3
158	нет и	1	3
159	это не	10	3
160	и даже	14	3
161	тех или	2	3
162	и поэтому	1	3
163	в целом	1	3
164	что оно	4	3
165	да и	6	3
166	сказать что	10	3
167	мы в	2	3
168	как только	3	3
169	представить себе	1	3
170	из них	3	3
171	в котором	1	3
172	не будет	2	3
173	только благодаря	1	3
174	слова о	1	3
175	в одном	4	3
176	содержание и	1	3
177	что и	5	3
178	их в	2	3
179	бы мы	1	3
180	но что	7	3
181	короче говоря	1	3
182	и уже	3	3
183	может стать	1	3
184	будем говорить	2	3
185	конечно не	6	3
186	только на	1	3
187	перед нами	2	3
188	ни на	2	3
189	и эта	1	3
190	том что	10	3
191	но для	1	3
192	все эти	2	2
193	но не	6	2
194	вопрос о	3	2
195	в связи	4	2
196	или в	2	2
197	что то	1	2
198	и ни	1	2
199	не должно	2	2
200	только тогда	7	2
201	это слово	1	2
202	еще и	1	2
203	здесь не	1	2
204	это выражение	1	2
205	есть не	7	2
206	человека и	2	2
207	не было	3	2
208	друг другу	1	2
209	зависит от	2	2
210	в нас	1	2
211	гораздо более	1	2
