N	3gram	Propp_Russ_1	Literetu
1	в том что	15	11
2	состоит в том	8	5
3	в отличие от	1	5
4	в данном случае	1	4
5	не только в	1	4
6	в связи с	4	4
7	в е годы	2	2
8	по отношению к	1	2
9	подобно тому как	1	2
10	дело не только	1	2
11	с точки зрения	3	2
12	в этом отношении	1	2
13	во всяком случае	1	2
14	о том что	4	2
15	тем не менее	3	2
16	может быть назван	1	1
17	только потому что	1	1
18	является по преимуществу	1	1
19	иметь в виду	1	1
20	на самом деле	1	1
21	на то что	1	1
22	во многих случаях	2	1
23	и не только	1	1
24	как это ни	1	1
25	можно было бы	1	1
26	это приводит к	1	1
27	по этому поводу	2	1
28	в это время	2	1
29	тогда как в	1	1
30	и что ему	1	1
31	еще и в	1	1
32	по существу в	1	1
33	в нашей стране	1	1
34	в жизни человека	1	1
35	в равной степени	2	1
36	и в этом	1	1
37	в целом ряде	1	1
38	одно из них	1	1
39	ничего общего с	1	1
40	в россии в	1	1
41	в свою очередь	2	1
42	и того же	1	1
43	не только на	2	1
44	при этом не	1	1
45	но все же	2	1
46	одного и того	1	1
47	во второй половине	1	1
48	в большинстве случаев	2	1
49	быть не может	1	1
50	как мы знаем	1	1
51	в один из	1	1
