N	2gram	Berdyaev_V_1	TeoriaLi
1	в мире	5	24
2	не только	2	18
3	тогда как	1	16
4	и не	20	16
5	я в	1	16
6	а в	2	14
7	и в	16	13
8	так и	4	12
9	то есть	1	12
10	может быть	1	12
11	в этом	4	11
12	в том	3	11
13	но не	2	10
14	а не	7	10
15	то же	1	9
16	в его	4	9
17	что в	3	8
18	но и	5	8
19	как это	1	7
20	только в	2	7
21	том что	2	7
22	еще не	8	6
23	лишь в	3	6
24	с его	3	6
25	но в	3	6
26	как бы	5	6
27	как и	4	5
28	в нем	4	5
29	не в	3	5
30	в искусстве	1	5
31	в ее	1	5
32	между тем	2	5
33	уже не	2	5
34	в самом	1	5
35	не случайно	1	5
36	с другой	1	5
37	как в	1	5
38	в своем	1	5
39	в форме	2	4
40	говорить о	4	4
41	по пути	5	4
42	в своей	3	4
43	в их	1	4
44	отношение к	1	4
45	хотя и	5	4
46	то что	9	4
47	мира и	1	4
48	ни в	3	4
49	личности и	3	4
50	и ее	1	4
51	все эти	3	3
52	и вот	1	3
53	в противоположность	1	3
54	прежде всего	2	3
55	в этой	1	3
56	и внешней	1	3
57	для него	2	3
58	того что	5	3
59	потому что	4	3
60	в этих	3	3
61	и сам	2	3
62	нового времени	1	3
63	и потому	7	3
64	со своей	1	3
65	а с	2	3
66	другой стороны	1	3
67	этого слова	1	3
68	и что	3	3
69	человека к	1	3
70	никогда не	3	3
71	и то	2	3
72	мира в	2	3
73	и по	1	3
74	в которой	1	2
75	но она	1	2
76	что они	7	2
77	и тем	1	2
78	так же	1	2
79	и для	3	2
80	о своем	1	2
81	человеческой жизни	1	2
82	вовсе не	1	2
83	вслед за	2	2
84	этом мире	1	2
85	к нему	1	2
86	в конце	3	2
87	во всех	3	2
88	слова не	1	2
89	жизни в	1	2
90	вместе с	1	2
91	к жизни	1	2
92	жизни но	1	2
93	в себя	2	2
94	но как	1	2
95	к тому	3	2
96	это не	2	2
97	не с	2	2
98	человеческого бытия	1	2
99	в целом	1	2
100	в чем	3	2
101	мы в	1	2
102	мире и	1	2
103	свободы но	1	2
104	ведет по	2	2
105	от свободы	2	2
106	у него	1	2
107	во мне	4	2
108	могут быть	2	2
109	их в	3	2
110	себя и	1	2
111	роль в	1	2
112	я не	1	2
113	о чем	1	2
114	говорит что	1	2
115	не сумеет	1	2
116	на себя	5	2
117	и это	2	2
118	в виду	1	2
119	что он	4	2
120	в роли	1	2
121	может и	1	1
122	тебя так	1	1
123	в словах	1	1
124	но с	1	1
125	личность как	2	1
126	места в	1	1
127	бы в	1	1
128	и свою	1	1
129	в мировом	1	1
130	вопрос о	1	1
131	этой тайны	1	1
132	с внутренним	1	1
133	за ним	3	1
134	свою личность	4	1
135	жизни и	3	1
136	говорит о	1	1
137	бы то	1	1
138	в двух	1	1
139	постигнуть смысл	1	1
140	только мы	1	1
141	его с	1	1
142	ее в	2	1
143	и пусть	1	1
144	не будет	2	1
145	человеческого духа	1	1
146	ее на	1	1
147	в бытии	1	1
148	крайней мере	1	1
149	души и	1	1
150	не было	3	1
151	после того	1	1
152	с бытием	1	1
153	о счастье	5	1
154	и внешнее	1	1
155	ведет к	1	1
156	и создал	1	1
157	и против	3	1
158	таким же	1	1
159	отказаться от	1	1
160	всего что	1	1
161	из нас	1	1
162	не по	1	1
163	прошлом и	1	1
164	свобода его	1	1
165	ивана карамазова	2	1
166	с ним	2	1
167	это тот	1	1
168	это еще	4	1
169	превращается в	3	1
170	его воли	1	1
171	что это	1	1
172	и другие	1	1
173	освобождения от	2	1
174	от него	2	1
175	если в	1	1
176	в третьем	1	1
177	счастье но	1	1
178	своей свободы	2	1
179	тот же	3	1
180	в своих	1	1
181	жизнь в	1	1
182	с тем	2	1
183	в одном	1	1
184	в следующих	1	1
185	если не	3	1
186	и теперь	2	1
187	меня в	1	1
188	образа в	1	1
189	и я	4	1
190	или даже	1	1
191	к нам	2	1
192	оно не	3	1
193	теперь в	1	1
194	из всего	1	1
195	о судьбе	1	1
196	людей в	3	1
197	свободы и	12	1
198	духа и	2	1
199	с этой	1	1
200	о мире	1	1
201	это имеет	1	1
202	д и	1	1
203	к чему	3	1
204	и свободы	2	1
205	выбора в	1	1
206	мира с	1	1
207	более чем	2	1
208	свободу личности	1	1
209	в одно	1	1
210	с которыми	1	1
211	их не	1	1
212	к миру	1	1
213	другом но	1	1
214	живет в	1	1
215	им по	1	1
216	жизни не	1	1
217	и на	1	1
218	выбора все	1	1
219	в понимании	1	1
220	утверждения ее	1	1
221	как мы	1	1
222	переход к	1	1
223	с которым	1	1
224	у нас	1	1
225	человека и	6	1
226	того чтобы	2	1
227	в прошлом	2	1
228	то ни	1	1
229	я думаю	2	1
230	личностью и	1	1
231	этого мира	3	1
232	нельзя не	1	1
233	и от	1	1
234	себя за	1	1
235	что свобода	1	1
236	да и	2	1
237	для того	1	1
238	весь мир	1	1
239	известном смысле	1	1
240	что от	2	1
241	а между	2	1
242	ты и	1	1
243	один из	2	1
244	свободного выбора	1	1
245	и который	1	1
246	хотят скрыть	1	1
247	художественный образ	1	1
248	в истории	8	1
249	все это	5	1
250	к ним	1	1
251	свое место	1	1
252	кто бы	1	1
253	что все	4	1
254	же и	1	1
255	думаю что	1	1
256	ничего нельзя	1	1
257	возможно в	1	1
258	в них	3	1
259	восстает против	3	1
260	и развитием	1	1
261	человека как	2	1
262	не всегда	1	1
263	одна из	2	1
264	в котором	4	1
265	но прежде	1	1
266	свобода и	1	1
267	и мир	1	1
268	можно признать	1	1
269	всего только	1	1
270	с отвращением	1	1
271	в мир	1	1
272	значение в	1	1
273	значения и	2	1
274	чего бы	1	1
275	личности а	2	1
276	но я	1	1
277	могли бы	1	1
