N	3gram	Kanaev_Sov_1	Problemy
1	с точки зрения	5	9
2	до сих пор	1	8
3	не может быть	4	8
4	и не может	1	7
5	по отношению к	1	5
6	то же время	1	5
7	в то же	1	5
8	друг с другом	2	5
9	в самом деле	1	4
10	в отличие от	2	3
11	дело в том	1	2
12	и до сих	1	2
13	в этом смысле	1	2
14	сами по себе	1	2
15	можно было бы	1	2
16	на этот вопрос	1	2
17	в том что	1	2
18	друг на друга	1	2
19	в свое время	1	2
20	той или иной	1	2
21	точки зрения своего	1	2
22	для наших целей	1	2
23	каждая из этих	1	1
24	не может не	3	1
25	еще раз подчеркнуть	1	1
26	ровно ничего не	1	1
27	между собой поэтому	1	1
28	в этом случае	1	1
29	одной стороны и	1	1
30	со всеми ее	1	1
31	и во всех	1	1
32	и в то	1	1
33	а может быть	1	1
34	ведь это не	1	1
35	в одном направлении	1	1
36	может быть и	2	1
37	так же как	1	1
38	в данном случае	1	1
39	мы не знаем	1	1
40	с одной стороны	1	1
41	и к одному	1	1
42	как мы это	1	1
43	в связи с	1	1
44	он уже не	1	1
45	во всяком случае	2	1
46	пока наконец не	2	1
47	но они не	1	1
48	она и не	1	1
49	существенно отличается от	1	1
50	с самого начала	3	1
51	но все же	1	1
52	раз подчеркнуть что	1	1
53	как мы видим	1	1
54	времени и пространства	2	1
55	при определенных условиях	1	1
