N	3gram	Nazirov_Tv_1	EvropaiE
1	в то же	13	15
2	то же время	12	14
3	в отношении к	1	12
4	и в то	2	8
5	с одной стороны	1	8
6	в том что	6	6
7	бы то ни	1	4
8	не только в	2	4
9	то ни было	1	4
10	хотя бы и	1	3
11	ту или иную	1	3
12	в известном смысле	1	3
13	можно сказать что	2	3
14	заключает в себе	1	3
15	имеет место в	1	2
16	нам кажется что	1	2
17	сплошь и рядом	1	2
18	то что в	1	2
19	в данном случае	2	2
20	но в то	4	2
21	заключается в том	1	2
22	каких бы то	1	2
23	по нашему мнению	5	2
24	с другой стороны	1	2
25	в свою очередь	1	2
26	и того же	1	1
27	как и его	1	1
28	не может не	1	1
29	хотя и не	1	1
30	еще далеко не	1	1
31	чуть ли не	1	1
32	дело в том	3	1
33	в соответствии с	3	1
34	в том же	1	1
35	что же касается	1	1
36	в одной из	2	1
37	что как бы	1	1
38	то и другое	1	1
39	в отличие от	1	1
40	связанного с этим	1	1
41	и та же	2	1
42	мы находим у	1	1
43	но тем самым	1	1
44	то что может	1	1
45	отказаться от своей	1	1
46	настоящего и будущего	1	1
47	оставляя открытым вопрос	1	1
48	не могут быть	1	1
49	в связи с	1	1
50	мысль о возможности	1	1
51	одна и та	1	1
52	только в качестве	1	1
53	не означает что	1	1
54	говорить о том	1	1
55	и xix век	1	1
56	это значит что	1	1
57	же время для	1	1
58	одного и того	1	1
59	что оно не	1	1
60	к тому что	1	1
61	и будущего в	1	1
62	к тому же	1	1
63	отметить что в	1	1
64	и т д	1	1
