N	2gram	Bakhtin_Pr_1	Mirosoze
1	и в	29	46
2	у достоевского	16	34
3	в нем	19	22
4	у него	5	22
5	может быть	24	21
6	в этом	22	20
7	не только	15	18
8	и не	31	18
9	никогда не	3	18
10	для него	18	18
11	но и	14	15
12	не может	12	15
13	человека в	4	14
14	как и	12	13
15	ведет к	1	13
16	иван карамазов	1	13
17	а не	22	13
18	не есть	2	13
19	друг друга	3	12
20	прежде всего	7	12
21	потому что	8	12
22	и он	1	11
23	не было	4	11
24	но он	2	11
25	в ней	2	11
26	у нас	1	11
27	но в	7	10
28	та же	1	10
29	в себе	7	10
30	он не	5	10
31	достоевский был	3	9
32	не в	7	9
33	не знает	3	9
34	и есть	2	8
35	отношение к	2	8
36	и достоевский	1	8
37	в своем	8	8
38	любовь к	1	8
39	так как	6	8
40	она не	7	8
41	как бы	19	8
42	но это	4	8
43	для достоевского	5	8
44	ивана карамазова	4	7
45	в мире	6	7
46	как в	6	7
47	и к	2	7
48	в нашем	1	7
49	в этой	4	7
50	хотя бы	2	7
51	и потому	6	7
52	и для	4	7
53	что он	8	7
54	вопрос о	2	6
55	что это	1	6
56	в русской	1	6
57	он сам	3	6
58	и здесь	3	6
59	жизнь в	1	6
60	так же	6	6
61	того что	1	6
62	и там	1	6
63	жизни и	2	6
64	по преимуществу	2	5
65	то же	14	5
66	я не	3	5
67	не способен	1	5
68	друг к	1	5
69	в самом	10	5
70	бы и	4	5
71	и вот	1	5
72	что она	6	5
73	что все	1	5
74	к другу	1	5
75	в своей	8	5
76	в отношении	2	5
77	в конце	6	5
78	достоевский не	3	5
79	русский народ	1	5
80	и его	14	5
81	к тому	1	5
82	и это	5	5
83	достоевского к	4	5
84	те же	2	5
85	это не	9	5
86	один из	2	5
87	человеческого духа	2	5
88	в его	24	5
89	него нет	2	5
90	для того	1	5
91	то что	15	5
92	и все	1	5
93	в духе	3	5
94	с его	9	4
95	у них	1	4
96	версилова к	1	4
97	его на	2	4
98	интересует достоевского	2	4
99	в жизни	2	4
100	нет в	1	4
101	том что	7	4
102	тому что	3	4
103	не имеет	1	4
104	того чтобы	1	4
105	только и	1	4
106	должны быть	1	4
107	они и	1	4
108	должен быть	1	4
109	что у	1	4
110	так и	7	4
111	для этого	1	4
112	себя в	1	4
113	уже не	13	4
114	что и	4	4
115	в свою	1	4
116	они не	4	4
117	до конца	8	4
118	т е	21	4
119	великого инквизитора	2	4
120	что в	8	4
121	все что	3	4
122	смысле слова	1	3
123	же как	1	3
124	это и	5	3
125	к другому	2	3
126	высшей степени	1	3
127	той же	5	3
128	и иван	1	3
129	и самого	4	3
130	и на	7	3
131	менее всего	6	3
132	достоевского не	12	3
133	идея и	1	3
134	он в	3	3
135	творчество достоевского	5	3
136	как он	1	3
137	и она	1	3
138	в россии	2	3
139	в каждом	8	3
140	не будет	1	3
141	и с	4	3
142	его в	6	3
143	с самим	1	3
144	на почве	3	3
145	ни в	3	3
146	в них	3	3
147	в высшей	1	3
148	все равно	1	3
149	что было	4	3
150	не для	1	3
151	того как	1	3
152	и всегда	1	3
153	и ивана	1	3
154	его он	1	3
155	достоевский в	6	3
156	достоевским в	1	3
157	в трагедии	1	3
