N	2gram	Vinokur_St_2	DiskursI
1	в себе	2	19
2	при этом	2	17
3	в этом	21	16
4	как и	2	16
5	и в	29	16
6	в качестве	5	16
7	может быть	2	16
8	и не	9	15
9	а не	5	14
10	отличие от	2	12
11	в отличие	2	12
12	в частности	4	12
13	тогда как	2	11
14	но в	8	11
15	представляет собой	1	11
16	но и	19	11
17	со стороны	2	10
18	не только	19	10
19	том что	27	10
20	своего рода	5	10
21	так и	9	9
22	не может	2	9
23	такого рода	2	9
24	как в	3	8
25	в том	27	8
26	а также	2	8
27	но не	3	7
28	в данном	2	7
29	в нем	4	7
30	ни в	3	7
31	не менее	3	7
32	прежде всего	5	7
33	то же	2	6
34	еще не	1	6
35	с его	2	6
36	данном случае	1	6
37	все же	6	6
38	в своей	7	6
39	в своих	1	6
40	и на	6	5
41	в своем	9	5
42	в то	2	5
43	с другой	4	5
44	же время	1	5
45	что в	19	5
46	для него	4	5
47	то что	11	5
48	а с	3	5
49	ни к	1	5
50	героя в	1	5
51	и то	1	4
52	по отношению	1	4
53	в этой	2	4
54	роль в	1	4
55	в основе	1	4
56	потому что	9	4
57	этом отношении	9	4
58	о том	17	4
59	в пределах	1	4
60	лирической поэзии	2	4
61	одного из	1	4
62	одно из	1	4
63	в одном	6	4
64	как бы	5	4
65	ни для	1	4
66	не является	3	4
67	точки зрения	5	4
68	в период	2	4
69	к его	1	4
70	к этому	4	4
71	отношению к	1	4
72	можно назвать	1	4
73	также и	2	3
74	например в	3	3
75	столь же	1	3
76	и как	2	3
77	все эти	2	3
78	из этих	1	3
79	он не	9	3
80	не следует	1	3
81	в другом	4	3
82	его в	2	3
83	в этих	3	3
84	в котором	7	3
85	не столько	7	3
86	одном из	3	3
87	не в	4	3
88	на рубеже	3	3
89	в русской	5	3
90	мысль о	1	3
91	еще в	2	3
92	в его	13	3
93	только в	2	3
94	и его	6	3
95	из них	3	3
96	в них	2	3
97	в исторической	1	3
98	не было	3	3
99	было в	1	3
100	в творчестве	1	3
101	как будто	1	3
102	в контексте	1	3
103	можно сказать	1	3
104	но это	3	3
105	и все	1	3
106	можно признать	1	3
107	жизни в	1	3
108	жизни и	1	3
109	как на	9	3
110	же как	3	2
111	того же	2	2
112	и это	2	2
113	идет о	3	2
114	по преимуществу	1	2
115	характер как	1	2
116	той же	1	2
117	место в	1	2
118	совпадает с	1	2
119	говорить о	1	2
120	в ней	7	2
121	к своему	2	2
122	в сочетании	2	2
123	большей части	1	2
124	отношение к	1	2
125	тут же	1	2
126	из важнейших	1	2
127	более чем	1	2
128	что как	1	2
129	отношения между	1	2
130	вследствие этого	1	2
131	по словам	4	2
132	в первую	1	2
133	в принципе	1	2
134	не к	2	2
135	свое время	1	2
136	у пушкина	12	2
137	одно и	1	2
138	же касается	1	2
139	и с	4	2
140	обоих случаях	1	2
141	на почве	2	2
142	но уже	1	2
143	такой же	1	2
144	все это	11	2
145	действие и	1	2
146	этом случае	1	2
147	сочетании с	2	2
148	с точки	2	2
149	в обоих	3	2
150	дело в	4	2
151	чем не	1	2
152	никогда не	3	2
153	на самого	1	2
154	что на	3	2
155	в области	2	2
156	с их	1	2
157	здесь не	1	2
158	это еще	2	2
159	говорит об	2	2
160	времени и	4	2
161	не с	1	2
162	в результате	2	2
163	последних двух	1	2
164	неотделим от	1	2
165	первую очередь	1	2
166	между тем	5	2
167	в языке	5	2
168	что и	2	2
169	романа и	1	2
170	с фигурой	1	2
171	который не	1	2
172	этом в	1	2
173	не о	1	2
174	не подлежит	1	2
175	именно в	4	2
176	с той	2	2
177	по большей	1	2
178	не на	2	2
179	вместе с	7	2
180	о чем	5	2
181	в той	5	2
182	что же	1	2
183	в ряду	1	2
184	я с	1	2
185	в свое	1	2
186	в полном	3	2
187	и для	1	2
188	а к	2	2
189	а в	1	2
190	другой стороны	3	2
191	что он	13	2
192	речь идет	4	1
193	одним из	6	1
194	а между	1	1
195	и биографический	1	1
196	самом деле	3	1
197	это и	1	1
198	жив он	1	1
199	в первом	1	1
200	к другому	1	1
201	др в	1	1
202	эпохи то	1	1
203	но если	1	1
204	в году	3	1
205	своих сочинений	1	1
206	и была	2	1
207	на материале	1	1
208	для своего	2	1
209	мы не	1	1
210	вопрос о	6	1
211	в сущности	1	1
212	я не	7	1
213	этого термина	1	1
214	пребывания в	2	1
215	это время	2	1
216	он был	2	1
217	он сам	1	1
218	бы то	2	1
