N	3gram	Tiupa_Narr_2	slovoVRo
1	и т п	2	33
2	не может быть	2	15
3	в отличие от	5	12
4	с одной стороны	5	5
5	той или иной	3	5
6	в большинстве случаев	1	5
7	по отношению к	5	4
8	в зависимости от	1	4
9	то же время	3	4
10	в то же	3	4
11	в том что	8	4
12	в той или	1	3
13	с точки зрения	2	3
14	в этом отношении	3	3
15	т п все	1	3
16	так и в	1	3
17	одной стороны и	1	3
18	на границе между	1	2
19	в чем не	1	2
20	а также и	1	2
21	более или менее	1	2
22	до сих пор	1	2
23	не только в	6	2
24	во всяком случае	1	2
25	ни в чем	1	2
26	в связи с	1	2
27	для того чтобы	1	2
28	соединяется с его	1	1
29	хотя и не	2	1
30	в чем же	1	1
31	иметь в виду	1	1
32	отношению к себе	1	1
33	в своем собственном	1	1
34	дело не только	1	1
35	не может не	1	1
36	и в то	1	1
37	но и в	2	1
38	и не может	2	1
39	может быть только	1	1
40	точки зрения на	1	1
41	а не только	1	1
42	а также в	1	1
43	однако и здесь	1	1
44	в евгении онегине	1	1
45	в нем не	1	1
46	в этом направлении	1	1
47	не для того	1	1
48	все то что	2	1
49	тем не менее	4	1
50	о том что	4	1
51	того или иного	3	1
52	а в том	2	1
53	в частности в	1	1
54	одно из существеннейших	1	1
55	здесь не только	1	1
56	с той или	1	1
57	и не столько	1	1
58	историческом так и	1	1
59	не только не	2	1
60	и особенно в	1	1
61	даже не столько	1	1
62	до достоевского и	1	1
63	чужом для него	1	1
64	так и по	2	1
65	одно без другого	1	1
