N	2gram	Nazirov_Vr_1	Problema
1	то что	7	42
2	и в	8	32
3	и не	5	31
4	не есть	1	29
5	не просто	1	23
6	в этом	8	19
7	не менее	2	19
8	тем не	1	18
9	не только	9	17
10	потому что	1	16
11	в себе	2	15
12	но в	6	14
13	может быть	4	14
14	как бы	4	14
15	в нем	6	13
16	при помощи	2	13
17	как раз	2	13
18	том что	3	12
19	что в	7	12
20	так и	1	12
21	также и	1	11
22	о том	4	11
23	и даже	6	11
24	ничего общего	1	11
25	то же	5	10
26	отнюдь не	2	10
27	в этой	2	10
28	об этом	5	10
29	ничего не	1	10
30	прежде всего	1	10
31	нет ничего	1	10
32	еще не	2	9
33	но не	1	9
34	раз и	1	9
35	и это	2	9
36	и что	8	9
37	но и	7	9
38	по своему	1	9
39	что же	1	9
40	в том	3	9
41	так же	4	9
42	в таком	1	9
43	и о	3	8
44	и ее	2	8
45	на то	3	8
46	было бы	1	8
47	он и	1	8
48	в своей	2	8
49	не может	2	8
50	но это	2	8
51	во всех	1	7
52	всех этих	1	7
53	в них	2	7
54	никогда не	2	7
55	того что	1	7
56	что он	4	7
57	тем что	3	7
58	все это	4	7
59	и все	7	7
60	во всяком	1	7
61	и то	2	6
62	и есть	1	6
63	говорить о	1	6
64	но как	2	6
65	и как	3	6
66	в самом	1	6
67	при этом	4	6
68	его в	3	6
69	это не	4	6
70	в то	5	6
71	таким образом	2	6
72	в виду	4	6
73	в его	3	6
74	этом смысле	1	6
75	в конце	3	6
76	о чем	2	6
77	хотя и	1	6
78	в своем	3	5
79	не являются	1	5
80	то в	1	5
81	все равно	1	5
82	далеко не	3	5
83	в котором	6	5
84	связи с	3	5
85	для нас	4	5
86	не знал	1	5
87	тем более	2	5
88	в их	1	4
89	совсем не	1	4
90	есть по	1	4
91	в истории	4	4
92	как в	1	4
93	как он	1	4
94	после этого	2	4
95	их в	2	4
96	тем самым	1	4
97	а в	2	4
98	точно так	1	4
99	а также	2	4
100	в литературе	1	4
101	один из	1	4
102	литературе и	1	4
103	именно в	1	4
104	не было	5	4
105	и вообще	1	4
106	в связи	3	4
107	конце концов	1	4
108	же в	2	4
109	не хочет	1	3
110	он всегда	1	3
111	того же	1	3
112	в чем	3	3
113	в ее	1	3
114	что они	1	3
115	с этим	1	3
116	что это	1	3
117	мы получаем	1	3
118	но он	3	3
119	но ведь	1	3
120	да и	1	3
121	он не	3	3
122	в жизни	1	3
123	как и	6	3
124	и уже	3	3
125	несмотря на	4	3
126	на этот	1	3
127	в этих	1	3
128	точки зрения	2	3
129	с точки	2	3
130	есть еще	1	3
131	того как	1	3
132	только не	1	3
133	и его	3	3
134	в каком	1	3
135	ясно что	1	3
136	о нем	6	3
137	к нему	1	3
138	и во	3	3
139	во всей	1	3
140	уже не	2	3
141	уже в	4	3
142	из них	2	3
143	говорит о	1	3
144	всяком случае	1	3
145	до сих	1	3
146	с другой	1	3
147	как же	2	3
148	быть и	1	3
149	сих пор	1	3
150	от нас	1	3
151	но для	1	3
152	с ним	4	3
153	хотя в	1	3
154	другой стороны	1	3
155	себе не	1	3
156	этого романа	1	2
157	же как	2	2
158	что иван	1	2
159	по преимуществу	1	2
160	едва ли	1	2
161	по его	1	2
162	из подполья	3	2
163	он сам	2	2
164	у чехова	1	2
165	с его	3	2
166	то он	1	2
167	в комедии	1	2
168	что к	2	2
169	во многих	1	2
170	пор мы	1	2
171	что ни	1	2
172	ним на	1	2
173	а это	1	2
174	с такими	1	2
175	не будет	1	2
176	конечно в	1	2
177	и с	6	2
178	это было	1	2
179	во внимание	1	2
180	одного и	1	2
181	на первый	2	2
182	в эту	2	2
183	и уж	1	2
184	по крайней	1	2
185	без всяких	1	2
186	однако в	1	2
187	что этот	1	2
188	не имеет	1	2
189	мы находим	1	2
190	это опять	1	2
191	следовательно и	1	2
192	вот в	1	2
193	могут быть	1	2
194	уже на	1	2
195	не стоит	1	2
196	нас в	1	2
197	между тем	5	2
198	крайней мере	1	2
199	в него	2	2
200	сразу же	1	2
201	том как	1	2
202	в качестве	1	2
203	этот раз	1	2
204	для него	2	2
205	что пишет	1	2
206	что для	1	2
207	уже давно	1	2
208	вместе с	2	2
209	в это	2	2
210	не будем	1	2
211	два дня	1	2
212	между прочим	1	2
213	имел в	3	2
214	у вас	1	2
215	тот кто	1	2
216	или вообще	1	2
217	только что	1	2
218	гораздо больше	1	2
219	о своем	1	2
220	он часто	1	2
221	себя как	1	1
222	а между	1	1
223	сам факт	1	1
224	этого в	1	1
225	одним из	3	1
226	у гоголя	1	1
227	начинается с	1	1
228	в разные	1	1
229	роль играет	1	1
230	не принимая	1	1
231	отношения к	2	1
232	и этот	1	1
233	в году	18	1
234	уже по	1	1
235	той же	1	1
236	из всех	1	1
237	именно к	1	1
238	еще до	1	1
239	который был	3	1
240	хуже чем	1	1
241	я не	3	1
242	и считает	1	1
243	и наказание	1	1
244	это время	1	1
245	а еще	1	1
246	первый план	1	1
247	а следовательно	1	1
248	о смерти	1	1
249	заметим что	1	1
250	тут же	1	1
251	ничуть не	1	1
252	преступление и	1	1
253	и я	1	1
254	выясняется что	1	1
255	первый взгляд	1	1
256	дает нам	1	1
257	что ее	1	1
258	все же	6	1
259	встрече с	1	1
260	образа петра	1	1
261	за это	1	1
262	этот роман	2	1
263	выражение в	1	1
264	еще один	1	1
265	в известном	2	1
266	тому же	1	1
267	этот вывод	1	1
268	но на	1	1
269	собственных глазах	1	1
270	лермонтова и	2	1
271	о которой	2	1
272	ведь не	1	1
273	в силу	1	1
274	этом говорят	1	1
275	на дуэль	1	1
276	этой поэмы	1	1
277	всего то	1	1
278	одно и	1	1
279	человека в	3	1
280	в одну	2	1
281	связан с	1	1
282	об этой	2	1
283	в глубине	1	1
284	заключается в	1	1
285	не хуже	1	1
286	неожиданности и	1	1
287	указанием на	1	1
288	остается фактом	1	1
289	достоевский так	1	1
290	ее тем	1	1
291	отражение и	1	1
292	несомненно в	1	1
293	и чувств	1	1
294	во время	2	1
295	место в	2	1
296	представление о	1	1
297	в известной	1	1
298	для правильного	1	1
299	сам достоевский	3	1
300	порождены известной	1	1
301	том же	2	1
302	времени а	1	1
