N	4gram	Vinokur_Vv_1	Istorich
1	не что иное как	4	2
2	только после того как	2	2
3	и т д но	5	2
4	и т д и	1	2
5	котором здесь идет речь	1	1
6	это только одна сторона	1	1
7	и т д все	2	1
8	не сам по себе	1	1
9	одной и той же	2	1
10	и т д для	1	1
11	т д все эти	1	1
12	дело не только в	1	1
13	но это только одна	1	1
14	связи с этим и	1	1
15	но дело не в	1	1
16	в связи с этим	1	1
17	точно так же как	1	1
18	с тем что в	1	1
19	но вместе с тем	1	1
20	не только в этом	1	1
21	о котором здесь идет	1	1
22	что в одном случае	1	1
23	есть не что иное	2	1
