N	2gram	Bakhtin_KF_1	Narrotol
1	не только	5	31
2	но и	9	27
3	и не	26	23
4	при этом	4	19
5	может быть	45	15
6	в качестве	2	14
7	как и	5	13
8	а не	17	13
9	а в	4	13
10	в этом	14	12
11	только в	16	12
12	и в	24	11
13	в данном	2	11
14	и его	17	10
15	то есть	1	9
16	времени и	4	9
17	то что	7	9
18	то же	5	8
19	не может	27	8
20	в том	6	8
21	уже не	7	8
22	со стороны	7	8
23	и т.п	1	8
24	но в	5	7
25	том что	4	7
26	если бы	8	7
27	и он	1	6
28	в самом	1	6
29	не в	12	6
30	в этой	2	6
31	в себе	21	6
32	об этом	1	6
33	не мог	1	6
34	к тому	1	6
35	и т.д	2	6
36	во втором	1	6
37	в его	40	6
38	как бы	9	6
39	один из	2	6
40	как раз	1	6
41	или в	1	6
42	жизни и	8	6
43	и на	3	5
44	той или	3	5
45	так и	2	5
46	точки зрения	12	5
47	в своей	10	5
48	тем самым	4	5
49	потому что	2	5
50	событие в	5	5
51	можно сказать	1	5
52	в соответствии	2	5
53	столь же	1	5
54	в первом	1	4
55	еще не	4	4
56	с его	1	4
57	но не	12	4
58	как в	2	4
59	все же	5	4
60	хотя и	1	4
61	в нем	28	4
62	в принципе	2	4
63	в мире	6	4
64	по себе	2	4
65	и тем	3	4
66	соответствии с	2	4
67	в одном	4	4
68	в то	3	4
69	одна из	1	4
70	не по	4	4
71	того чтобы	2	4
72	никогда не	5	4
73	в сознании	2	4
74	к себе	2	4
75	в ней	3	4
76	о том	3	4
77	же время	2	4
78	а во	1	4
79	к нему	12	4
80	в литературе	1	4
81	того что	3	4
82	для него	8	4
83	слова в	2	4
84	или иной	2	4
85	прежде всего	2	4
86	мира в	6	4
87	в третьем	1	4
88	или не	1	4
89	имеет место	1	4
90	также и	1	3
91	и то	2	3
92	самом деле	3	3
93	едва ли	2	3
94	мы имеем	5	3
95	мы не	3	3
96	а для	2	3
97	но как	5	3
98	в своем	16	3
99	и как	2	3
100	к чему	3	3
101	в целом	10	3
102	в нашем	1	3
103	он не	6	3
104	для того	3	3
105	и с	1	3
106	это не	10	3
107	в жизни	2	3
108	в современной	3	3
109	и ее	2	3
