N	3gram	Nazirov_Tv_2	KFilosof
1	по отношению к	3	21
2	не может быть	3	11
3	в чем не	1	4
4	ни в чем	1	4
5	в нем и	1	3
6	того или иного	1	3
7	и в этом	1	3
8	может быть в	1	3
9	в соответствии с	4	2
10	бы он ни	1	2
11	он ни был	1	2
12	то или иное	1	2
13	то же время	7	2
14	в целом и	2	2
15	той или иной	1	2
16	в то же	7	2
17	в том что	2	2
18	то все же	1	1
19	но прежде всего	2	1
20	нет и не	1	1
21	никогда не было	2	1
22	мы говорим о	1	1
23	рядом с ними	1	1
24	потому что в	1	1
25	не зависит от	1	1
26	может быть понята	1	1
27	если он не	1	1
28	в том же	2	1
29	влечет за собой	2	1
30	и рядом с	1	1
31	они имеют смысл	1	1
32	не в себе	1	1
33	не может жить	1	1
34	но это не	1	1
35	понять его в	1	1
36	со всех сторон	1	1
37	и в то	2	1
38	но в то	1	1
39	в известном смысле	1	1
40	это не значит	1	1
41	дело в том	1	1
42	во всяком случае	2	1
43	в нем нет	1	1
44	мир в целом	1	1
45	мы не можем	1	1
46	не является только	1	1
47	в свою очередь	1	1
48	решения этой задачи	1	1
49	но отнюдь не	1	1
50	в конечном счете	1	1
51	но эта функция	1	1
52	жизни при этом	1	1
53	в том смысле	1	1
54	не значит что	1	1
55	не о том	1	1
56	признать что в	1	1
57	и только для	1	1
