N	3gram	Berdyaev_V_1	KFilosof
1	единственного бытия в	1	4
2	и в этом	1	3
3	бы то ни	1	2
4	раз и навсегда	1	2
5	в том что	2	2
6	то что я	2	2
7	бы и не	2	2
8	менее всего можно	1	1
9	но и тут	1	1
10	на этом пути	1	1
11	ее и в	1	1
12	в известном смысле	1	1
13	истина не нужна	1	1
14	все что есть	3	1
15	к тому что	3	1
16	и менее всего	1	1
17	это факт моего	1	1
18	и должна быть	1	1
19	хотя бы и	1	1
20	вместо того чтобы	2	1
21	отрываю себя от	1	1
22	в этом мире	1	1
23	в своей истории	1	1
24	в нем нет	2	1
25	вместе с тем	1	1
26	но прежде всего	1	1
27	никогда не было	1	1
28	лишь в процессе	1	1
29	пред тобой и	1	1
