N	2gram	Medvedev_V_1	Problemy
1	и в	2	46
2	и не	1	27
3	в этом	1	16
4	в самом	1	9
5	в том	2	9
6	то же	1	6
7	но это	1	6
8	и его	1	6
9	только в	1	6
10	все это	1	6
11	так как	1	5
12	речи и	1	5
13	самом деле	1	4
14	в их	1	4
15	том что	2	4
16	том же	1	4
17	потому что	1	4
18	да и	1	4
19	далеко не	1	3
20	дело в	1	3
21	и т.д	1	3
22	и только	1	3
23	ведь это	1	3
24	в конце	2	3
25	по существу	1	3
26	так в	1	2
27	хотя бы	1	2
28	в которых	1	2
29	слово по	1	2
30	в другом	1	2
31	все время	1	2
32	их как	1	2
33	и то	1	1
34	время в	1	1
35	а только	1	1
36	прозы в	1	1
37	без учета	1	1
38	и способами	1	1
39	говорили в	1	1
40	одно и	1	1
41	языка если	1	1
42	не будем	1	1
43	в устах	1	1
44	жизни которое	1	1
45	значительной степени	1	1
46	не хочу	1	1
47	с головой	1	1
48	в значительной	1	1
49	на одном	1	1
50	отношений но	1	1
51	даже не	1	1
52	именно в	1	1
53	по своим	1	1
54	с большой	1	1
55	в книге	3	1
56	конце концов	2	1
57	по поводу	1	1
58	в частности	1	1
59	к этому	1	1
