N	2gram	Savitsky_P_1	Problemy
1	и в	14	35
2	как бы	4	31
3	и не	12	27
4	в его	2	21
5	но в	9	19
6	как и	1	18
7	не может	4	18
8	в нем	3	16
9	то же	9	15
10	в этом	10	14
11	может быть	5	14
12	но и	6	14
13	все это	2	14
14	и с	2	12
15	прежде всего	3	12
16	и к	4	12
17	в пределах	8	11
18	в то	7	11
19	не только	17	10
20	не в	5	10
21	же время	7	10
22	то что	4	10
23	а я	5	10
24	в отношении	10	9
25	все же	1	8
26	потому что	3	8
27	еще не	1	7
28	с его	1	7
29	там где	1	7
30	в виде	2	7
31	творчестве достоевского	1	7
32	так же	1	7
33	точки зрения	3	7
34	а в	4	7
35	отношении к	5	7
36	и на	1	6
37	но не	3	6
38	в самом	1	6
39	в каждом	1	6
40	и что	1	6
41	только в	7	6
42	что в	4	6
43	и то	1	5
44	в себе	3	5
45	да и	2	5
46	и это	2	5
47	в том	9	5
48	с ними	3	5
49	как к	1	5
50	в мире	2	4
51	над собой	1	4
52	что это	1	4
53	но на	1	4
54	и вот	2	4
55	друг с	1	4
56	его в	1	4
57	в них	2	4
58	в эту	2	4
59	друг другу	2	4
60	по себе	4	4
61	никогда не	1	4
62	и без	3	4
63	как раз	2	4
64	слова о	1	4
65	где он	1	4
66	еще в	1	4
67	между тем	3	4
68	теперь в	2	4
69	только на	1	4
70	всяком случае	1	4
71	не о	2	4
72	или иной	1	4
73	с другой	5	4
74	с другом	1	4
75	что не	1	4
76	а не	2	4
77	с которым	1	4
78	но как	1	4
79	в творчестве	1	4
80	вот как	1	4
81	тот же	3	4
82	во всяком	1	4
83	говорить о	2	3
84	во всех	2	3
85	в общем	2	3
86	с этим	2	3
87	одно и	1	3
88	было бы	6	3
89	этом смысле	1	3
90	с тем	3	3
91	в котором	4	3
92	не как	1	3
93	с ее	1	3
94	в ее	2	3
95	сводится к	3	3
96	что и	1	3
97	это не	3	3
98	того что	2	3
99	человека с	1	3
100	уже в	1	3
101	из них	2	3
102	а с	1	3
103	должно быть	2	3
104	дело идет	1	3
105	в начале	2	3
106	мы должны	4	3
107	только что	1	3
108	том что	4	3
109	отношением к	1	3
110	другой стороны	1	3
111	я и	3	2
112	например в	2	2
113	в ней	6	2
114	в которых	5	2
115	столь же	3	2
116	что его	1	2
117	должна была	1	2
118	отличие от	1	2
119	не просто	1	2
120	в своем	4	2
121	мы можем	1	2
122	и слова	1	2
123	хотя и	3	2
124	и как	3	2
125	в которой	1	2
126	бы и	1	2
127	теми же	1	2
128	и по	1	2
129	а затем	1	2
130	что все	1	2
131	было в	2	2
132	в этих	1	2
133	с точки	3	2
134	в отличие	1	2
135	вопрос о	1	2
136	что с	1	2
137	не менее	2	2
138	к другим	1	2
139	этих двух	1	2
140	с собой	1	2
141	на нее	1	2
142	те же	1	2
143	особенно в	1	2
144	для этого	1	2
145	именно потому	1	2
146	переходит в	1	2
147	увидеть и	1	2
148	и мир	1	2
149	и пусть	2	2
150	в эти	1	2
151	себя в	1	2
152	в большинстве	1	2
153	в жизни	2	2
154	большинстве случаев	1	2
155	в душе	1	2
156	мы знаем	1	2
157	друг друга	1	2
158	каждый из	1	2
159	точек зрения	2	2
160	вместе с	1	2
161	но для	1	2
162	свои собственные	1	2
163	сущности не	1	2
164	что оно	1	2
165	хотя бы	8	2
166	и внутренне	1	2
167	ни на	1	2
168	это в	1	2
169	мысль и	1	2
170	от этой	1	1
171	именно как	2	1
172	и через	1	1
173	в законченные	1	1
174	по преимуществу	1	1
175	отношения к	2	1
176	есть не	2	1
177	духовных исканий	1	1
178	мы не	3	1
179	которую мы	2	1
180	что уже	1	1
181	есть нечто	2	1
182	начала в	1	1
183	он был	1	1
184	бы она	1	1
185	и главное	1	1
186	в противоречии	1	1
187	не все	1	1
188	в качестве	9	1
189	отнюдь не	2	1
