N	3gram	Nazirov_Tv_1	Mirosoze
1	добра и зла	2	5
2	у достоевского была	1	4
3	что иное как	1	3
4	до сих пор	1	3
5	и иван карамазов	2	3
6	к тому что	1	3
7	в творчестве достоевского	4	3
8	к человеку и	1	3
9	не что иное	1	3
10	у достоевского нет	1	2
11	может быть назван	1	2
12	в свою противоположность	2	2
13	но это не	1	2
14	у него была	1	2
15	в каждом человеке	2	2
16	сне смешного человека	2	2
17	и та же	2	2
18	одна и та	1	2
19	в отношении к	1	2
20	о том что	5	2
21	по отношению к	1	2
22	как и в	1	2
23	в сне смешного	2	2
24	друг для друга	1	2
25	человеческой природы в	1	2
26	в том что	6	2
27	добро и зло	1	2
28	и в бесах	1	2
29	из подполья и	1	2
30	том что в	2	1
31	человеку как к	2	1
32	достоевский прибегает к	1	1
33	записок из подполья	3	1
34	и наказание а	1	1
35	бесы и братья	1	1
36	в записках из	3	1
37	все та же	1	1
38	в своей книге	1	1
39	преступлении и наказании	3	1
40	людей в этой	1	1
41	у него есть	1	1
42	уже в записках	1	1
43	что он не	1	1
44	друг на друга	1	1
45	в романах достоевского	13	1
46	а может быть	1	1
47	у достоевского и	1	1
48	он хочет быть	1	1
49	записках из подполья	2	1
50	у достоевского не	1	1
51	не был так	1	1
52	в преступлении и	4	1
53	в мире не	1	1
54	в своем творчестве	1	1
55	со всеми его	1	1
56	человека у достоевского	2	1
57	преступления и наказания	4	1
58	в нее он	1	1
59	подпольного человека и	1	1
60	и чувствовал что	1	1
61	достоевского не есть	1	1
62	что он сам	1	1
63	место в творчестве	2	1
64	в xix веке	1	1
65	в себе всю	1	1
66	к этой теме	1	1
67	и братья карамазовы	1	1
68	что у него	1	1
69	я не могу	1	1
70	буржуазной цивилизации и	1	1
71	и всю жизнь	1	1
72	каждый человек есть	1	1
73	если нет бессмертия	1	1
74	самого достоевского его	1	1
75	преступление и наказание	4	1
76	он принадлежит к	1	1
77	для человека и	1	1
78	к человеку как	2	1
79	на протяжении всего	2	1
80	с самим собой	1	1
81	и всякий раз	1	1
82	он верит в	1	1
83	достоевский и в	1	1
84	человек и его	1	1
85	у достоевского через	1	1
86	не означает что	1	1
87	свою противоположность в	1	1
88	как в сне	1	1
89	на самом деле	2	1
90	чем у нас	1	1
91	ведет к тому	1	1
92	переходит в свою	2	1
93	он видит в	1	1
94	достоевского с его	1	1
95	он перестает быть	1	1
96	в конце концов	1	1
