N	2gram	Potebnia_M_3	Poddanst
1	не только	21	17
2	и в	30	14
3	и не	15	12
4	в области	2	11
5	в этом	10	10
6	но в	1	9
7	то же	23	9
8	в том	32	9
9	и д	1	8
10	только в	21	7
11	с к	2	7
12	в то	10	7
13	же время	5	7
14	в ней	8	6
15	было бы	9	6
16	но и	19	6
17	быть может	3	6
18	в смысле	4	6
19	отношении к	2	5
20	в которых	2	5
21	с другой	7	5
22	может быть	28	5
23	не в	15	5
24	и о	2	5
25	если бы	12	4
26	и е	1	4
27	в своем	5	4
28	как бы	3	4
29	и если	2	4
30	том что	18	4
31	не может	6	4
32	и потому	4	4
33	в котором	4	4
34	по себе	16	4
35	на пути	1	4
36	с т	2	4
37	что в	17	4
38	мы должны	4	4
39	же в	2	4
40	а в	12	4
41	то что	18	4
42	и т	5	3
43	мы не	9	3
44	д а	1	3
45	сводится к	1	3
46	в порядке	1	3
47	столь же	4	3
48	между тем	9	3
49	это не	1	3
50	вслед за	3	3
51	хотя и	1	3
52	и как	5	3
53	тот же	1	3
54	с ними	1	3
55	с одной	7	3
56	в себе	16	3
57	в нем	9	3
58	сами по	1	3
59	е и	1	3
60	для того	4	3
61	заключается в	1	3
62	прежде всего	3	3
63	одной стороны	3	3
64	с тем	7	3
65	что мы	8	3
66	света как	1	3
67	и без	7	3
68	с точки	1	3
69	но не	7	3
70	она есть	1	3
71	могут быть	3	3
72	пред лицом	1	3
73	тем самым	7	3
74	потому что	46	3
75	точки зрения	2	3
76	я и	3	3
77	и это	4	2
78	отношения к	1	2
79	например в	6	2
80	в сфере	1	2
81	в ее	2	2
82	и есть	3	2
83	в мире	1	2
84	было в	1	2
85	есть не	7	2
86	в сочетании	1	2
87	которую мы	1	2
88	о х	1	2
89	есть нечто	4	2
90	только это	1	2
91	никак не	3	2
92	сомнения что	1	2
93	время в	3	2
94	во всех	1	2
95	в которую	1	2
96	весьма мало	1	2
97	говорить о	3	2
98	если в	1	2
99	со стороны	3	2
100	каждый в	1	2
101	с этим	6	2
102	того что	18	2
103	стороны и	1	2
104	помнить что	1	2
105	к чему	1	2
106	бы ни	3	2
107	думать что	5	2
108	есть в	3	2
109	в начале	3	2
110	главным образом	1	2
111	в его	4	2
112	из них	6	2
113	где бы	1	2
114	в виде	2	2
115	не к	4	2
116	в силу	3	2
117	и вот	1	2
118	и с	2	2
119	точек зрения	1	2
120	может ли	1	2
121	именно в	3	2
122	и мы	2	2
123	и тем	5	2
124	в жизни	1	2
125	дети и	1	2
126	в них	5	2
127	не было	4	2
128	а не	15	2
129	в ряду	3	2
130	должно быть	5	2
131	нужно было	1	2
132	в эту	1	2
133	суждений о	1	2
134	эта идея	1	2
135	не столько	2	2
136	не будем	1	2
137	друг другу	1	2
138	в тот	1	2
139	не менее	5	2
140	все это	4	2
141	между прочим	1	2
142	слова но	2	2
143	мысль о	5	2
144	да и	1	2
145	тем более	4	2
146	для нас	20	2
147	заключает в	5	2
148	может и	1	2
149	взгляда на	1	2
150	как на	5	2
151	с другом	1	1
152	которого в	2	1
153	происходит и	1	1
154	и то	8	1
155	тем и	3	1
156	и вслед	1	1
157	пусть эта	1	1
158	как по	1	1
159	тем же	4	1
160	во времена	2	1
161	по преимуществу	1	1
162	должна быть	1	1
163	собственном смысле	2	1
164	только а	1	1
165	на нее	1	1
166	за то	1	1
167	поэзии и	1	1
168	те же	6	1
169	не с	1	1
170	особенно в	1	1
171	при существовании	1	1
172	какой она	1	1
173	что уже	2	1
174	для этого	1	1
175	в собственном	2	1
176	находится в	1	1
177	не вполне	1	1
178	оно есть	3	1
179	и ее	1	1
180	том виде	1	1
181	в некотором	2	1
182	именно потому	1	1
183	не прийти	1	1
184	но нужно	1	1
185	и здесь	1	1
186	не означает	1	1
187	и что	10	1
188	еще не	5	1
189	и на	3	1
190	он был	1	1
191	без которой	1	1
192	и который	1	1
193	оно ни	2	1
194	с его	1	1
195	вопросу о	1	1
196	бы она	1	1
197	и разных	1	1
198	связь между	2	1
199	не все	4	1
200	чем говорить	1	1
201	только признанием	1	1
202	что и	13	1
203	отличие от	1	1
204	основная задача	1	1
205	и чем	1	1
206	них в	1	1
207	в истории	1	1
208	как условие	1	1
209	тех пор	1	1
210	мысль и	1	1
211	известно не	1	1
212	все же	2	1
213	и слова	2	1
214	мы видим	2	1
215	более или	3	1
216	в какой	2	1
217	должен быть	1	1
218	понимать что	1	1
219	было иметь	1	1
220	и такое	3	1
221	если представить	1	1
222	духа в	1	1
223	в самом	8	1
224	только то	1	1
225	но как	2	1
226	в которой	3	1
227	что это	4	1
228	или его	1	1
229	формы в	1	1
230	могли бы	1	1
231	вопрос об	2	1
232	есть для	5	1
233	из этих	9	1
