N	3gram	Voloshinov_1	Narrotol
1	в том что	4	8
2	в данном случае	3	6
3	по отношению к	9	5
4	в отличие от	1	5
5	с одной стороны	1	5
6	о том что	1	4
7	тем не менее	2	4
8	к себе самому	1	3
9	в этом отношении	2	3
10	но при этом	1	3
11	то же время	5	3
12	в конечном счете	1	3
13	можно сказать что	3	3
14	в то же	5	3
15	хотя и не	1	2
16	с точки зрения	10	2
17	на самом деле	2	2
18	но и в	1	2
19	и не может	1	2
20	и у нас	1	2
21	в себе самом	1	2
22	не может быть	3	2
23	как бы в	1	2
24	так и по	1	2
25	все то что	2	2
26	таким образом что	1	1
27	а между тем	1	1
28	в чем не	2	1
29	при всей ее	1	1
30	или хотя бы	1	1
31	в нашем сознании	1	1
32	что с ним	1	1
33	в данный момент	1	1
34	в чем же	1	1
35	иметь в виду	1	1
36	внутренней точки зрения	1	1
37	относится и к	1	1
38	в самом деле	5	1
39	как это делает	1	1
40	по сравнению с	1	1
41	в таком случае	2	1
42	в зависимости от	2	1
43	что все эти	3	1
44	того и другого	1	1
45	и того и	1	1
46	в другом человеке	1	1
47	а с другой	1	1
48	на этот вопрос	1	1
49	до сих пор	3	1
50	позицию по отношению	1	1
51	на него и	1	1
52	что можно сказать	1	1
53	следует заметить что	1	1
54	далеко не всегда	3	1
55	это прежде всего	1	1
56	однако и здесь	1	1
57	каждого из этих	1	1
58	на первый взгляд	1	1
59	и все его	2	1
60	а также и	1	1
61	все что можно	1	1
62	находится за пределами	1	1
63	то что он	1	1
64	во всяком случае	3	1
65	ответ на этот	1	1
66	данном случае в	1	1
67	ни в чем	2	1
68	о которой он	1	1
69	а во время	1	1
70	в то время	1	1
71	для него уже	1	1
72	так и в	2	1
73	все что находится	1	1
74	с ним было	1	1
75	со всеми уже	1	1
76	упускать из виду	1	1
77	внутреннюю и внешнюю	1	1
78	в большинстве случаев	4	1
79	можно не только	1	1
80	для того чтобы	1	1
81	внешнего и внутреннего	1	1
