N	3gram	Vinokur_Vv_1	Narrotol
1	в том что	12	8
2	не только в	4	6
3	в данном случае	4	6
4	с одной стороны	4	5
5	по отношению к	4	5
6	в отличие от	3	5
7	о том что	12	4
8	состоит в том	2	4
9	тем не менее	8	4
10	в то же	5	3
11	к тому что	1	3
12	можно сказать что	3	3
13	того или иного	1	3
14	в этом отношении	3	3
15	той или иной	1	3
16	в известном смысле	3	3
17	то же время	5	3
18	в соответствии с	2	3
19	подобно тому как	1	2
20	так же как	1	2
21	а в том	1	2
22	точно так же	2	2
23	и т п	5	2
24	мы имеем дело	1	2
25	имеем дело с	1	2
26	мере в какой	4	2
27	в той мере	4	2
28	на самом деле	1	2
29	все то что	1	2
30	той мере в	4	2
31	не может быть	8	2
32	в том как	1	2
33	но и в	1	2
34	с точки зрения	2	2
35	в новейшее время	1	2
36	в чем же	3	1
37	уже шла речь	1	1
38	себе самому и	1	1
39	в том виде	3	1
40	в этом смысле	10	1
41	в реальной действительности	1	1
42	уже не к	1	1
43	так или иначе	4	1
44	в ряде случаев	1	1
45	далеком прошлом и	1	1
46	на этот вопрос	3	1
47	дело не только	1	1
48	по сравнению с	3	1
49	в этой системе	1	1
50	шла речь выше	1	1
51	а также и	2	1
52	что в ней	1	1
53	и объяснить его	1	1
54	до сих пор	5	1
55	по своему характеру	1	1
56	одной из этих	1	1
57	обратим внимание на	1	1
58	но с другой	1	1
59	и того же	2	1
60	включают в себя	1	1
61	что он вовсе	1	1
62	одна из наиболее	1	1
63	никак не может	1	1
64	в частности в	1	1
65	а между тем	1	1
66	то же самое	2	1
67	не менее уже	1	1
68	в xix в	1	1
69	у меня в	1	1
70	и о которой	1	1
71	сказать что он	1	1
72	есть не что	2	1
73	можно было бы	3	1
74	в далеком прошлом	1	1
75	том виде в	1	1
76	одна за другой	1	1
77	только в форме	1	1
78	в обоих случаях	1	1
79	легко представить себе	1	1
80	не что иное	4	1
81	не со стороны	1	1
82	а не иначе	1	1
83	ответ на этот	1	1
84	одного и того	2	1
85	на котором он	2	1
86	одной стороны и	3	1
87	как об этом	2	1
88	в этом втором	1	1
89	в связи с	2	1
90	в строгом смысле	3	1
91	в зависимости от	1	1
92	он вовсе не	1	1
93	что иное как	4	1
94	в самом деле	5	1
95	так а не	1	1
96	том что с	1	1
97	на эту тему	1	1
98	с этой стороны	1	1
99	по его словам	1	1
100	на том что	2	1
101	нельзя признать вполне	1	1
102	для того чтобы	21	1
103	в нем не	1	1
104	виде в каком	1	1
105	себя со стороны	2	1
106	а не только	1	1
107	не в том	2	1
108	о котором уже	1	1
109	как будет по	1	1
110	во всяком случае	3	1
111	в том или	1	1
112	например что история	1	1
113	может быть определено	1	1
114	этой точки зрения	1	1
115	каждой из таких	1	1
116	с этой точки	1	1
117	том или ином	1	1
118	как раз в	1	1
119	можно представить себе	2	1
120	в каждой из	1	1
