N	2gram	Voloshinov_1	StatiiOP
1	и в	12	25
2	в этом	4	24
3	в том	6	20
4	что в	2	19
5	может быть	14	19
6	что это	1	16
7	том что	5	15
8	и пр	3	13
9	в его	2	12
10	то что	5	12
11	не только	4	12
12	в этих	2	11
13	прежде всего	8	10
14	таким образом	12	10
15	и не	10	10
16	но и	3	9
17	у него	1	9
18	все это	3	8
19	о том	3	8
20	как например	1	8
21	не может	16	7
22	точки зрения	14	7
23	в то	2	7
24	из его	1	7
25	это не	2	7
26	было бы	1	7
27	место в	2	6
28	как на	2	6
29	как бы	13	6
30	не в	4	6
31	между тем	3	6
32	как в	5	6
33	и на	4	6
34	только в	6	6
35	в области	1	6
36	в русской	1	6
37	так и	4	5
38	независимо от	2	5
39	отношения между	1	5
40	того что	3	5
41	то же	5	5
42	ни в	3	5
43	мы имеем	2	5
44	в них	3	5
45	другой стороны	2	5
46	в котором	3	5
47	он не	2	5
48	с другой	4	5
49	отметить что	1	5
50	но в	5	5
51	а не	5	5
52	и это	1	5
53	все же	4	4
54	во всяком	1	4
55	как и	5	4
56	можно сказать	5	4
57	и для	3	4
58	время как	1	4
59	в жизни	5	4
60	в каком	3	4
61	связь с	2	4
62	к нему	4	4
63	в смысле	1	4
64	и с	3	4
65	в ней	6	4
66	то в	1	4
67	у нас	1	4
68	не было	1	4
69	этом смысле	1	4
70	отношение к	4	4
71	например в	1	4
72	и к	4	4
73	что здесь	1	4
74	из этого	3	4
75	в целом	1	4
76	в своей	3	4
77	в чем	2	4
78	сказать что	7	4
79	относится к	2	4
80	ничего не	2	4
81	всяком случае	1	4
82	если бы	9	4
83	в особенности	2	4
84	и др	5	4
85	и тем	1	4
86	по крайней	1	4
87	этом отношении	1	4
88	в качестве	1	4
89	с точки	2	4
90	то время	1	4
91	в общем	1	4
92	крайней мере	1	4
93	была бы	2	4
94	точка зрения	3	4
95	на протяжении	1	4
96	но это	2	4
97	все эти	3	3
98	в словах	1	3
99	и здесь	2	3
100	и наконец	3	3
101	же время	1	3
102	в другом	1	3
103	в виде	1	3
104	связи с	1	3
105	кроме того	2	3
106	я и	1	3
107	в какой	2	3
108	к которому	1	3
109	не так	2	3
110	в некоторых	3	3
111	что я	1	3
112	находит свое	3	3
113	его как	2	3
114	для него	3	3
115	что для	1	3
116	в творчестве	3	3
117	и его	13	3
118	с этой	2	3
119	и что	2	3
120	подчеркнуть что	2	3
121	уже не	4	3
122	что все	1	3
123	по мнению	1	3
124	одной стороны	2	3
125	на этом	1	3
126	до конца	2	3
127	несмотря на	1	3
128	с его	2	3
129	тем более	1	3
130	все они	2	3
131	на эти	1	3
132	от нее	1	3
133	к этому	2	3
134	не является	1	3
135	уже в	2	3
136	так как	9	3
137	что мы	5	3
138	и более	3	3
139	еще не	3	2
140	и только	1	2
141	что они	1	2
142	на это	2	2
143	нас не	1	2
144	и ее	3	2
145	точку зрения	2	2
146	и тот	1	2
147	вовсе не	1	2
148	есть в	1	2
149	то он	1	2
150	к материалу	4	2
151	и которые	1	2
152	тем о	1	2
153	сих пор	3	2
154	произведения и	3	2
155	и во	1	2
156	в определенную	1	2
157	то есть	1	2
158	самом деле	3	2
159	до сих	3	2
160	во всех	1	2
161	тем как	2	2
162	одно из	1	2
163	но есть	1	2
164	но все	2	2
165	им в	1	2
166	но не	2	2
167	на что	1	2
168	определенную эпоху	1	2
169	вместе с	2	2
170	к слову	2	2
171	мы не	3	2
172	формой и	2	2
173	к тому	1	2
174	найти в	1	2
175	никогда не	5	2
176	с ее	1	2
177	как мы	1	2
178	все время	6	2
179	тогда когда	2	2
180	что не	4	2
181	не на	1	2
182	в одной	1	2
183	в отношении	2	2
184	стал бы	1	2
185	во многих	1	2
186	здесь слово	1	2
187	можно найти	2	2
188	на основе	1	2
189	на другое	1	2
190	тем не	3	2
191	в форме	2	2
192	для этого	1	2
193	формы в	1	2
194	от того	4	2
195	что именно	1	2
196	с одной	2	2
197	в самом	4	2
198	такой же	2	2
199	в поэзии	3	2
200	себя и	2	2
201	в результате	1	2
202	не как	1	2
203	могут быть	2	2
204	при помощи	1	2
205	этих двух	2	2
206	с самого	1	2
207	которые в	1	2
208	в такой	3	2
209	более и	1	2
210	слова как	1	2
211	и по	3	2
212	все более	1	2
213	его к	2	2
214	то она	1	2
215	не менее	3	2
216	слово в	3	2
217	имеем в	2	2
218	в виду	5	2
219	а с	1	2
220	ни на	2	2
221	и тогда	1	2
222	как о	1	2
223	самого начала	1	2
224	произведение от	1	2
225	в свою	1	2
226	к постановке	1	1
227	форма в	2	1
228	какой бы	1	1
229	знак равенства	1	1
230	известной степени	2	1
231	когда мы	1	1
232	с так	1	1
233	в значительной	1	1
234	не знает	1	1
235	и из	1	1
