N	3gram	Tiupa_Vved_1	FransuaR
1	в то же	4	9
2	то же время	3	9
3	как мы видели	2	4
4	в том числе	1	4
5	то есть в	1	4
6	все то что	1	3
7	в том что	3	3
8	в свою очередь	4	3
9	о том как	1	2
10	как и в	2	2
11	по отношению к	7	2
12	в значительной степени	1	2
13	более или менее	2	2
14	в этом отношении	4	2
15	том числе и	1	2
16	можно было бы	2	2
17	о том что	4	1
18	так и к	1	1
19	имеет дело не	1	1
20	в том же	1	1
21	и тем самым	2	1
22	том или ином	1	1
23	а также в	1	1
24	это отношение к	1	1
25	пространство и время	1	1
26	он может и	1	1
27	картина мира в	1	1
28	здесь как и	1	1
29	в этом смысле	1	1
30	же время они	1	1
31	и прежде всего	1	1
32	но на самом	1	1
33	здесь не в	1	1
34	и т.п в	1	1
35	в этом мире	1	1
36	в первом случае	1	1
37	оно и не	1	1
38	на самом деле	3	1
39	но только в	1	1
40	не что иное	1	1
41	в едином но	1	1
42	и по своим	1	1
43	не только в	2	1
44	и в самом	1	1
45	по своей природе	2	1
46	на котором он	1	1
47	в связи с	1	1
48	содержит в себе	1	1
49	что иное как	1	1
50	то же самое	1	1
51	дело не с	1	1
52	и в этом	1	1
53	в том или	1	1
54	по аналогии с	1	1
55	в данном случае	6	1
56	друг от друга	1	1
57	тогда как в	1	1
58	но и в	2	1
59	во всяком случае	1	1
60	свидетельствует о том	1	1
61	к тому же	4	1
