N	3gram	Bakhtin_Pr_1	Sotsiolo
1	в том что	6	2
2	в конце концов	5	2
3	не в том	1	2
4	по отношению к	8	2
5	но только в	1	1
6	это и есть	1	1
7	в настоящее время	1	1
8	конечно не в	1	1
9	в том и	1	1
10	и в этом	5	1
11	только то что	2	1
12	по крайней мере	1	1
13	то что в	1	1
14	то же самое	1	1
15	именно в том	1	1
16	сама по себе	1	1
17	том что это	1	1
18	не было бы	1	1
19	в то же	9	1
20	из тех кто	1	1
21	выходит за пределы	1	1
22	в этом не	1	1
23	как бы он	1	1
24	а в том	1	1
25	то же время	9	1
26	поставить и разрешить	1	1
27	они ни были	1	1
28	и наконец в	1	1
29	в противном случае	1	1
30	и в то	2	1
31	в лучшем случае	2	1
32	бы он ни	2	1
33	во всяком случае	3	1
