N	3gram	Vinokur_Vv_1	Literetu
1	в том что	12	11
2	так или иначе	4	8
3	состоит в том	2	5
4	в отличие от	3	5
5	то же время	5	5
6	в то же	5	5
7	в данном случае	4	4
8	не только в	4	4
9	в связи с	2	4
10	и я и	1	4
11	прежде всего в	1	3
12	с этой точки	1	3
13	этой точки зрения	1	3
14	и прежде всего	1	3
15	в том же	1	3
16	дело в том	2	2
17	по отношению к	4	2
18	не говоря уже	2	2
19	подобно тому как	1	2
20	дело не только	1	2
21	с точки зрения	2	2
22	только в том	2	2
23	в этом отношении	3	2
24	одним из наиболее	1	2
25	из того что	1	2
26	все же в	1	2
27	и то что	2	2
28	ту или иную	1	2
29	с одной стороны	4	2
30	во всяком случае	3	2
31	в целом но	1	2
32	о том что	12	2
33	тем не менее	8	2
34	друг для друга	1	2
35	том что не	1	1
36	в другом месте	2	1
37	на том что	2	1
38	только потому что	1	1
39	теми или иными	1	1
40	может быть названа	1	1
41	на самом деле	1	1
42	во многих случаях	1	1
43	в соответствии с	2	1
44	имеется в виду	1	1
45	но в силу	1	1
46	и как раз	1	1
47	как это было	1	1
48	в зависимости от	1	1
49	бы то ни	1	1
50	можно было бы	3	1
51	в той мере	4	1
52	том или ином	1	1
53	в лучшем случае	1	1
54	в этом качестве	1	1
55	по крайней мере	4	1
56	по этому поводу	2	1
57	в духовной жизни	1	1
58	в значительной степени	1	1
59	в конечном итоге	1	1
60	на эту тему	1	1
61	а не только	1	1
62	но в то	3	1
63	платона и аристотеля	1	1
64	в самом деле	5	1
65	на задний план	1	1
66	говоря уже о	1	1
67	а также и	2	1
68	как один из	1	1
69	в начале xix	2	1
70	и в этом	3	1
71	по тому же	1	1
72	какой бы то	1	1
73	в момент своего	1	1
74	тех пор пока	1	1
75	хотя бы на	1	1
76	прежде всего разумеется	1	1
77	в целом ряде	2	1
78	с другой стороны	5	1
79	тем что в	1	1
80	не может быть	8	1
81	на вопрос что	1	1
82	перед собой задачу	1	1
83	различие между ними	1	1
84	цикл так называемых	1	1
85	только то что	1	1
86	до тех пор	1	1
87	имел в виду	1	1
88	с различной степенью	1	1
89	себе самому и	1	1
90	в свою очередь	1	1
91	и того же	2	1
92	до сих пор	5	1
93	с самого начала	1	1
94	но все же	3	1
95	то ни было	1	1
96	в тексте этого	1	1
97	было бы именовать	1	1
98	одного и того	2	1
99	языка на котором	1	1
100	во второй половине	2	1
101	в тексте не	1	1
102	это еще не	2	1
103	тех или иных	3	1
104	мы имеем дело	1	1
105	естественно не мог	1	1
106	как мы знаем	1	1
