N	3gram	Berdyaev_O_1	OGranits
1	не может быть	2	4
2	в самом деле	1	2
3	только и делают	1	2
4	в том что	1	2
5	в другом месте	1	1
6	том что в	1	1
7	а вовсе не	1	1
8	всегда нуждается в	1	1
9	почему же не	1	1
10	и не может	1	1
11	в этом отношении	1	1
12	то что в	1	1
13	нужно отметить что	1	1
14	которым можно было	1	1
15	для того чтобы	3	1
16	и в его	1	1
17	нигде и никогда	1	1
18	само по себе	1	1
19	прежде всего в	1	1
20	он и не	1	1
21	не только одно	1	1
22	еще одну особенность	1	1
23	и никогда не	2	1
24	на то что	1	1
25	как и в	1	1
