N	3gram	Bakhtin_sl_1	Otkroven
1	для того чтобы	1	3
2	и в этом	2	2
3	это было бы	1	2
4	не может быть	1	2
5	но и в	1	2
6	не могут быть	2	2
7	могут быть сопоставлены	2	1
8	в виду не	1	1
9	а вовсе не	2	1
10	прежде всего в	1	1
11	и в том	2	1
12	раскрыть в нем	1	1
13	у него до	1	1
14	и не может	2	1
15	во всяком случае	5	1
16	о том что	1	1
17	в этом отношении	1	1
18	и все это	1	1
19	и к нему	2	1
20	он еще не	1	1
21	и прежде всего	1	1
22	в том что	1	1
23	а иногда и	1	1
24	и не в	1	1
25	он никогда не	1	1
26	друг с другом	2	1
27	как и в	1	1
