N	3gram	Bakhtin_Fr_7	Otkroven
1	у него в	1	5
2	от него и	1	4
3	к человеку и	1	4
4	и в этом	1	2
5	в этом мире	1	2
6	что у него	2	2
7	как и все	1	2
8	но и в	1	2
9	с тем что	1	2
10	о бессмертии души	1	1
11	чем в других	1	1
12	в эпоху возрождения	1	1
13	в этих словах	1	1
14	от всех тех	1	1
15	говорят о том	1	1
16	прежде всего в	4	1
17	есть не только	1	1
18	и в том	1	1
19	это не есть	1	1
20	о том как	2	1
21	никто не может	2	1
22	в нем все	1	1
23	во всяком случае	1	1
24	сам по себе	1	1
25	не в силах	1	1
26	после того как	4	1
27	о том что	1	1
28	в этом отношении	2	1
29	то что в	2	1
30	и все это	1	1
31	и в самом	1	1
32	и прежде всего	1	1
33	в том что	3	1
34	но от этого	1	1
35	и не в	1	1
36	у кого не	1	1
37	в глубь человеческого	1	1
38	как и в	2	1
39	кого не было	1	1
40	человеку и его	1	1
41	и в его	2	1
