N	3gram	Medvedev_V_1	Istorich
1	с другой стороны	8	8
2	и т д	14	8
3	с одной стороны	2	7
4	в том что	5	5
5	до сих пор	1	4
6	не только в	2	4
7	о том что	3	4
8	о том как	3	3
9	вместе с тем	3	3
10	в данном случае	1	3
11	то время как	1	3
12	мы видели что	3	3
13	в то время	1	3
14	не может быть	8	3
15	другой стороны он	1	2
16	но и в	1	2
17	только то что	2	2
18	т е в	2	2
19	таким образом и	1	2
20	во всяком случае	1	2
21	по отношению к	7	2
22	после того как	1	2
23	можно было бы	2	2
24	в другом месте	2	1
25	если он не	1	1
26	следует отметить что	1	1
27	лицом к лицу	1	1
28	это то что	1	1
29	в прямом смысле	1	1
30	приводит в движение	1	1
31	более или менее	6	1
32	ответить на эти	1	1
33	в том числе	2	1
34	того или другого	1	1
35	всегда связаны с	1	1
36	одной стороны и	2	1
37	же как и	1	1
38	в частности в	2	1
39	состоял в том	1	1
40	сих пор не	1	1
41	и не может	2	1
42	в таком случае	1	1
43	в зависимости от	5	1
44	у него в	1	1
45	что все эти	1	1
46	т д но	1	1
47	таким образом в	2	1
48	по аналогии с	1	1
49	том числе и	2	1
50	кроме того что	1	1
51	есть одно и	1	1
52	еще не означает	1	1
53	на этот вопрос	1	1
54	и др в	3	1
55	со всех сторон	1	1
56	с этой точки	1	1
57	эти примеры показывают	1	1
58	то или иное	1	1
59	одно и то	1	1
60	так же как	1	1
61	или как говорит	1	1
62	на эти вопросы	2	1
63	убедительно показывают что	1	1
64	чтобы ответить на	1	1
65	и то же	1	1
66	как один из	1	1
67	так или иначе	1	1
68	все же не	1	1
69	т е тех	1	1
70	между этими двумя	1	1
71	все эти примеры	1	1
72	в том смысле	1	1
73	этой точки зрения	2	1
74	от того что	2	1
75	том смысле что	1	1
76	представлений в которых	1	1
77	и вместе с	1	1
78	которые не имели	1	1
79	но даже в	1	1
80	подобно тому как	2	1
81	можно сказать что	4	1
82	не значит что	1	1
83	для того чтобы	3	1
84	мы только что	1	1
85	один из видов	1	1
