N	3gram	Berdyaev_M_1	TeoriaLi
1	по отношению к	2	8
2	в отличие от	1	7
3	в том что	1	6
4	так и не	1	5
5	что в основе	1	2
6	в русской поэзии	1	2
7	но он не	2	2
8	не может быть	17	2
9	красота – это	1	1
10	если он не	1	1
11	не все человеческие	1	1
12	– все это	1	1
13	он мог бы	1	1
14	– как будто	1	1
15	имеем в виду	1	1
16	точки зрения у	1	1
17	ивана карамазова в	1	1
18	искусство никогда не	1	1
19	может быть назван	1	1
20	и состоит чтобы	1	1
21	– один из	3	1
22	в иных случаях	1	1
23	что он не	2	1
24	жизни не в	1	1
25	но во всех	1	1
26	он ни был	1	1
27	в том случае	1	1
28	том случае если	1	1
29	может быть и	1	1
30	в значительной степени	1	1
31	и не быть	1	1
32	в отношении к	1	1
33	отношению к нему	1	1
34	и по отношению	1	1
35	не могут быть	2	1
36	и в этой	4	1
37	своем отношении к	1	1
38	несет в себе	1	1
39	как бы в	1	1
40	в то время	2	1
41	он не принадлежит	1	1
42	это и есть	4	1
43	о том что	1	1
44	в себе самом	1	1
45	мы имеем в	1	1
46	для того чтобы	2	1
47	к нему как	1	1
48	добро и зло	1	1
49	он не только	2	1
