N	3gram	Trubetskoy_1	Analitik
1	не может быть	1	16
2	в том что	3	9
3	в то же	2	8
4	в отличие от	1	6
5	то же время	2	6
6	той или иной	2	6
7	по отношению к	1	5
8	с точки зрения	6	4
9	к тому же	4	4
10	о том что	4	3
11	состоит в том	1	3
12	в том числе	5	3
13	в таком случае	1	3
14	бы то ни	2	3
15	для того чтобы	5	3
16	то ни было	2	3
17	с одной стороны	7	3
18	не в том	1	3
19	том или ином	1	3
20	и того же	1	2
21	в самом деле	1	2
22	то же самое	2	2
23	сами по себе	1	2
24	в этом отношении	2	2
25	в данном случае	1	2
26	в первом случае	1	2
27	но в то	1	2
28	с другой стороны	1	2
29	в том или	1	2
30	в широком смысле	1	2
31	и все же	1	2
32	одного и того	1	2
33	что и произошло	1	1
34	в том виде	2	1
35	есть не более	1	1
36	и в сущности	1	1
37	более или менее	5	1
38	имеем в виду	1	1
39	один и тот	1	1
40	в соответствии с	1	1
41	о том как	1	1
42	же время он	1	1
43	до сих пор	5	1
44	во всей своей	1	1
45	выход из себя	1	1
46	случае мы имеем	1	1
47	том числе и	4	1
48	в то что	1	1
49	виде в каком	1	1
50	но и как	1	1
51	с этой точки	2	1
52	по крайней мере	5	1
53	то или иное	2	1
54	вместе с тем	8	1
55	быть и больше	1	1
56	и т.д в	1	1
57	смысле этого слова	1	1
58	и не могут	1	1
59	в свою очередь	1	1
60	говорить не приходится	1	1
61	а с другой	5	1
62	хотя бы с	1	1
63	во всяком случае	6	1
64	этой точки зрения	2	1
65	том виде в	2	1
66	а вместе с	1	1
67	что даже в	1	1
68	и вместе с	4	1
69	в этом последнем	1	1
70	человека для того	1	1
71	только тогда когда	1	1
72	мы имеем в	1	1
73	широком смысле этого	1	1
74	друг друга а	1	1
75	в связи с	3	1
76	и таким образом	3	1
77	под этим именем	1	1
78	в своей теоретической	1	1
79	друг с другом	5	1
80	как и ее	1	1
81	и тот же	1	1
