N	3gram	Berdyaev_N_1	Problemy
1	в этом смысле	2	10
2	в том что	1	6
3	в зависимости от	1	5
4	не может быть	4	4
5	что она не	1	3
6	подобно тому как	3	3
7	сами по себе	1	3
8	это не значит	2	3
9	во всяком случае	1	3
10	с другой стороны	2	3
11	до сих пор	1	2
12	и не может	1	2
13	не только в	1	2
14	в большинстве случаев	1	2
15	можно было бы	1	2
16	в платоновском смысле	1	1
17	xviii века но	1	1
18	же как и	1	1
19	он не может	2	1
20	в том и	2	1
21	переживает кризис и	1	1
22	то что в	1	1
23	что в нем	2	1
24	и не во	2	1
25	может быть только	1	1
26	и весь мир	1	1
27	то время как	1	1
28	могут быть отнесены	1	1
29	так же как	2	1
30	или иная форма	1	1
31	слова а не	1	1
32	в высшей степени	6	1
33	себе и в	1	1
34	и не могут	1	1
35	как будто бы	1	1
36	в известном смысле	1	1
37	не могут быть	1	1
38	не в том	1	1
39	ни в какие	1	1
40	и еще не	1	1
41	в мире а	1	1
42	о том что	1	1
43	тому как в	1	1
44	не в духе	1	1
45	и про себя	1	1
46	в то время	1	1
47	она не может	2	1
48	это и есть	1	1
49	та или иная	1	1
50	для них не	1	1
51	ведь прежде всего	1	1
52	ни одна из	2	1
53	выходит за пределы	1	1
54	во всех сферах	3	1
55	мы должны перейти	1	1
56	и быть не	1	1
57	конечно не в	1	1
58	было бы сказать	1	1
59	культуры нового времени	2	1
60	не будет и	1	1
61	нового времени что	1	1
62	быть не может	1	1
