N	2gram	Berdyaev_O_1	TeoriaLi
1	в мире	1	24
2	не только	11	18
3	и не	13	16
4	а в	5	14
5	и в	19	13
6	в частности	1	13
7	так и	2	12
8	может быть	11	12
9	в этом	12	11
10	представляет собой	1	11
11	в том	5	11
12	но не	1	10
13	и его	4	10
14	а не	11	10
15	в его	7	9
16	в душе	2	8
17	но и	13	8
18	что в	4	8
19	в себе	3	7
20	том что	2	7
21	по своей	1	7
22	как это	1	7
23	еще не	3	6
24	с его	4	6
25	но в	2	6
26	лишь в	7	6
27	в русской	3	6
28	как бы	3	6
29	жизни как	1	5
30	в своем	2	5
31	в самом	5	5
32	он не	7	5
33	как и	6	5
34	не в	11	5
35	в нем	10	5
36	в ее	2	5
37	уже не	1	5
38	не случайно	1	5
39	как в	1	5
40	отношение к	5	4
41	хотя и	2	4
42	то что	5	4
43	в своей	2	4
44	в форме	1	4
45	и ее	3	4
46	но он	7	4
47	личности и	2	4
48	сказать что	2	4
49	не может	4	4
50	и то	2	3
51	между двумя	1	3
52	например в	1	3
53	не все	2	3
54	и к	2	3
55	все эти	4	3
56	в этой	5	3
57	он должен	1	3
58	и вот	3	3
59	самим собой	1	3
60	его в	2	3
61	и сам	1	3
62	в этих	3	3
63	художественного творчества	1	3
64	в отношении	1	3
65	никогда не	9	3
66	потому что	9	3
67	в другом	2	3
68	и что	1	3
69	того что	3	3
70	а с	1	3
71	человека с	1	3
72	для него	5	3
73	прежде всего	9	3
74	и потому	2	3
75	человека к	2	3
76	этого слова	1	3
77	мира в	1	3
78	ни к	1	3
79	отношении к	1	3
80	речи и	1	3
81	была бы	1	2
82	отношения к	1	2
83	мире это	1	2
84	и это	1	2
85	и больше	1	2
86	у него	22	2
87	человеческих отношений	4	2
88	что они	2	2
89	как к	2	2
90	и как	1	2
91	самом начале	1	2
92	в которой	2	2
93	к одному	1	2
94	этом мире	2	2
95	это не	3	2
96	вовсе не	1	2
97	по себе	2	2
98	как будто	1	2
99	и для	2	2
100	и о	2	2
101	не с	1	2
102	к его	1	2
103	если бы	1	2
104	в виду	1	2
105	и здесь	1	2
106	о том	3	2
107	в глаза	1	2
108	особого рода	1	2
109	это было	3	2
110	к нему	3	2
111	говорит в	1	2
112	что сама	1	2
113	в конце	1	2
114	от свободы	1	2
115	и даже	1	2
116	со стороны	1	2
117	а именно	1	2
118	перед ним	1	2
119	о чем	1	2
120	могут быть	3	2
121	жизни в	2	2
122	что он	3	2
123	и состоит	1	2
124	также и	1	1
125	человека и	10	1
126	и через	1	1
127	связана с	1	1
128	и есть	3	1
129	этого мира	2	1
130	тем же	1	1
131	в иных	1	1
132	к другому	1	1
133	и до	1	1
134	кто бы	1	1
135	как против	1	1
136	вопрос о	10	1
137	чтобы не	1	1
138	все и	1	1
139	не вполне	1	1
140	о судьбе	1	1
141	момент в	2	1
142	собой в	1	1
143	и на	2	1
144	и возможности	1	1
145	во внешнем	1	1
146	проникновение в	1	1
147	иных случаях	1	1
148	совсем не	2	1
149	ивана карамазова	7	1
150	и остроте	1	1
151	любовь и	1	1
152	на то	1	1
153	в истории	2	1
154	отношение человека	1	1
155	в центре	1	1
156	человеческая личность	1	1
157	сознания в	1	1
158	нему как	1	1
159	духа и	1	1
160	силе и	1	1
161	при чтении	2	1
162	добро и	2	1
163	то в	1	1
164	к чему	1	1
165	из жизни	1	1
166	что это	1	1
167	что достоевский	2	1
168	за это	1	1
169	он в	2	1
170	с их	1	1
171	говорят о	1	1
172	ее как	1	1
173	что она	1	1
174	он ни	1	1
175	ключ к	1	1
176	человеческого духа	3	1
177	в силу	1	1
178	на земле	4	1
179	ни был	1	1
180	что все	2	1
181	том-то и	1	1
182	различие между	3	1
