N	3gram	Vinokur_Ku_3	Formalny
1	с точки зрения	16	13
2	то же время	1	8
3	в то же	1	8
4	и т д	8	8
5	более или менее	2	6
6	на самом деле	3	6
7	до сих пор	8	6
8	в свою очередь	1	6
9	не может быть	3	5
10	по отношению к	2	4
11	с одной стороны	4	4
12	во всяком случае	1	4
13	так и в	3	4
14	и т п	41	4
15	прежде всего в	1	3
16	бы то ни	1	3
17	в своей статье	2	3
18	может быть и	1	3
19	смысле этого слова	2	3
20	в ее целом	1	3
21	а вовсе не	1	2
22	во что бы	1	2
23	и не может	1	2
24	в зависимости от	7	2
25	в строгом смысле	1	2
26	точки зрения их	1	2
27	что бы то	1	2
28	в том чтобы	3	2
29	и в этом	4	2
30	то ни стало	1	2
31	в связи с	4	2
32	в связи со	1	2
33	в целом ряде	1	2
34	т е как	3	2
35	и пр и	1	2
36	того или иного	3	2
37	как и всякая	1	2
38	мы не можем	1	2
39	не только не	1	2
40	друг от друга	1	2
41	сама по себе	2	2
42	пр и пр	1	2
43	как мы видели	2	2
44	в чем же	1	1
45	в этом его	1	1
46	здесь может быть	1	1
47	т е она	1	1
48	и в нашем	1	1
49	не говоря уже	2	1
50	и потому совершенно	1	1
51	получает свое значение	1	1
52	хотя и здесь	1	1
53	в этом смысле	1	1
54	конечно может быть	1	1
55	они ничего не	1	1
56	как раз и	2	1
57	не исчерпывает еще	1	1
58	тот или иной	2	1
59	говоря уже о	2	1
60	хотя бы и	1	1
61	на минуту не	1	1
62	можно говорить о	3	1
63	в том что	8	1
64	но и в	1	1
65	оно тем самым	1	1
66	но для этого	1	1
67	точки зрения ее	1	1
68	в противном случае	1	1
69	лишь в процессе	1	1
70	с этой точки	1	1
71	вместе с тем	1	1
72	а кроме того	1	1
73	при правильном понимании	1	1
74	создается впечатление что	1	1
75	т е в	1	1
76	в данном случае	4	1
77	мы наблюдаем в	1	1
78	к этому понятию	1	1
79	что на самом	1	1
80	он в своем	1	1
81	хотя бы о	1	1
82	и в то	1	1
83	слово т е	1	1
84	зависимости от того	3	1
85	приходим к вопросу	1	1
86	не столько в	1	1
87	на фоне этого	1	1
88	в отличие от	2	1
89	ни на минуту	1	1
90	ни одного из	1	1
91	т е на	2	1
92	чтобы понять что	1	1
93	е она не	1	1
94	а не как	1	1
95	не должна быть	1	1
96	с другой стороны	3	1
97	как в самом	1	1
98	так же как	1	1
99	самом деле в	1	1
100	поскольку дело идет	1	1
101	именно в том	1	1
102	этой точки зрения	1	1
103	об искусстве но	1	1
104	т е к	2	1
105	совершенно независимо от	1	1
106	форма и содержание	1	1
107	до тех пор	4	1
108	истории русской литературы	1	1
109	от того что	2	1
110	в процессе развития	1	1
111	чтобы вслед за	1	1
112	т е таких	1	1
113	т п в	3	1
114	материал этот в	1	1
115	в том отношении	1	1
116	но все же	1	1
117	том отношении что	1	1
118	не выходит за	1	1
119	не с точки	1	1
120	в двух направлениях	2	1
121	заключается в том	1	1
122	концы с концами	1	1
123	в том числе	2	1
124	к тому что	1	1
125	тех или иных	1	1
126	тем не менее	9	1
127	в каком-либо определенном	1	1
128	в отвлечении от	1	1
129	с помощью этого	1	1
130	этом смысле можно	1	1
131	выходит за пределы	1	1
132	что дело здесь	1	1
133	что и в	2	1
134	вслед за этим	1	1
135	именно как элемент	1	1
136	мы увидим что	1	1
137	что он в	1	1
138	лишь в их	2	1
