N	3gram	Kanaev_Sov_1	DiskursI
1	в отличие от	2	12
2	в данном случае	1	6
3	в том что	1	6
4	то же время	1	5
5	по отношению к	1	4
6	в то же	1	4
7	с одной стороны	1	4
8	не может быть	4	3
9	и все же	1	3
10	той или иной	1	3
11	и может быть	1	2
12	одной стороны и	1	2
13	в обоих случаях	1	2
14	в этом случае	1	2
15	а потом и	1	2
16	с точки зрения	5	2
17	и не может	1	2
18	заключает в себе	1	2
19	в такого рода	1	2
20	дело в том	1	2
21	в свое время	1	2
22	и прежде всего	1	2
23	такой же мере	1	1
24	в самом деле	1	1
25	и в то	1	1
26	друг на друга	1	1
27	бы то ни	1	1
28	и именно в	1	1
29	по аналогии с	1	1
30	одна из них	1	1
31	в предыдущей главе	1	1
32	и могут быть	1	1
33	между ним и	1	1
34	в такой же	1	1
35	то ни было	1	1
36	не могут быть	1	1
37	не в том	1	1
38	во всяком случае	2	1
39	и той же	1	1
40	принципиально не может	1	1
41	равно как и	1	1
42	с самого начала	3	1
43	но все эти	1	1
44	в конечном счете	1	1
45	и есть не	1	1
46	времени и пространства	2	1
47	собственно и составляет	1	1
48	одной и той	1	1
49	тем не менее	2	1
50	с совершенно иными	1	1
51	по крайней мере	1	1
