N	3gram	Voloshinov_2	Sotsiolo
1	только в этом	2	2
2	в том что	6	2
3	но ведь это	1	2
4	по отношению к	8	2
5	в марксистской литературе	1	1
6	между собой не	1	1
7	конечно не в	1	1
8	по крайней мере	2	1
9	то же самое	5	1
10	как бы они	1	1
11	в конечном счете	1	1
12	том что это	1	1
13	не было бы	2	1
14	друг от друга	1	1
15	в то же	8	1
16	а с другой	1	1
17	в связи с	7	1
18	между тем именно	1	1
19	то же время	8	1
20	ровно ничего не	1	1
21	чуть ли не	1	1
22	бы они ни	1	1
23	они ни были	1	1
24	в противном случае	2	1
25	с одной стороны	3	1
26	во всяком случае	2	1
27	применения социологического метода	1	1
