N	2gram	Nazirov_Vr_1	slovoVRo
1	и в	8	41
2	в нем	6	30
3	в романе	6	21
4	в роман	2	19
5	могут быть	1	19
6	во всех	1	17
7	не только	9	16
8	и не	5	16
9	точки зрения	2	16
10	но и	7	16
11	то же	5	14
12	в то	5	14
13	и его	3	14
14	может быть	4	14
15	не может	2	14
16	в его	3	13
17	в этом	8	12
18	до конца	1	12
19	же время	5	12
20	как бы	4	12
21	так и	1	11
22	в той	2	10
23	себя в	1	9
24	таким образом	2	9
25	как в	1	8
26	но в	6	8
27	с точки	2	8
28	в особенности	1	8
29	прежде всего	1	8
30	общего мнения	1	8
31	отношение к	2	7
32	все же	6	7
33	в своей	2	7
34	у тургенева	11	7
35	с ним	4	7
36	во всяком	1	7
37	того же	1	6
38	при этом	4	6
39	в плане	1	6
40	это не	4	6
41	в них	2	6
42	и даже	6	6
43	а в	2	6
44	отношении к	1	6
45	в самом	1	5
46	далеко не	3	5
47	всяком случае	1	5
48	все это	4	5
49	к нему	1	5
50	с другой	1	5
51	еще более	1	5
52	романа и	1	5
53	одним из	3	4
54	по преимуществу	1	4
55	в ней	4	4
56	еще не	2	4
57	с его	3	4
58	и наконец	1	4
59	входя в	1	4
60	всех этих	1	4
61	и с	6	4
62	как и	6	4
63	в их	1	4
64	том же	2	4
65	в процессе	1	4
66	с ее	1	4
67	ничего не	1	4
68	о нем	6	4
69	один из	1	4
70	ли он	1	4
71	рядом с	2	4
72	и все	7	4
73	и от	1	4
74	быть и	1	4
75	другой стороны	1	4
76	также и	1	3
77	в своем	3	3
78	момент его	1	3
79	выражение в	1	3
80	в себе	2	3
81	и сам	1	3
82	его в	3	3
83	было бы	1	3
84	он не	3	3
85	и ее	2	3
86	нем в	1	3
87	не могло	1	3
88	следовательно и	1	3
89	никогда не	2	3
90	автора к	1	3
91	о том	4	3
92	и во	3	3
93	в него	2	3
94	того что	1	3
95	в том	3	3
96	в качестве	1	3
97	из них	2	3
98	его и	2	3
99	для него	2	3
100	с различными	1	3
101	друг друга	1	3
102	у него	5	3
103	именно в	1	3
104	в свою	2	3
105	романа в	1	3
106	не было	5	3
107	более того	1	3
108	в истории	4	3
109	с этим	1	3
110	влияния на	1	3
111	в основном	1	3
112	из этого	1	3
113	в свое	1	3
114	а между	1	2
115	к своей	1	2
116	то в	1	2
117	в котором	6	2
118	той же	1	2
119	же как	2	2
120	роман в	1	2
121	это отношение	1	2
122	свою очередь	1	2
123	и то	2	2
124	столь же	2	2
125	по своему	1	2
126	одним словом	1	2
127	в ее	1	2
128	но не	1	2
129	и речи	1	2
130	что они	1	2
131	сих пор	1	2
132	как к	1	2
133	хотя и	1	2
134	от этой	1	2
135	в целом	1	2
136	в известном	2	2
137	не могла	1	2
138	время и	2	2
139	одному из	1	2
140	свои собственные	1	2
141	одно и	1	2
142	том что	3	2
143	в эту	2	2
144	в этих	1	2
145	но он	3	2
146	без всяких	1	2
147	из него	1	2
148	все свои	1	2
149	вне его	1	2
150	такая же	1	2
151	для нас	4	2
152	ему не	1	2
153	в духе	1	2
154	правда не	1	2
155	и о	3	2
156	куда вы	1	2
157	то время	1	2
158	так в	2	2
159	роль в	1	2
160	не с	1	2
161	и вообще	1	2
162	а также	2	2
163	нас в	1	2
164	известном смысле	1	2
165	между тем	5	2
166	связи с	3	2
167	уже не	2	2
168	и у	3	2
169	героев романа	1	2
170	в известной	1	2
171	в одном	1	2
172	в другой	1	2
173	до сих	1	2
174	не есть	1	2
175	а с	2	2
176	с которым	2	2
177	к автору	2	2
178	мнение о	1	2
179	в частности	1	2
180	эти слова	3	2
181	так же	4	2
182	в речах	1	2
183	этого типа	1	2
184	в условиях	1	2
185	как раз	2	2
186	одна из	2	2
187	такое понимание	1	2
188	потому что	1	2
189	они как	1	2
190	автора в	1	2
191	бы его	1	2
192	к этому	3	2
193	себя как	1	1
194	как известно	1	1
195	к людям	1	1
196	считал роман	1	1
197	и есть	1	1
198	конечно в	1	1
199	из всех	1	1
200	что уже	1	1
201	именно к	1	1
202	место в	2	1
203	и он	2	1
204	собой в	1	1
205	литературе и	1	1
206	он был	3	1
207	рассказ не	1	1
208	только два	1	1
209	а следовательно	1	1
210	в в	2	1
211	но как	2	1
212	в сторону	1	1
213	не все	1	1
214	каком направлении	1	1
215	они эти	1	1
216	его на	2	1
217	и дети	2	1
218	по которому	1	1
219	что как	1	1
220	слова другие	1	1
221	два дня	1	1
222	целый ряд	4	1
223	разногласия и	1	1
224	них он	1	1
225	в этот	3	1
226	в письмах	2	1
227	в этой	2	1
228	на то	3	1
229	от которого	1	1
230	чем у	1	1
231	по всем	1	1
232	есть еще	1	1
233	нашего времени	2	1
234	с такими	1	1
235	человека в	3	1
236	совпадают с	1	1
237	есть все	1	1
238	заключается в	1	1
239	в жизни	1	1
240	как общее	1	1
241	ее способности	1	1
242	письмах и	1	1
243	этого не	1	1
244	и уже	3	1
245	несмотря на	4	1
246	на этот	1	1
247	автору а	1	1
248	отцы и	2	1
249	о романе	2	1
250	ведь не	1	1
251	он принимает	1	1
252	многочисленны и	1	1
253	он тоже	2	1
254	одном из	1	1
255	сам же	1	1
256	эпиграфом к	1	1
257	тем не	1	1
258	по крайней	1	1
259	однако в	1	1
260	не менее	2	1
261	произведения это	1	1
262	правда в	1	1
263	героев и	1	1
264	мнения о	1	1
265	только не	1	1
266	и лишь	1	1
267	его отношение	1	1
268	в другую	1	1
269	по своей	1	1
270	людей и	1	1
271	во всем	1	1
272	же он	1	1
273	этом отношении	1	1
274	и сомнения	1	1
275	отношение автора	1	1
276	в каком	1	1
277	в стиле	1	1
278	среди них	1	1
279	тем это	1	1
280	тургенева в	7	1
281	во все	1	1
282	отличается от	1	1
283	этого и	1	1
284	его с	2	1
285	мысли на	2	1
286	на это	2	1
287	время он	2	1
288	и это	2	1
289	россию и	1	1
290	в виду	4	1
291	же не	2	1
292	и другими	1	1
293	принимая его	1	1
294	но у	1	1
295	жизнь и	1	1
296	не был	1	1
297	и что	8	1
298	его жизни	1	1
299	это было	1	1
300	крайней мере	1	1
301	в литературе	1	1
302	п в	2	1
303	которым он	1	1
304	в литературу	1	1
305	сложности и	1	1
306	тургенева и	18	1
307	в эти	2	1
308	из которого	1	1
309	сколько в	1	1
310	время по	1	1
311	практике его	1	1
312	в начале	6	1
313	в душе	1	1
314	к своим	1	1
315	ни с	1	1
316	и их	1	1
317	к ним	2	1
318	каждый из	1	1
319	не просто	1	1
320	от того	1	1
321	в форме	1	1
322	о своем	1	1
323	он часто	1	1
324	он считал	4	1
325	и крайняя	1	1
326	что для	1	1
327	только по	1	1
328	был в	1	1
329	и самый	1	1
330	того который	1	1
331	о чем	2	1
332	в виноградов	2	1
333	автору и	1	1
334	больших и	1	1
335	ближе к	1	1
336	он и	1	1
337	с помощью	1	1
338	этот рассказ	2	1
339	нет ничего	1	1
340	о себе	3	1
341	роман не	1	1
342	романа однако	1	1
343	вместе с	2	1
344	ко всем	1	1
345	п и	1	1
346	в среде	2	1
347	в живое	1	1
348	да и	1	1
349	хотя он	1	1
350	в бесах	10	1
351	в это	2	1
352	но это	2	1
353	между прочим	1	1
354	нем самом	1	1
355	но с	1	1
356	лежал в	1	1
357	которых он	1	1
358	тем более	2	1
359	о котором	1	1
360	работы над	1	1
361	от них	1	1
362	бы в	1	1
