N	2gram	Losev_Vesc_1	KulturaY
1	т е	55	38
2	и т	19	33
3	в том	8	30
4	и в	21	24
5	потому что	16	23
6	том что	8	21
7	что в	9	17
8	того чтобы	3	17
9	для того	2	16
10	было бы	14	15
11	и пр	6	15
12	в этом	4	14
13	т д	19	14
14	точки зрения	5	14
15	может быть	16	13
16	все же	4	12
17	таким образом	8	12
18	языка в	1	12
19	и не	29	12
20	в его	2	12
21	не в	5	11
22	только в	14	11
23	хотя бы	6	10
24	в самом	9	10
25	не только	36	10
26	в силу	3	10
27	у нас	7	10
28	вовсе не	10	10
29	самом деле	4	9
30	с точки	3	9
31	так как	7	9
32	если бы	5	9
33	о том	6	9
34	того что	8	9
35	прежде всего	9	9
36	то что	27	9
37	а только	3	8
38	уже не	9	8
39	то же	6	8
40	том чтобы	1	8
41	в языке	1	8
42	тем что	2	8
43	как раз	9	8
44	а не	19	8
45	не может	17	7
46	это не	5	7
47	не менее	3	7
48	так и	3	7
49	бы в	5	7
50	в качестве	1	7
51	с другой	6	7
52	как бы	12	7
53	вместе с	1	7
54	только потому	1	6
55	мере в	1	6
56	мы имеем	7	6
57	зависимости от	1	6
58	в ней	12	6
59	однако не	2	6
60	в которой	1	6
61	все эти	3	6
62	при этом	1	6
63	тогда когда	5	6
64	не случайно	2	6
65	можно было	2	6
66	язык есть	2	6
67	что он	1	6
68	но и	18	6
69	именно в	1	6
70	что же	8	6
71	все это	5	6
72	другой стороны	2	6
73	что такое	12	6
74	в зависимости	1	5
75	еще не	8	5
76	но не	5	5
77	не просто	19	5
78	что это	13	5
79	и с	8	5
80	но уже	3	5
81	с тем	5	5
82	по крайней	4	5
83	и его	2	5
84	не потому	6	5
85	к тому	3	5
86	в виду	2	5
87	к языку	1	5
88	с ним	8	5
89	и что	15	5
90	крайней мере	4	5
91	еще и	8	5
92	всяком случае	2	5
93	содержание и	1	5
94	что не	5	5
95	языка как	2	5
96	в той	3	5
97	в результате	3	5
98	этом отношении	1	5
99	а в	4	5
100	во всяком	3	5
101	того же	5	4
102	переход от	1	4
103	это и	6	4
104	что эти	1	4
105	с его	1	4
106	что они	6	4
107	из этих	1	4
108	на то	4	4
109	в нем	2	4
110	того или	1	4
111	в данном	5	4
112	и тогда	1	4
113	тем не	3	4
114	тем самым	1	4
115	в науке	1	4
116	к себе	4	4
117	в пределах	1	4
118	не на	1	4
119	в самой	2	4
120	внимание на	1	4
121	что и	3	4
122	с ними	3	4
123	должен быть	2	4
124	так что	5	4
125	есть в	1	4
126	не есть	49	4
127	из них	4	4
128	со стороны	5	4
129	до сих	1	4
130	в частности	1	4
