N	2gram	Vinokur_St_2	NovoeSre
1	а не	5	17
2	и в	29	16
3	не может	2	16
4	совсем не	1	12
5	и не	9	11
6	в эпоху	1	9
7	истории и	2	9
8	что в	19	9
9	как не	1	8
10	в том	27	8
11	жизни и	1	8
12	он не	9	8
13	в этом	21	7
14	может быть	2	7
15	не будет	1	7
16	как и	2	7
17	высшей степени	1	6
18	с его	2	6
19	не в	4	6
20	ни в	3	6
21	в высшей	1	6
22	никогда не	3	6
23	но это	3	6
24	в ней	7	5
25	и к	4	5
26	не только	19	5
27	xix века	3	5
28	все это	11	5
29	в нем	4	5
30	со всех	1	4
31	большую роль	1	4
32	о том	17	4
33	перестает быть	1	4
34	в них	2	4
35	то что	11	4
36	прежде всего	5	4
37	не было	3	4
38	и потому	2	4
39	по своему	2	4
40	не менее	3	4
41	и для	1	4
42	не имеет	2	4
43	и все	1	4
44	потому что	9	4
45	наши дни	1	3
46	с другой	4	3
47	смысле слова	1	3
48	в ее	2	3
49	верить в	1	3
50	вопрос о	6	3
51	исторической эпохи	1	3
52	еще не	1	3
53	за пределы	1	3
54	в истории	2	3
55	как в	3	3
56	конечно не	1	3
57	но и	19	3
58	это было	2	3
59	к власти	2	3
60	и пр	8	3
61	с тем	7	3
62	в своей	7	3
63	в россии	3	3
64	она не	1	3
65	что такое	2	3
66	не существует	1	3
67	в основе	1	3
68	жизни в	1	3
69	в духе	2	3
70	к тому	10	3
71	в наши	1	3
72	сказать что	2	3
73	и это	2	2
74	же как	3	2
75	это и	1	2
76	роль в	1	2
77	не имеют	1	2
78	переход к	1	2
79	можно было	1	2
80	так и	9	2
81	времени и	4	2
82	мы не	1	2
83	общества и	1	2
84	и с	4	2
85	еще до	4	2
86	я не	7	2
87	вот почему	1	2
88	и что	6	2
89	и на	6	2
90	должно было	3	2
91	но не	3	2
92	века и	2	2
93	все время	1	2
94	с этим	3	2
95	ни к	1	2
96	хотя и	4	2
97	не хотят	1	2
98	но в	8	2
99	который в	1	2
100	все эти	2	2
101	с их	1	2
102	в себе	2	2
103	не к	2	2
104	том чтобы	1	2
105	у него	1	2
106	что она	1	2
107	что все	1	2
108	нет и	2	2
109	и даже	3	2
110	этом смысле	1	2
111	права на	1	2
112	для чего	1	2
113	но я	1	2
114	том что	27	2
115	вместе с	7	2
116	так же	3	2
117	к подлинному	2	2
118	которому не	1	2
119	место в	1	2
120	такого рода	2	2
121	другой стороны	3	2
122	по существу	2	2
123	не могли	2	2
124	и общества	1	2
125	xviii века	2	2
126	как будто	1	2
127	как это	2	2
128	такой же	1	2
129	но для	1	2
130	в то	2	2
131	одна из	1	2
132	мысли в	1	2
133	того чтобы	6	2
134	и от	1	2
135	хотя бы	3	2
136	все они	1	2
137	а в	1	2
138	можно назвать	1	2
139	я ни	1	1
140	божьего и	1	1
141	зависимость от	1	1
142	только потому	2	1
143	средних веков	1	1
144	характер и	1	1
145	и замечательно	1	1
146	по преимуществу	1	1
147	как результат	1	1
148	и до	1	1
149	слова а	1	1
150	то нужно	1	1
151	в образе	3	1
152	с собой	1	1
153	на нее	3	1
154	очень долго	1	1
155	не с	1	1
156	и которые	1	1
157	во многом	2	1
158	все свои	1	1
159	еще в	2	1
160	к тем	1	1
161	можно сказать	1	1
162	говорить о	1	1
163	о самом	1	1
164	на себя	3	1
165	был уже	1	1
166	не был	3	1
167	в виду	7	1
168	зависимости от	1	1
169	это время	2	1
170	думаю что	1	1
171	на них	1	1
172	от старых	1	1
173	в чем	1	1
174	не могу	1	1
175	и во	1	1
176	разнообразие в	1	1
177	на всех	1	1
