N	3gram	Losev_Vlad_3	Stilisti
1	в то же	3	9
2	то же время	2	7
3	для того чтобы	1	7
4	с точки зрения	6	5
5	и то же	1	4
6	то же самое	1	4
7	одно и то	1	4
8	с самого начала	1	4
9	той или иной	1	4
10	в этом случае	1	3
11	не только в	1	3
12	в конце концов	5	3
13	мы уже видели	1	3
14	как мы видели	3	3
15	но об этом	1	2
16	само собой разумеется	2	2
17	а с тем	1	2
18	и не только	1	2
19	и в то	2	2
20	вместе с тем	6	2
21	в этом отношении	2	2
22	же самое время	1	2
23	не может быть	6	2
24	что перед нами	1	2
25	не что иное	1	2
26	о том что	8	2
27	что иное как	1	2
28	в связи с	2	2
29	к тому что	2	2
30	мы видим что	1	2
31	все то что	1	2
32	это же самое	2	1
33	тому что мы	1	1
34	уже содержит в	1	1
35	в те времена	5	1
36	более или менее	5	1
37	которой мы сейчас	1	1
38	не говоря уже	1	1
39	так как в	1	1
40	говоря уже об	1	1
41	в самом деле	1	1
42	и в отношении	3	1
43	должен был бы	1	1
44	как нет и	1	1
45	во второй статье	1	1
46	являются для нас	1	1
47	как раз и	5	1
48	необходимо заметить что	1	1
49	в дальнейшем мы	1	1
50	в силу которого	1	1
51	о которой мы	1	1
52	до сих пор	1	1
53	нетрудно заметить что	1	1
54	лишь при условии	1	1
55	независимо от того	2	1
56	в себе и	2	1
57	не иначе как	1	1
58	несмотря на свою	1	1
59	можно было бы	1	1
60	в нашем сознании	1	1
61	конечно это не	1	1
62	хотя бы на	1	1
63	отнюдь не является	1	1
64	и в жизни	1	1
65	говорить не о	1	1
66	хотя бы и	3	1
67	того чтобы не	1	1
68	так а не	1	1
69	того времени когда	1	1
70	является не просто	1	1
71	ни слова а	1	1
72	еще раз что	1	1
73	с целым рядом	1	1
74	самого начала своего	1	1
75	а не иначе	1	1
76	и в этом	5	1
77	тем не менее	9	1
78	и никак не	1	1
79	но даже и	2	1
80	благодаря тому что	1	1
81	иметь в виду	2	1
82	но и его	1	1
83	но вместе с	1	1
84	только в словесном	1	1
85	в виду что	1	1
86	содержит в себе	4	1
87	не менее и	1	1
88	если мы будем	1	1
89	силу которого она	1	1
90	вопрос неужели и	1	1
91	бросается в глаза	2	1
92	мы не можем	1	1
93	что вся система	1	1
94	даже и в	2	1
95	не может не	1	1
96	само по себе	3	1
97	эту точку зрения	1	1
98	не только не	1	1
99	вопрос о том	1	1
100	не только на	1	1
101	ни в какой	1	1
102	и как мы	1	1
103	с другой стороны	2	1
104	только в том	3	1
105	но все эти	1	1
106	уже не только	1	1
107	бытие в котором	1	1
108	мы уже знаем	1	1
109	в том что	10	1
110	время является и	1	1
111	перед нами не	1	1
112	на наш взгляд	1	1
