N	2gram	Vygotskiy__7	Freidism
1	таким образом	23	24
2	и не	18	23
3	не может	11	20
4	точки зрения	28	19
5	прежде всего	7	18
6	в этом	29	15
7	в его	4	15
8	с помощью	13	14
9	мы можем	3	13
10	может быть	7	13
11	и его	12	12
12	все эти	6	11
13	как и	15	11
14	с точки	21	11
15	как бы	6	11
16	то что	24	11
17	самом деле	6	10
18	но в	4	10
19	его в	2	10
20	с ним	3	10
21	как мы	14	10
22	так и	3	10
23	и потому	3	10
24	во всех	6	9
25	по отношению	6	9
26	и в	26	9
27	то же	8	8
28	не только	24	8
29	он не	3	8
30	в своей	3	8
31	еще не	4	8
32	оно и	1	8
33	что он	8	8
34	только в	8	8
35	так как	14	8
36	все это	3	8
37	психической жизни	1	8
38	и все	1	8
39	отношению к	5	8
40	все что	6	8
41	в самом	9	7
42	мы уже	3	7
43	отношение к	2	7
44	и наконец	4	7
45	ни в	2	7
46	мы видели	3	7
47	к нему	3	7
48	один из	2	7
49	мы знаем	2	7
50	всяком случае	1	7
51	что же	2	7
52	сказать что	8	7
53	во всяком	2	7
54	в ней	3	6
55	за пределы	1	6
56	все те	2	6
57	так сказать	1	6
58	и с	5	6
59	и ее	2	6
60	точку зрения	2	6
61	того что	14	6
62	для него	3	6
63	вовсе не	2	6
64	никогда не	4	6
65	совершенно не	2	6
66	на самом	3	5
67	он сам	1	5
68	в чем	3	5
69	и к	7	5
70	в этой	3	5
71	что такое	1	5
72	не в	4	5
73	мы должны	6	5
74	в то	3	5
75	в каком	1	5
76	могут быть	2	5
77	в себя	1	5
78	для этого	3	5
79	индивидуальной психики	1	5
80	но мы	3	5
81	можно сказать	5	5
82	для того	18	5
83	во внешнем	1	5
84	в большинстве	2	5
85	большинстве случаев	2	5
86	а в	2	5
87	но и	11	5
88	связь с	1	5
89	с этим	2	5
90	в период	2	5
91	в свою	2	5
92	что в	12	5
93	старой психологии	2	4
94	в зависимости	1	4
95	той же	8	4
96	мы не	7	4
97	в которой	11	4
98	говорить о	1	4
99	я не	3	4
100	зависимости от	1	4
101	совсем не	1	4
102	но не	3	4
103	нашего сознания	1	4
104	в собственном	3	4
105	все же	6	4
106	не было	1	4
107	из этих	3	4
108	с их	1	4
109	в нем	2	4
110	всех этих	1	4
111	на этом	1	4
112	при этом	1	4
113	об этом	3	4
114	с другими	3	4
115	на основании	2	4
116	во время	2	4
117	не менее	4	4
118	в основе	3	4
119	потому что	16	4
120	и для	5	4
121	к тому	7	4
122	т.е в	1	4
123	если мы	5	4
124	того чтобы	19	4
125	данном случае	5	4
126	с самого	7	4
127	другими словами	1	4
128	которой мы	2	4
129	конечно не	1	4
130	в котором	4	4
131	мы находим	3	4
132	как раз	3	4
133	от того	1	4
134	внешней речи	18	4
135	себя и	2	4
136	в данном	5	4
137	и о	3	4
138	в этих	2	4
139	этот вопрос	1	4
140	между ними	3	4
141	в таком	1	4
142	в объективном	1	3
143	и есть	2	3
144	собственном смысле	3	3
145	при анализе	1	3
146	на место	1	3
147	такие же	1	3
148	а только	1	3
149	конечном счете	2	3
150	как в	4	3
151	и той	2	3
152	и как	1	3
153	между двумя	3	3
154	учение о	3	3
155	и тот	1	3
156	в себе	9	3
157	и те	1	3
158	но ведь	1	3
159	этот процесс	1	3
160	о которой	1	3
161	одной и	2	3
162	и по	3	3
163	что все	2	3
164	выражение и	1	3
165	и может	1	3
166	может стать	1	3
167	было бы	6	3
168	мы имеем	1	3
169	такой же	3	3
170	мысли и	11	3
171	случае не	2	3
172	тому что	9	3
173	этой области	1	3
174	самого начала	7	3
175	одна из	1	3
176	на него	1	3
177	внутренней и	2	3
178	в сознании	6	3
179	ни о	1	3
180	не могут	4	3
181	она не	5	3
182	с ее	2	3
183	свою очередь	2	3
184	всем этим	1	3
185	внутренняя речь	15	3
186	приводит к	4	3
187	если бы	5	3
188	и внешней	1	3
189	развития как	2	3
190	и что	6	3
191	в конечном	2	3
192	во втором	3	3
193	и она	2	3
194	со всеми	2	3
