N	3gram	Ircho_Kome_2	slovoVRo
1	и т п	2	33
2	не может быть	1	15
3	в отличие от	2	12
4	в пределах одного	1	7
5	с одной стороны	2	5
6	той или иной	1	5
7	в большинстве случаев	1	5
8	по отношению к	3	4
9	то же время	3	4
10	но все же	1	4
11	в то же	3	4
12	в том что	5	4
13	с точки зрения	1	3
14	так и в	1	3
15	в свою очередь	1	2
16	более или менее	1	2
17	до сих пор	2	2
18	в основе его	1	2
19	не только в	1	2
20	так и для	1	2
21	во всяком случае	2	2
22	сих пор не	1	2
23	в связи с	3	2
24	для того чтобы	4	2
25	иначе обстоит дело	1	1
26	в какой мере	1	1
27	в чем же	1	1
28	в том числе	3	1
29	как например в	1	1
30	на первый план	1	1
31	как это было	1	1
32	и в то	1	1
33	но и в	1	1
34	том числе и	1	1
35	человеку и его	1	1
36	в один из	1	1
37	в той же	2	1
38	что он не	1	1
39	для этой цели	1	1
40	в нем не	2	1
41	действующих лиц и	1	1
42	в целом ряде	1	1
43	с другой стороны	1	1
44	дошедшие до нас	1	1
45	тем не менее	1	1
46	целом ряде случаев	1	1
47	о том что	4	1
48	того или иного	1	1
49	в частности в	2	1
50	имеет различное значение	1	1
51	в соединении с	1	1
52	на протяжении всего	1	1
53	мы можем сказать	1	1
54	с самого начала	1	1
55	но в этом	1	1
56	речь идет о	2	1
57	основе его лежит	1	1
58	и его современников	2	1
59	представить себе как	1	1
60	как мы видели	1	1
