N	3gram	Voloshinov_1	VrazhdaK
1	и все же	1	5
2	то же время	7	4
3	в то же	9	4
4	в связи с	2	3
5	в русской литературе	1	3
6	с точки зрения	5	2
7	но в то	2	2
8	не может быть	2	2
9	в том что	1	2
10	равно как и	2	1
11	же время и	1	1
12	и почувствовал что	1	1
13	это дает нам	1	1
14	до сих пор	1	1
15	и не может	1	1
16	в той же	3	1
17	не было бы	2	1
18	в этом отношении	2	1
19	независимо от того	1	1
20	вряд ли он	1	1
21	по крайней мере	1	1
22	и в то	2	1
23	одно и то	3	1
24	тем что он	1	1
25	на первый взгляд	1	1
26	в конце концов	3	1
27	и то же	3	1
28	но при этом	2	1
29	и в этом	1	1
30	он сказал что	1	1
31	с другой стороны	1	1
32	как бы в	3	1
33	связи с этим	2	1
34	тем не менее	1	1
35	заявляет о своем	1	1
36	но об этом	2	1
37	в свою очередь	4	1
38	о том что	2	1
39	не забудем что	3	1
40	и никогда не	1	1
41	не только не	1	1
42	из героев достоевского	1	1
43	следует искать в	1	1
44	они как бы	1	1
45	в каком направлении	1	1
46	был похож на	1	1
