N	3gram	Vinokur_St_3	FransuaR
1	то же время	3	9
2	в то же	3	9
3	прежде всего в	3	4
4	как мы видели	1	4
5	в конце концов	3	4
6	в свою очередь	1	3
7	с точки зрения	4	3
8	в том что	11	3
9	более или менее	1	2
10	в этом отношении	4	2
11	то что в	1	2
12	можно было бы	1	2
13	что у него	1	2
14	мы имеем в	2	2
15	в свое время	1	2
16	и может быть	1	1
17	то что был	1	1
18	потому что он	2	1
19	до наших дней	1	1
20	свое отражение в	1	1
21	в чем же	1	1
22	на котором он	1	1
23	мы здесь находим	1	1
24	как и всегда	1	1
25	и для самого	1	1
26	и в ряде	1	1
27	на самом деле	1	1
28	сделать так чтобы	2	1
29	то же самое	1	1
30	новую фазу своего	1	1
31	в том же	1	1
32	в мировой литературе	3	1
33	сам по себе	1	1
34	является одним из	1	1
35	но и в	2	1
36	начинается с самого	1	1
37	с тем что	3	1
38	и не в	2	1
39	это место в	1	1
40	то обстоятельство что	5	1
41	в применении к	1	1
42	как писателя и	3	1
43	не только в	3	1
44	в году в	1	1
45	и в этом	2	1
46	фазу своего развития	1	1
47	и во всяком	1	1
48	и то обстоятельство	1	1
49	о том что	4	1
50	он говорит что	1	1
51	в связи с	3	1
52	до нас не	1	1
53	проявляется в том	1	1
54	так как его	1	1
55	таким образом в	1	1
56	вместе с ним	1	1
57	во всяком случае	4	1
58	ни для кого	1	1
59	в одном из	1	1
60	в новую фазу	1	1
61	с самого начала	2	1
62	и в самом	1	1
63	находит свое выражение	1	1
64	тем более что	2	1
65	в этом смысле	4	1
66	в другом случае	1	1
67	но на самом	1	1
68	по этому поводу	2	1
69	все они по	1	1
70	тем что в	2	1
71	в центре этой	1	1
72	и с его	1	1
73	и в другом	1	1
