N	3gram	Vinokur_Vv_1	Hudozhes
1	в том что	12	11
2	по отношению к	4	7
3	о том что	12	7
4	подобно тому как	1	4
5	то же время	5	4
6	в то же	5	4
7	к тому что	1	4
8	том что в	1	3
9	а между тем	1	3
10	в самом деле	5	3
11	не может быть	8	3
12	с одной стороны	4	3
13	для того чтобы	21	3
14	тем не менее	8	3
15	в соответствии с	2	3
16	состоит в том	2	2
17	дело не только	1	2
18	и в этом	3	2
19	с точки зрения	2	2
20	только в том	2	2
21	до сих пор	5	2
22	хотя бы и	2	2
23	и т п	5	2
24	можно было бы	3	2
25	как он сам	1	2
26	так же как	1	2
27	в данном случае	4	2
28	же самое что	2	2
29	то же самое	2	2
30	как будто бы	2	2
31	в своем внешнем	1	2
32	того или иного	1	2
33	не только в	4	2
34	говорит о них	1	2
35	и т д	37	2
36	на том что	2	1
37	вкладывает в уста	1	1
38	той или иной	1	1
39	дело в том	2	1
40	но это только	1	1
41	в настоящее время	1	1
42	и от того	1	1
43	бы то ни	1	1
44	в этом отношении	3	1
45	что не только	1	1
46	и составляет содержание	1	1
47	точно так же	2	1
48	то или иное	1	1
49	не то что	1	1
50	и то что	2	1
51	мысли и чувства	1	1
52	в значительной степени	1	1
53	в конечном итоге	1	1
54	так а не	1	1
55	он вовсе не	1	1
56	у него в	1	1
57	как на нечто	1	1
58	наблюдения и выводы	1	1
59	а также и	2	1
60	имеем дело с	1	1
61	так или иначе	4	1
62	лишь в том	1	1
63	так что даже	1	1
64	с другой стороны	5	1
65	на этом пути	1	1
66	и в том	3	1
67	что несмотря на	2	1
68	потому что это	1	1
69	а в том	1	1
70	этого не следует	1	1
71	уже в том	1	1
72	но с другой	1	1
73	в конце xviii	1	1
74	заключается в том	3	1
75	в первом случае	2	1
76	в этом случае	6	1
77	слова но и	1	1
78	и в самом	3	1
79	с самого начала	1	1
80	но все же	3	1
81	можно сказать что	3	1
82	но ведь это	1	1
83	совершенно иного рода	1	1
84	как мы знаем	1	1
85	да и с	1	1
86	после того как	2	1
87	из этих двух	1	1
88	значении этого термина	1	1
89	и о которой	1	1
90	если бы оно	1	1
91	в xix в	1	1
92	мы имеем дело	1	1
93	обратим внимание на	1	1
