1	а не	9	17
2	и в	19	16
3	не может	18	16
4	совсем не	1	12
5	и не	19	11
6	что в	2	9
7	в том	7	8
8	он не	3	8
9	жизни и	2	8
10	как и	9	7
11	в этом	15	7
12	не будет	3	7
13	может быть	28	7
14	не знает	2	6
15	не в	10	6
16	но это	1	6
17	в высшей	3	6
18	никогда не	7	6
19	лишь в	14	6
20	высшей степени	3	6
21	общественной жизни	1	6
22	ни в	6	6
23	с его	8	6
24	xix века	2	5
25	в ней	3	5
26	все это	1	5
27	должен быть	2	5
28	мы живем	1	5
29	в нем	11	5
30	не только	13	5
31	в жизни	2	5
32	перестает быть	1	4
33	потому что	1	4
34	и для	7	4
35	и потому	2	4
36	не было	3	4
37	прежде всего	7	4
38	и все	6	4
39	не имеет	3	4
40	о том	3	4
41	должно быть	3	4
42	в них	1	4
43	то что	4	4
44	это не	4	4
45	не менее	1	4
46	должна быть	4	3
47	это было	2	3
48	стремится к	2	3
49	но и	10	3
50	к жизни	1	3
51	в ее	3	3
52	в своей	3	3
53	не есть	3	3
54	что такое	1	3
55	еще не	3	3
56	за пределы	3	3
57	не существует	3	3
58	в истории	3	3
59	и быстро	1	3
60	как в	1	3
61	к ним	1	3
62	к лицу	1	3
63	сказать что	4	3
64	человека и	1	3
65	в основе	9	3
66	в духе	1	3
67	конечно не	4	3
68	к тому	6	3
69	лицом к	1	3
70	смысле слова	5	3
71	к ее	1	3
72	вопрос о	2	3
73	не значит	1	3
74	эти формы	1	3
75	с тем	1	3
76	жизни в	1	3
77	во всех	6	3
78	с другой	3	3
79	и пр	25	3
80	мир и	1	2
81	все они	1	2
82	мысли и	3	2
83	так же	5	2
84	не имеют	3	2
85	себя в	2	2
86	бытия в	2	2
87	все время	2	2
88	что все	1	2
89	на протяжении	2	2
90	могут быть	3	2
91	но не	2	2
92	и т.п	10	2
93	из ее	1	2
94	и было	1	2
95	xix век	1	2
96	нем нет	2	2
97	все эти	3	2
98	не к	3	2
99	в центре	1	2
100	и с	2	2
101	другой стороны	1	2
102	есть в	1	2
103	а в	3	2
104	в обществе	1	2
105	все категории	1	2
106	одной стороны	3	2
107	в себе	4	2
108	у него	2	2
109	роль в	1	2
110	того чтобы	6	2
111	в смысле	6	2
112	это и	1	2
113	сильнее и	1	2
114	и формы	3	2
115	и весь	1	2
116	связаны с	1	2
117	как это	1	2
118	к созданию	1	2
119	уже не	1	2
120	и даже	2	2
121	когда мы	1	2
122	связана с	2	2
123	формы и	2	2
124	вместе с	2	2
125	том что	10	2
126	и на	5	2
127	мысли в	1	2
128	ни одна	1	2
129	с одной	3	2
130	так и	10	2
131	с их	1	2
132	место в	2	2
133	не могла	1	2
134	одна из	7	2
135	должно было	1	2
136	мы говорим	1	2
137	в то	8	2
138	но она	1	2
139	стремиться к	1	2
140	можно назвать	1	2
141	что она	1	2
142	но для	2	2
143	хотя и	1	2
144	и от	3	2
145	и что	1	2
146	не могли	1	2
147	ни к	1	2
148	истории а	1	2
149	каждого человека	2	2
150	хотя бы	6	2
151	и это	3	2
152	к более	1	2
153	самой жизни	1	2
154	но в	7	2
155	ли это	2	2
156	мы не	2	2
157	в русском	4	2
158	с этим	3	2
159	времени а	1	1
160	от этого	2	1
161	того времени	1	1
162	оно может	3	1
163	к себе	1	1
164	в статье	1	1
165	т.е к	2	1
166	значение все	1	1
167	в это	1	1
168	тем что	2	1
169	и того	5	1
170	их место	1	1
171	бытия а	1	1
172	значение в	4	1
173	оно не	1	1
174	чтобы понять	2	1
175	не могут	1	1
176	том числе	1	1
177	быть не	1	1
178	зависимости от	2	1
179	по себе	3	1
180	сам себя	1	1
181	было так	1	1
182	он и	2	1
183	или не	1	1
184	идеология в	1	1
185	в покое	1	1
186	более всего	1	1
187	к нему	5	1
188	и их	4	1
189	нет ничего	1	1
190	в основу	1	1
191	было бы	4	1
192	к одному	1	1
193	большинстве случаев	5	1
194	имеют никакого	1	1
195	они являются	3	1
196	то он	1	1
197	всяком случае	2	1
198	он создает	1	1
199	и религии	1	1
200	до сих	3	1
201	но он	1	1
202	привела к	2	1
203	в котором	3	1
204	политической жизни	1	1
205	в которой	1	1
206	к чему	1	1
207	и мысли	1	1
208	жизни для	1	1
209	эпохи в	1	1
210	в той	5	1
211	только в	8	1
212	нет никакого	1	1
213	противоположного характера	1	1
214	себя на	1	1
215	слова а	1	1
216	в этот	1	1
217	из этих	1	1
218	но все	1	1
219	то это	1	1
220	может идти	1	1
221	в отличие	3	1
222	в сущности	14	1
223	или нет	1	1
224	в формах	4	1
225	от того	1	1
226	в значительной	2	1
227	но ведь	3	1
228	что его	1	1
229	мы конечно	1	1
230	и до	3	1
231	но во	1	1
232	приводит к	2	1
233	значительной степени	2	1
234	к вопросу	1	1
235	добро и	1	1
236	на нее	1	1
237	мы уже	6	1
238	на себя	1	1
239	других людей	1	1
240	процесс возникновения	1	1
241	лишь там	2	1
242	нет в	1	1
243	с ним	1	1
244	возможен лишь	1	1
245	не стоят	1	1
246	не столько	1	1
247	в большинстве	5	1
248	сами эти	1	1
249	но оно	1	1
250	же и	1	1
251	для себя	4	1
252	или ложь	1	1
253	во всяком	3	1
254	во время	1	1
255	становится в	1	1
256	оно существует	1	1
257	народов и	1	1
258	не с	2	1
259	сами по	1	1
260	совершенно невозможно	1	1
261	они не	2	1
262	мысли как	1	1
263	а на	1	1
264	но также	1	1
265	в самом	6	1
266	вопроса о	1	1
267	в каком	3	1
268	бы к	1	1
269	превращается в	1	1
270	что не	2	1
271	в более	2	1
272	также что	1	1
273	значение и	2	1
274	вообще не	1	1
275	слова все	1	1
276	и особенно	2	1
277	нам предстоит	1	1
278	распадается на	2	1
279	есть только	1	1
280	индивидуализм есть	1	1
281	нуждается в	1	1
282	как ни	1	1
283	в свою	6	1
284	вступить в	3	1
285	лишь на	5	1
286	отличие от	3	1
287	в каких	1	1
288	той социальной	2	1
289	к единству	1	1
290	этого конечно	1	1
291	свидетельствует о	2	1
292	уже в	2	1
293	человека в	1	1
294	не на	2	1
295	всех своих	1	1
296	этого не	1	1
297	и его	16	1
298	внутри и	1	1
299	все более	2	1
300	значение для	1	1
301	замкнутости и	1	1
