N	3gram	Losev_Vlad_3	UchenyiS
1	не может быть	6	4
2	с другой стороны	2	3
3	то же время	2	3
4	бы то ни	3	3
5	в то же	3	3
6	в этой области	1	3
7	то ни было	1	3
8	в самом деле	1	2
9	но даже и	2	2
10	в этом смысле	3	2
11	то же самое	1	2
12	до сих пор	1	2
13	хотя бы и	3	2
14	в этом отношении	2	2
15	в том что	10	2
16	в противном случае	1	2
17	и то что	4	2
18	в конце концов	5	2
19	что он называет	1	1
20	но тут мы	1	1
21	нам представляется что	1	1
22	так или иначе	2	1
23	все же не	1	1
24	то что все	1	1
25	это было бы	1	1
26	более или менее	5	1
27	в этом случае	1	1
28	по существу то	1	1
29	для тех кто	2	1
30	и не только	1	1
31	на первый план	2	1
32	приходится признать что	1	1
33	не впадая в	1	1
34	и в то	2	1
35	сам по себе	2	1
36	бы это было	1	1
37	само по себе	3	1
38	в первую очередь	1	1
39	с тем что	1	1
40	и что все	1	1
41	в последние годы	1	1
42	на то что	2	1
43	все и не	1	1
44	говорить не о	1	1
45	литературы в течение	1	1
46	в буквальном смысле	1	1
47	а не только	2	1
48	в данном случае	2	1
49	не только в	1	1
50	с одной стороны	3	1
