N	4gram	Losev_Prob_4	Myshleni
1	заключается в том что	1	4
2	в том числе и	1	3
3	заключается в том чтобы	1	3
4	в предисловии к русскому	1	2
5	дело в том что	1	1
6	мы имеем в виду	1	1
7	и с точки зрения	3	1
8	в той или иной	7	1
9	укажем только на то	1	1
10	только в том что	2	1
11	той или иной мере	3	1
12	в буквальном смысле слова	2	1
13	в коем случае не	1	1
14	она заключается в том	1	1
15	бы то ни было	1	1
16	только на то что	1	1
17	ни в коем случае	3	1
18	в том смысле что	1	1
19	приходит к выводу что	1	1
20	на самом же деле	2	1
