N	2gram	Nazirov_Tv_2	Poddanst
1	не только	13	17
2	и в	20	14
3	и не	9	12
4	в области	1	11
5	в этом	8	10
6	н а	1	10
7	но в	4	9
8	то же	7	9
9	в том	8	9
10	в пределах	1	8
11	только в	2	7
12	в обстановке	1	7
13	в то	10	7
14	же время	7	7
15	xix века	7	6
16	было бы	1	6
17	но и	8	6
18	быть может	3	6
19	отношении к	1	5
20	в которых	3	5
21	с другой	2	5
22	может быть	8	5
23	а я	2	5
24	не в	4	5
25	и о	1	5
26	а н	2	5
27	на путях	1	4
28	если бы	4	4
29	и к	1	4
30	как бы	11	4
31	и если	2	4
32	том что	4	4
33	не может	7	4
34	и потому	4	4
35	в котором	3	4
36	по себе	1	4
37	в русской	2	4
38	л и	1	4
39	что в	7	4
40	а в	4	4
41	то что	3	4
42	в с	1	4
43	и т	13	3
44	мы не	4	3
45	сводится к	2	3
46	столь же	1	3
47	между тем	3	3
48	это не	7	3
49	хотя и	4	3
50	и как	1	3
51	тот же	1	3
52	с ними	2	3
53	с одной	1	3
54	в себе	3	3
55	р а	1	3
56	в нем	3	3
57	сами по	1	3
58	в россии	2	3
59	заключается в	1	3
60	прежде всего	8	3
61	и без	2	3
62	но не	5	3
63	наряду с	7	3
64	могут быть	2	3
65	тем самым	4	3
66	потому что	7	3
67	и это	3	2
68	например в	5	2
69	в сфере	1	2
70	в ее	2	2
71	переход от	1	2
72	и есть	2	2
73	в мире	5	2
74	с с	1	2
75	является в	1	2
76	в xix	2	2
77	во всех	1	2
78	в которую	2	2
79	говорить о	2	2
80	если в	1	2
81	со стороны	1	2
82	отнюдь не	4	2
83	в русском	1	2
84	с этим	1	2
85	xix век	1	2
86	стороны и	1	2
87	и и	1	2
88	думать что	1	2
89	в начале	3	2
90	главным образом	1	2
91	и других	2	2
92	в его	10	2
93	из них	2	2
94	в виде	2	2
95	не к	1	2
96	в силу	1	2
97	и вот	1	2
98	как раз	1	2
99	в статье	2	2
100	и с	8	2
101	м а	1	2
102	именно в	6	2
103	и мы	3	2
104	сказывается в	1	2
105	в жизни	1	2
106	xix веке	2	2
107	для них	1	2
108	в них	1	2
109	не было	2	2
110	а не	6	2
111	должно быть	1	2
112	л а	1	2
113	в эту	1	2
114	эта идея	1	2
115	не столько	2	2
116	л е	1	2
117	и достоевского	1	2
118	не менее	2	2
119	все это	6	2
120	не о	1	2
121	на этих	1	2
122	одна из	3	2
123	и право	1	2
124	она ни	1	2
125	при посредстве	1	2
126	мысль о	1	2
127	еще более	1	2
128	создается в	1	2
129	для нас	1	2
130	может и	1	2
131	в частности	2	2
132	как на	1	2
133	том числе	1	2
134	в применении	1	1
135	от этой	2	1
136	же как	3	1
137	и через	3	1
138	связана с	1	1
139	которого в	1	1
140	и веры	1	1
141	не надобно	1	1
142	как известно	2	1
143	на основе	1	1
144	как по	2	1
145	чем было	1	1
146	в себя	1	1
147	культуры и	1	1
148	смысл этого	1	1
149	по преимуществу	2	1
150	к жизни	2	1
151	применении к	1	1
152	не с	1	1
153	особенно в	2	1
154	еще в	1	1
155	что уже	1	1
156	не вполне	1	1
157	на себя	1	1
158	и несравненно	1	1
159	выразилось в	1	1
160	грехе и	1	1
161	и ее	2	1
162	именно потому	1	1
163	мы и	1	1
164	и здесь	1	1
165	характер этого	1	1
166	может не	1	1
167	не означает	2	1
168	он таков	1	1
169	ли или	1	1
170	и что	2	1
171	литературы и	1	1
172	еще не	5	1
173	и на	5	1
174	он был	1	1
175	без которой	1	1
176	в различных	1	1
177	с его	1	1
178	восходит к	2	1
179	жить и	1	1
180	к использованию	1	1
181	в противоречии	1	1
182	не все	1	1
183	что и	1	1
184	отличие от	2	1
185	не просто	1	1
186	и достоевский	4	1
187	в истории	2	1
188	в рамках	1	1
189	и мир	1	1
190	в современной	1	1
191	известном смысле	1	1
192	такова же	1	1
193	все же	5	1
194	идеологическая и	1	1
195	мы видим	4	1
196	единственно возможным	1	1
197	веры в	1	1
198	своего идейного	1	1
199	должен быть	1	1
200	может оказаться	1	1
201	в самом	3	1
202	только то	1	1
203	но как	1	1
204	в которой	2	1
205	что это	1	1
206	или его	1	1
207	представляет собой	1	1
208	в статьях	1	1
209	чуть ли	1	1
210	из этих	1	1
211	себя в	2	1
212	в известном	1	1
213	переходит в	1	1
214	что его	2	1
215	уже в	2	1
216	личности хотя	1	1
217	во многих	2	1
218	в большинстве	1	1
219	в жертву	1	1
220	на то	1	1
221	если он	5	1
222	положение что	1	1
223	р г	2	1
224	наш взгляд	2	1
225	к исторически	1	1
226	не внешнее	1	1
227	т д	11	1
228	к миру	2	1
229	из этой	2	1
230	прикасается к	1	1
231	мы знаем	1	1
232	мир в	1	1
233	при виде	2	1
234	идеи и	1	1
235	свои собственные	1	1
236	наших глазах	1	1
237	друг друга	2	1
238	века в	1	1
239	и только	2	1
240	и везде	1	1
241	на наш	2	1
242	и по	2	1
243	с собой	1	1
244	в каждом	1	1
245	представляют собой	1	1
246	а затем	3	1
247	возможно что	1	1
248	или иной	1	1
249	из всех	1	1
250	развития в	1	1
251	ясно что	1	1
252	его в	3	1
253	в душе	4	1
254	живет в	1	1
255	традицию русского	1	1
256	а с	3	1
257	но твердо	1	1
258	что не	3	1
259	в ином	1	1
260	из нее	1	1
261	е а	3	1
262	в этой	5	1
263	идеи в	2	1
264	в действии	1	1
265	страстная и	1	1
266	как и	6	1
267	и некоторых	2	1
268	как ни	1	1
269	в свете	3	1
270	и я	1	1
271	ведет к	1	1
272	в развитии	1	1
273	когда в	1	1
274	должна была	1	1
275	и еще	2	1
276	всемирной истории	1	1
277	и м	2	1
278	что если	1	1
279	в творчестве	5	1
280	в ходе	1	1
281	творчестве достоевского	4	1
282	в которые	1	1
283	так же	5	1
284	и особенно	1	1
285	всяком случае	2	1
286	место в	3	1
287	в идеологическом	1	1
288	в отличие	2	1
289	мысли и	1	1
290	знаем что	1	1
291	он будет	1	1
292	можно говорить	1	1
293	он живет	1	1
294	думается что	2	1
295	и эти	1	1
296	о соотношении	1	1
297	и более	1	1
298	капитализма как	1	1
299	вячеслав иванов	1	1
300	в формах	1	1
301	не главного	1	1
302	в основном	6	1
303	эта мысль	2	1
304	xviii века	2	1
305	она не	1	1
306	что с	1	1
307	к другим	1	1
308	которые были	1	1
309	она должна	1	1
310	противоречии с	1	1
311	в сферу	1	1
312	г а	3	1
313	ценности и	1	1
314	об отношении	1	1
315	материалы и	1	1
316	не имеет	1	1
317	никогда не	11	1
318	в результате	1	1
319	казалось бы	3	1
320	это сделать	1	1
321	как она	1	1
322	среды в	1	1
323	в г	1	1
324	другой стороны	2	1
325	пусть в	1	1
326	с чертами	1	1
327	в этих	1	1
