N	2gram	Savitsky_P_1	Otkroven
1	и в	14	19
2	но и	6	13
3	и не	12	13
4	в этом	10	12
5	не в	5	11
6	не только	17	11
7	может быть	5	11
8	а не	2	11
9	вопрос о	1	10
10	в нем	3	10
11	прежде всего	3	9
12	не было	2	9
13	никогда не	1	9
14	потому что	3	9
15	он был	1	8
16	в его	2	7
17	нет ничего	1	7
18	как и	1	6
19	все это	2	6
20	в том	9	5
21	в самом	1	5
22	в этой	1	5
23	в россии	3	5
24	раскрывается в	1	5
25	в творчестве	1	5
26	а в	4	5
27	то что	4	5
28	с его	1	4
29	что не	1	4
30	не может	4	4
31	т е	3	4
32	того чтобы	1	4
33	что в	4	4
34	и есть	2	3
35	быть может	6	3
36	еще не	1	3
37	было бы	6	3
38	того что	2	3
39	и ее	1	3
40	в себе	3	3
41	и вот	2	3
42	для того	3	3
43	это не	3	3
44	мысли и	1	3
45	могут быть	3	3
46	как бы	4	3
47	в русской	4	3
48	в этих	1	3
49	хотя бы	8	3
50	и с	2	2
51	и то	1	2
52	в ее	2	2
53	мысль о	2	2
54	и о	5	2
55	по себе	4	2
56	их не	1	2
57	с разных	1	2
58	и на	1	2
59	не все	1	2
60	что и	1	2
61	в истории	1	2
62	как к	1	2
63	россии в	5	2
64	в своем	4	2
65	все же	1	2
66	вопросом о	1	2
67	и к	4	2
68	не очень	1	2
69	и потому	4	2
70	с богом	1	2
71	и этим	1	2
72	в которой	1	2
73	уже в	1	2
74	в душе	1	2
75	одно из	1	2
76	этом мире	1	2
77	в других	1	2
78	его в	1	2
79	с тем	3	2
80	и очень	1	2
81	должно быть	2	2
82	том что	4	2
83	что есть	1	2
84	с которой	1	2
85	не имеет	1	2
86	не есть	1	2
87	что все	1	2
88	к этой	1	2
89	хотя и	3	2
90	все еще	1	2
91	но в	9	2
92	и это	2	1
93	отношения к	2	1
94	также и	1	1
95	например в	2	1
96	и через	1	1
97	связана с	1	1
98	можно наметить	1	1
99	тем же	1	1
100	и осмыслить	1	1
101	должна быть	1	1
102	стремиться к	1	1
103	к чему	2	1
104	из всех	1	1
105	уверенность что	1	1
106	не с	1	1
107	есть не	2	1
108	по природе	1	1
109	в борьбе	1	1
110	мы не	3	1
111	по сравнению	2	1
112	и государстве	1	1
113	если бы	4	1
114	в эпоху	1	1
115	находится в	1	1
116	не вполне	1	1
117	но к	2	1
118	не исчезнет	1	1
119	в ней	6	1
120	и что	1	1
121	с того	1	1
122	вопросу о	1	1
123	в которую	2	1
124	но не	3	1
125	с трудом	1	1
126	в противоречии	1	1
127	сравнению с	1	1
128	и достоевский	1	1
129	и чем	1	1
130	и я	1	1
131	которой в	1	1
132	что во	1	1
133	и мир	1	1
134	в частности	2	1
135	и как	3	1
136	православия и	2	1
137	с ними	3	1
138	духа и	2	1
139	духа в	1	1
140	бы и	1	1
141	что это	1	1
142	вопрос об	1	1
143	представляет собой	1	1
144	есть для	1	1
145	в эти	1	1
146	человека с	1	1
147	думать что	2	1
148	и недостаточно	1	1
149	но о	2	1
150	откровения и	1	1
151	только один	1	1
152	на то	1	1
153	и везде	1	1
154	бы ни	2	1
155	на этих	2	1
156	и других	2	1
157	да и	2	1
158	достижений и	1	1
159	из них	2	1
160	мир в	1	1
161	есть та	1	1
162	в силу	2	1
163	свои собственные	1	1
164	противоречии с	1	1
165	само по	1	1
166	в каждом	1	1
167	со стороны	2	1
168	заключается в	3	1
169	здесь нужно	2	1
170	было и	1	1
171	в жизни	2	1
172	в это	1	1
173	и пр	5	1
174	в них	2	1
175	а с	1	1
176	может ли	2	1
177	к победе	1	1
178	соотношений и	1	1
179	и путь	1	1
180	ведет к	1	1
181	в мире	2	1
182	в явлении	1	1
183	нисколько не	1	1
184	в одно	1	1
185	которой человечество	1	1
186	все основные	1	1
187	русской литературы	1	1
188	и без	3	1
189	в иных	1	1
190	в котором	4	1
191	любовь и	1	1
192	духовную жизнь	2	1
193	в сферу	1	1
194	эта не	1	1
195	в мир	1	1
196	что было	1	1
197	всяком случае	1	1
198	и более	1	1
199	друг с	1	1
200	ней не	2	1
201	распадается на	1	1
202	и менее	1	1
203	которая ни	1	1
204	для тех	2	1
205	нет никакого	1	1
206	в отношении	10	1
207	и здесь	1	1
208	ума с	1	1
209	она не	1	1
210	одна из	2	1
211	она должна	1	1
212	есть путь	1	1
213	подошел к	2	1
214	в отношениях	1	1
215	такое ощущение	1	1
216	христа и	1	1
217	идти в	1	1
218	еще более	2	1
219	в русском	2	1
220	ни к	1	1
221	заключает в	2	1
222	отношении к	5	1
223	но есть	1	1
224	это от	1	1
225	с другом	1	1
226	есть у	1	1
227	в движении	1	1
228	бытия как	1	1
229	и русского	2	1
230	особенно в	1	1
231	ii в	2	1
232	всего что	1	1
233	во всяком	1	1
