N	3gram	Propp_Isto_5	EvropaiE
1	с точки зрения	1	16
2	в то же	1	15
3	то же время	1	14
4	с одной стороны	7	8
5	одной стороны и	1	6
6	в том что	2	6
7	с этой точки	1	5
8	так же как	3	5
9	этой точки зрения	1	5
10	для того чтобы	3	5
11	не только в	2	4
12	само по себе	1	4
13	же как и	2	3
14	друг с другом	2	3
15	во всяком случае	1	3
16	можно сказать что	1	3
17	только в том	1	2
18	в северной америке	1	2
19	европа и азия	1	2
20	из того что	1	2
21	на земном шаре	1	2
22	в данном случае	2	2
23	с другой стороны	8	2
24	не может быть	3	2
25	по себе не	1	2
26	в свою очередь	1	2
27	хотя бы в	1	2
28	на то что	2	2
29	как мы видели	1	2
30	как и его	1	1
31	другой стороны в	1	1
32	но так как	2	1
33	в соответствии с	1	1
34	в нем и	3	1
35	можно утверждать что	1	1
36	и не только	1	1
37	совершенно очевидно что	1	1
38	в отличие от	1	1
39	но и в	2	1
40	с тем что	1	1
41	что мы знаем	1	1
42	может быть речи	1	1
43	том числе и	1	1
44	мы увидим что	1	1
45	это может быть	1	1
46	в которых может	1	1
47	только в виде	1	1
48	в некоторых случаях	2	1
49	во всех этих	1	1
50	то время как	1	1
51	в связи с	4	1
52	уже и сейчас	1	1
53	мы видели что	2	1
54	есть ли это	1	1
55	каждого из них	1	1
56	в хозяйственной жизни	2	1
57	в то время	1	1
58	что наряду с	1	1
59	и тем самым	1	1
60	но и для	1	1
61	это значит что	2	1
62	в том числе	1	1
63	в том смысле	1	1
64	во многих отношениях	1	1
65	всех этих случаях	1	1
66	только тогда когда	1	1
67	и т д	18	1
68	в пределах одного	1	1
