1	к тому что	2	3
2	в нем нет	1	2
3	и т д	6	2
4	в том что	3	2
5	того чтобы овладеть	1	2
6	хотя бы и	1	1
7	и во всяком	2	1
8	предложение и не	1	1
9	так и в	2	1
10	и не было	1	1
11	другой стороны в	1	1
12	и в жизни	1	1
13	свою роль в	1	1
14	жизни и потому	1	1
15	в ней и	1	1
16	что он был	1	1
17	вместе с тем	3	1
18	раз и навсегда	3	1
19	в новых формах	1	1
20	менее всего можно	1	1
21	и что в	1	1
22	на страшном суде	1	1
23	но все же	1	1
24	бы то ни	4	1
25	с другой стороны	5	1
26	и никогда не	1	1
27	и вместе с	1	1
28	в конце концов	2	1
29	как и в	1	1
30	в жизни и	1	1
