N	3gram	Trubetskoy_1	PoTuStor
1	с точки зрения	6	6
2	с самого начала	2	4
3	до сих пор	5	3
4	по крайней мере	5	3
5	по сравнению с	2	3
6	во всяком случае	6	3
7	не может быть	1	3
8	можно сказать что	2	3
9	друг на друга	2	2
10	так же как	3	2
11	в самом деле	1	2
12	но в общем	1	2
13	о том что	4	2
14	и в этом	2	2
15	и того же	1	1
16	и связанные с	2	1
17	следует заметить что	1	1
18	мы имеем в	1	1
19	из этих трех	1	1
20	имеем в виду	1	1
21	одного и того	1	1
22	не осталось и	1	1
23	то же самое	2	1
24	сих пор еще	2	1
25	общем можно сказать	1	1
26	бы то ни	2	1
27	в этом отношении	2	1
28	совершенно так же	1	1
29	с этой точки	2	1
30	вместе с тем	8	1
31	же что и	1	1
32	в данном случае	1	1
33	то ни было	2	1
34	с одной стороны	7	1
35	в связи с	3	1
36	только в одном	1	1
37	а с другой	5	1
38	всяком случае не	3	1
39	но вместе с	2	1
40	в том что	3	1
41	этой точки зрения	2	1
42	и таким образом	3	1
43	а вместе с	1	1
44	те же что	1	1
45	что в этой	1	1
46	так и в	1	1
47	это и есть	1	1
48	желаний и чувств	1	1
49	связанные с ним	1	1
50	и что он	1	1
51	друг с другом	5	1
52	для того чтобы	5	1
53	может быть даже	2	1
54	в общем можно	1	1
55	той или иной	2	1
