N	3gram	Berdyaev_V_1	Psycholo
1	в том что	2	17
2	том что он	2	3
3	в конце концов	1	3
4	в сознании и	1	2
5	как и в	1	2
6	и что в	1	2
7	в первый раз	3	2
8	по сравнению с	1	2
9	бы то ни	1	2
10	и никогда не	1	2
11	с другой стороны	1	2
12	в жизни и	1	2
13	к тому что	3	2
14	мы видим что	1	2
15	и т д	2	2
16	а между тем	2	1
17	есть один из	1	1
18	то ни стало	1	1
19	в ней и	1	1
20	и в сознании	1	1
21	во что бы	1	1
22	и каким образом	1	1
23	но и в	2	1
24	с тем чтобы	1	1
25	за то что	3	1
26	по крайней мере	1	1
27	вместе с тем	1	1
28	не могли бы	1	1
29	что он так	1	1
30	что бы то	1	1
31	он говорит что	1	1
32	так как она	1	1
33	не могут быть	1	1
34	его во всех	2	1
35	о смысле и	1	1
36	как детскую игру	1	1
37	вместо того чтобы	2	1
38	жизнь так и	1	1
39	то что мы	3	1
40	но и тут	1	1
41	после того как	1	1
42	все это имеет	1	1
