N	3gram	Tiupa_Hudo_1	Freidism
1	с точки зрения	3	11
2	по отношению к	8	8
3	во всяком случае	1	7
4	не может быть	2	7
5	в самом деле	4	6
6	в то же	8	4
7	на самом деле	1	4
8	то же время	8	4
9	в данном случае	1	4
10	с самого начала	1	3
11	в таком случае	1	3
12	в следующей главе	3	3
13	узком смысле слова	1	3
14	в конечном счете	2	3
15	к тому чтобы	1	3
16	в свою очередь	1	3
17	в узком смысле	1	2
18	с одной стороны	1	2
19	но в то	3	2
20	мы уже знаем	2	2
21	до сих пор	2	2
22	в предыдущей главе	3	2
23	в конце концов	1	2
24	так и в	1	2
25	в отличие от	1	2
26	в чем не	1	2
27	в этом отношении	3	2
28	то же самое	1	2
29	это прежде всего	2	2
30	ни в чем	1	2
31	в высшей степени	1	2
32	тем не менее	3	2
33	и по отношению	1	2
34	что же касается	2	2
35	по своему содержанию	1	2
36	ничего не было	1	1
37	о том что	9	1
38	не похожи на	1	1
39	гораздо большей степени	1	1
40	жизни так и	1	1
41	так обстояло дело	1	1
42	том что в	2	1
43	но при этом	1	1
44	можно не только	1	1
45	а также и	1	1
46	как по отношению	1	1
47	нем и быть	1	1
48	до известной степени	1	1
49	не только не	1	1
50	в себя и	1	1
51	только один из	1	1
52	для него уже	1	1
53	в этом смысле	1	1
54	что все эти	1	1
55	уже не может	1	1
56	она не может	1	1
57	обнаруживает себя в	1	1
58	ничего общего с	1	1
59	в том что	6	1
60	и она не	1	1
61	приходит в голову	1	1
62	и т д	3	1
63	в гораздо большей	1	1
64	потому что оно	1	1
65	мы не знаем	1	1
66	чем иным как	1	1
67	жизни с такими	1	1
68	к себе самому	2	1
69	того что он	1	1
70	удивительного в том	1	1
71	на самом же	1	1
72	не исчерпывается мы	1	1
73	жизни каждого человека	1	1
74	как будто бы	1	1
75	и быть не	1	1
76	то что мы	1	1
77	но все же	1	1
78	же время это	1	1
79	нет ничего удивительного	1	1
80	только потому что	2	1
81	в такой же	2	1
82	самом же деле	1	1
83	в себе и	1	1
84	относится и к	1	1
85	не чем иным	1	1
86	как и все	1	1
87	ничего удивительного в	1	1
88	не в его	1	1
89	на первый взгляд	1	1
