N	2gram	Potebnia_M_4	Dialekti
1	не есть	9	40
2	и не	18	30
3	по себе	11	25
4	и т	7	21
5	т д	3	19
6	и в	23	18
7	точки зрения	4	17
8	ничего не	1	17
9	может быть	26	17
10	и есть	3	16
11	в нем	7	16
12	не имеет	5	15
13	так что	5	15
14	потому что	33	14
15	а не	12	14
16	не только	10	13
17	и даже	2	13
18	то что	29	13
19	что в	17	13
20	в этом	23	12
21	было бы	8	12
22	с точки	3	12
23	если бы	13	12
24	и что	7	12
25	не может	11	12
26	что это	7	11
27	в себе	14	11
28	что он	4	11
29	так как	14	11
30	как бы	5	11
31	это значит	1	11
32	все это	5	11
33	то же	14	10
34	есть нечто	5	10
35	наука не	2	10
36	что такое	7	10
37	прежде всего	1	10
38	сказать что	8	10
39	и то	5	9
40	стало быть	8	9
41	так и	6	9
42	это не	7	9
43	том что	12	9
44	никогда не	3	9
45	это есть	3	9
46	в том	23	9
47	ясно что	1	8
48	но это	3	8
49	в каком	4	8
50	к нему	5	8
51	и как	2	7
52	то в	3	7
53	что она	2	7
54	что не	6	7
55	как она	2	7
56	той или	1	7
57	не существует	2	7
58	вовсе не	7	7
59	но и	11	7
60	сам по	4	6
61	его не	1	6
62	хотя бы	4	6
63	в чем	1	6
64	не то	5	6
65	но в	8	6
66	с другой	2	6
67	не в	11	6
68	она не	2	6
69	в то	4	6
70	с ним	5	6
71	можно сказать	4	6
72	не было	12	6
73	да и	4	6
74	говорить о	5	5
75	я не	2	5
76	отношение к	2	5
77	общего с	1	5
78	в своем	8	5
79	все же	1	5
80	на то	7	5
81	и с	4	5
82	и мы	5	5
83	а потом	1	5
84	в этих	3	5
85	но если	1	5
86	в отношении	1	5
87	в виду	3	5
88	есть только	5	5
89	можно было	2	5
90	не с	2	5
91	как же	4	5
92	мы должны	2	5
93	он сам	1	5
94	само по	5	5
95	она есть	1	5
96	есть и	2	5
97	об отношении	2	5
98	или не	1	5
99	а в	5	5
100	мы говорим	7	4
101	то это	8	4
102	то я	1	4
103	образ и	1	4
104	об этом	2	4
105	он есть	1	4
106	а есть	1	4
107	по крайней	5	4
108	и более	4	4
109	на всю	1	4
110	есть всегда	3	4
111	что эта	1	4
112	и притом	2	4
113	же время	3	4
114	к ней	2	4
115	к тому	3	4
116	ничего общего	1	4
117	как мы	2	4
118	не могу	2	4
