N	2gram	Nazirov_Tr_1	VLabPisa
1	таким образом	1	27
2	в этом	9	26
3	и в	18	25
4	и т	1	24
5	не только	8	22
6	может быть	7	21
7	во сне	2	21
8	хотя бы	1	20
9	и не	7	19
10	не может	5	17
11	т е	1	17
12	творческий процесс	1	15
13	в его	3	15
14	в том	2	13
15	прежде всего	4	13
16	в частности	2	12
17	как это	3	12
18	все это	4	12
19	вот что	1	11
20	не могут	2	10
21	о том	2	10
22	то же	5	9
23	что в	4	9
24	об этом	4	9
25	для него	3	9
26	т п	1	9
27	но и	4	9
28	и др	1	9
29	в своем	3	8
30	все эти	3	8
31	по словам	2	8
32	могут быть	1	8
33	в году	9	7
34	во всех	1	7
35	как и	5	7
36	том что	4	7
37	говорит о	2	7
38	не было	1	7
39	а не	1	7
40	вместе с	1	7
41	это и	1	6
42	в себе	4	6
43	в нем	4	6
44	это не	5	6
45	и его	6	6
46	в то	5	6
47	так и	5	6
48	между тем	1	6
49	бы и	2	6
50	у него	6	6
51	в основном	3	6
52	то что	4	6
53	одним из	1	5
54	и есть	1	5
55	как говорит	2	5
56	все же	5	5
57	и при	1	5
58	не в	2	5
59	тому что	1	5
60	же время	6	5
61	связи с	1	5
62	образы и	1	5
63	он же	1	5
64	один из	3	5
65	как бы	7	5
66	не является	1	5
67	в результате	1	5
68	только в	1	5
69	с его	2	4
70	в этой	4	4
71	чем же	1	4
72	вот как	1	4
73	перед нами	2	4
74	в самом	2	4
75	в целом	4	4
76	же говорит	1	4
77	что все	2	4
78	в них	1	4
79	одна из	2	4
80	никогда не	2	4
81	вот почему	1	4
82	к тому	2	4
83	утверждать что	1	4
84	в ее	2	4
85	с ними	1	4
86	что он	6	4
87	рассказывает о	1	4
88	в одном	2	4
89	в связи	1	4
90	в романе	10	4
91	в своей	1	4
92	например в	1	3
93	человека и	1	3
94	в котором	1	3
95	и он	3	3
96	но как	1	3
97	и как	3	3
98	при создании	1	3
99	что без	1	3
100	и по	1	3
101	его в	2	3
102	что не	1	3
103	с тем	2	3
104	и ее	2	3
105	что говорит	2	3
106	одном из	2	3
107	например что	1	3
108	это мы	1	3
109	она не	1	3
110	в виду	1	3
111	что и	2	3
112	говорит в	1	3
113	того что	1	3
114	и их	1	3
115	в конце	3	3
116	именно в	1	3
117	попал в	1	3
118	так же	4	3
119	по поводу	2	3
120	и от	1	3
121	бы в	1	3
122	только что	1	3
123	ту же	1	2
124	также что	1	2
125	чтобы не	1	2
126	а как	2	2
127	в которой	1	2
128	из своих	2	2
129	даже самый	1	2
130	подчеркнуть что	1	2
131	в ней	1	2
132	еще не	4	2
133	в чем	1	2
134	бы не	1	2
135	но не	1	2
136	в общем	1	2
137	и достоевский	1	2
138	отнюдь не	3	2
139	но в	6	2
140	он в	1	2
141	как он	1	2
142	что она	2	2
143	три года	1	2
144	он не	2	2
145	а затем	1	2
146	им как	1	2
147	в другом	1	2
148	говорил что	1	2
149	заключается в	1	2
150	ума и	1	2
151	только о	2	2
152	достоевского и	1	2
153	он и	2	2
154	года и	1	2
155	пародия на	1	2
156	всяком случае	1	2
157	не столько	1	2
158	начнем с	1	2
159	по себе	1	2
160	не менее	1	2
161	того чтобы	1	2
162	только не	1	2
163	не вполне	1	2
164	в области	1	2
165	ли это	1	2
166	в образах	1	2
167	что оно	1	2
168	что при	1	2
169	э по	1	2
170	мысль о	1	2
171	роль в	1	2
172	в образе	6	2
173	он сам	7	2
174	и даже	4	2
175	во всяком	1	2
176	на вопрос	1	2
177	лишь в	1	2
178	из себя	1	2
179	конце концов	1	2
180	о его	2	2
181	что даже	1	2
182	с одной	1	2
183	таков второй	1	2
184	замысел и	1	2
185	носит в	1	2
186	могло бы	1	2
187	к ним	1	2
188	в особенности	1	2
189	июля года	1	2
