N	2gram	Medvedev_S_1	FransuaR
1	и в	3	65
2	как бы	2	22
3	и не	1	22
4	вовсе не	1	18
5	в сущности	1	16
6	в том	5	16
7	в этом	5	15
8	прежде всего	1	11
9	все эти	1	10
10	не только	3	10
11	и его	1	10
12	так и	1	10
13	но и	2	10
14	и потому	1	10
15	в его	3	9
16	все это	7	9
17	за пределы	2	8
18	его в	1	7
19	в области	1	7
20	только в	2	7
21	еще не	2	6
22	все же	1	6
23	главным образом	2	6
24	том что	2	6
25	никогда не	1	6
26	нашей работы	1	6
27	может быть	2	6
28	литературы и	2	5
29	в них	1	5
30	как и	1	5
31	в своей	1	5
32	между тем	1	5
33	еще и	1	5
34	в частности	2	5
35	в этой	1	4
36	не в	3	4
37	связи с	1	4
38	выходит за	1	4
39	это как	1	4
40	для нас	3	4
41	между ними	1	4
42	то что	2	3
43	это не	1	3
44	далеко не	2	3
45	даже в	1	3
46	ничего не	1	3
47	с ним	1	3
48	с другой	1	3
49	что он	1	3
50	но как	1	3
51	не может	1	3
52	что в	2	3
53	на тех	1	2
54	литературе и	1	2
55	время в	1	2
56	в чем	1	2
57	но не	1	2
58	и наконец	1	2
59	в заключение	1	2
60	новое и	1	2
61	и по	1	2
62	на все	1	2
63	в этих	1	2
64	реализма и	1	2
65	в таких	1	2
66	в процессе	1	2
67	образом в	1	2
68	литературного развития	1	2
69	на что	1	2
70	о том	1	2
71	ни на	1	2
72	на отдельные	1	2
73	исторического развития	2	2
74	с одной	1	2
75	или даже	2	2
76	одной стороны	1	2
77	на этот	1	2
78	в целом	1	2
79	из тех	1	2
80	а между	1	1
81	это и	2	1
82	и должны	1	1
83	же по	1	1
84	и основательно	1	1
85	то же	2	1
86	мы не	1	1
87	первый план	1	1
88	художественный стиль	1	1
89	по отношению	2	1
90	друг от	1	1
91	в свои	1	1
92	это вовсе	1	1
93	и как	1	1
94	чуть ли	1	1
95	что без	1	1
96	развиваться в	1	1
97	но именно	1	1
98	же это	1	1
99	собой не	1	1
100	систему его	1	1
101	и более	1	1
102	ни были	1	1
103	характера это	1	1
104	было бы	2	1
105	а строго	1	1
106	переходим к	1	1
107	на первый	1	1
108	место в	1	1
109	работы в	1	1
110	очень далеки	1	1
111	еще недостаточно	1	1
112	далеки от	1	1
113	только для	1	1
114	в то	1	1
115	мысли в	1	1
116	же время	1	1
117	какой же	1	1
118	остается в	1	1
119	что на	1	1
120	все то	1	1
121	это по	1	1
122	бы они	1	1
123	опираясь на	1	1
124	от друга	1	1
125	что все	1	1
126	они ни	1	1
127	те же	1	1
128	целом все	1	1
129	единства и	1	1
130	по себе	1	1
131	настоящее время	1	1
132	должно было	1	1
133	жизни он	1	1
134	мы понимаем	1	1
135	литературе о	1	1
136	два типа	1	1
137	и остаются	1	1
138	бы в	1	1
139	и только	3	1
140	наконец в	1	1
141	именно в	1	1
142	представляет и	1	1
143	один из	1	1
144	в труде	1	1
145	всяком случае	1	1
146	не было	1	1
147	в литературоведении	2	1
148	монументальный труд	1	1
149	не из	1	1
150	в конце	2	1
151	без этого	1	1
152	у него	1	1
153	тем что	1	1
154	к которому	2	1
155	в любой	1	1
156	конечно не	1	1
157	он говорит	1	1
158	в область	1	1
159	ли не	1	1
160	даже больше	1	1
161	в связи	1	1
162	в результате	2	1
163	есть метод	1	1
164	в настоящее	1	1
165	развития и	1	1
166	хотя бы	1	1
167	отношению к	2	1
168	во всяком	1	1
169	они не	1	1
