N	2gram	Tiupa_Hudo_2	Retstnzi
1	не может	4	4
2	и в	28	3
3	один из	2	2
4	если в	2	2
5	достоевского и	1	2
6	нет и	1	1
7	художественного целого	5	1
8	и не	18	1
9	тому что	4	1
10	не только	11	1
11	ни один	1	1
12	точки зрения	2	1
13	на примере	1	1
14	во второй	2	1
15	но и	9	1
16	не менее	5	1
17	с другими	3	1
18	тех же	1	1
19	по своим	1	1
20	в ней	3	1
21	на месте	1	1
22	в то	6	1
23	с точки	2	1
24	и на	3	1
25	для него	5	1
26	на нее	1	1
27	к тому	7	1
28	а не	14	1
29	вторая половина	1	1
30	может быть	8	1
31	при анализе	1	1
32	несмотря на	3	1
33	в его	11	1
34	он в	1	1
35	же время	4	1
36	то же	6	1
37	и все	7	1
38	из этих	2	1
39	можно назвать	1	1
40	если бы	6	1
41	в каждом	1	1
42	исходя из	1	1
43	бы в	1	1
