N	4gram	Vygotskiy__4	EvropaiE
1	с одной стороны и	2	6
2	с этой точки зрения	4	5
3	бы то ни было	1	4
4	так же как и	4	3
5	само по себе не	1	2
6	заключается в том что	13	2
7	к тому или иному	2	1
8	и только в качестве	1	1
9	одного и того же	5	1
10	как это мы видим	1	1
11	в том числе и	2	1
12	в том смысле что	1	1
13	один и тот же	7	1
14	одна и та же	1	1
15	в то время как	1	1
16	в том случае если	1	1
17	одну и ту же	1	1
18	на то что в	1	1
19	мы можем сказать что	1	1
20	но само по себе	1	1
21	не заключает в себе	1	1
22	о котором мы говорили	1	1
23	не говоря уже о	1	1
24	и во многих других	1	1
