N	2gram	Savitsky_P_1	Mirosoze
1	и в	14	46
2	в нем	3	22
3	может быть	5	21
4	в этом	10	20
5	не только	17	18
6	и не	12	18
7	никогда не	1	18
8	но и	6	15
9	не может	4	15
10	как и	1	13
11	ведет к	1	13
12	а не	2	13
13	не есть	1	13
14	друг друга	1	12
15	прежде всего	3	12
16	потому что	3	12
17	не было	2	11
18	в ней	6	11
19	но в	9	10
20	в себе	3	10
21	он был	1	9
22	не в	5	9
23	и есть	2	8
24	и достоевский	1	8
25	в своем	4	8
26	она не	1	8
27	переходит в	1	8
28	как бы	4	8
29	связана с	1	7
30	в мире	2	7
31	и к	4	7
32	в этой	1	7
33	хотя бы	8	7
34	и потому	4	7
35	вопрос о	1	6
36	что это	1	6
37	в русской	4	6
38	и здесь	1	6
39	в народе	1	6
40	так же	1	6
41	во христе	1	6
42	того что	2	6
43	по преимуществу	1	5
44	то же	9	5
45	есть не	2	5
46	в самом	1	5
47	бы и	1	5
48	и вот	2	5
49	что все	1	5
50	в отношении	10	5
51	есть прежде	1	5
52	русский народ	2	5
53	и это	2	5
54	те же	1	5
55	это не	3	5
56	в его	2	5
57	для того	3	5
58	то что	4	5
59	также и	1	4
60	к чему	2	4
61	с его	1	4
62	думать что	2	4
63	в жизни	2	4
64	том что	4	4
65	не имеет	1	4
66	того чтобы	1	4
67	бога не	1	4
68	должен быть	1	4
69	для этого	1	4
70	в русском	2	4
71	себя в	1	4
72	что и	1	4
73	они не	1	4
74	т е	3	4
75	что в	4	4
76	же как	1	3
77	начала в	1	3
78	в судьбах	6	3
79	и на	1	3
80	духа и	2	3
81	идеи и	1	3
82	в россии	3	3
83	в каждом	1	3
84	и с	2	3
85	его в	1	3
86	русской революции	2	3
87	в них	2	3
88	любовь и	1	3
89	что было	1	3
90	и всегда	1	3
91	судьбы человеческой	1	3
92	было в	2	3
93	если бы	4	3
94	в том	9	3
95	только в	7	3
96	есть в	2	3
97	творчестве достоевского	1	3
98	русской истории	1	3
99	с которым	1	3
100	нет ничего	1	3
101	в творчестве	1	3
102	отношении к	5	3
103	есть и	1	3
104	я и	3	2
105	отношения к	2	2
106	от этой	1	2
107	в сфере	2	2
108	науки и	1	2
109	только это	2	2
110	во всех	2	2
111	на сторону	1	2
112	россии и	4	2
113	она есть	3	2
114	более чем	2	2
115	под его	1	2
116	как к	1	2
117	революция есть	4	2
118	хотя и	3	2
119	и этим	1	2
120	духа в	1	2
121	в которой	1	2
122	если он	1	2
123	но на	1	2
124	и если	4	2
125	не к	2	2
126	и славянофилы	1	2
127	с собой	1	2
128	еще более	2	2
129	должно быть	2	2
130	не будут	1	2
131	в этих	1	2
132	точки зрения	3	2
133	место в	1	2
134	о русском	1	2
135	что есть	1	2
136	эта мысль	1	2
137	тогда когда	1	2
138	есть путь	1	2
139	– все	1	2
140	к соединению	1	2
141	мысль о	2	2
142	еще в	1	2
143	в которые	1	2
144	быть может	6	2
145	по себе	4	2
146	и что	1	2
147	мы видим	1	2
148	тот же	3	2
149	жизни она	1	2
150	между тем	3	2
151	уже в	1	2
152	и других	2	2
153	и мир	1	2
154	не о	2	2
155	противоречии с	1	2
156	были бы	1	2
157	или иной	1	2
158	что не	1	2
159	не означает	1	2
160	быть отвергнут	1	2
161	вместе с	1	2
162	да и	2	2
163	из этой	1	2
164	социализма в	1	2
165	но для	1	2
166	бы за	1	2
167	а в	4	2
168	вопрос вопрос	1	2
169	отношением к	1	2
170	которых не	1	1
171	и то	1	1
172	другие народы	2	1
173	единения эта	1	1
174	должна быть	1	1
175	христианства в	1	1
176	к народу	1	1
177	очень далеко	1	1
178	мы не	3	1
179	что если	1	1
180	говорить о	2	1
181	и ее	1	1
182	процесс этот	1	1
183	два явления	1	1
184	не все	1	1
185	если в	2	1
186	россия есть	1	1
187	к осуществлению	1	1
188	государства и	1	1
189	с этим	2	1
190	кто не	1	1
191	склонность к	1	1
192	могли бы	1	1
193	вопросом о	1	1
194	и как	3	1
195	многие из	1	1
196	есть утверждение	1	1
197	формы в	1	1
198	во многих	1	1
199	однако же	1	1
200	в жертву	1	1
201	только один	1	1
202	мира но	1	1
203	на то	1	1
204	царская власть	1	1
205	и другим	1	1
206	они ведут	1	1
207	есть та	1	1
208	русской стихии	1	1
209	европейской культуры	4	1
210	наших глазах	1	1
211	христа и	1	1
212	к составлению	1	1
213	прошлое настоящее	1	1
214	и менее	1	1
215	этого отношения	1	1
216	было бы	6	1
217	к миру	1	1
218	начала и	2	1
219	и тем	2	1
220	на бога	1	1
221	с тем	3	1
222	и уже	1	1
223	провозгласить и	1	1
224	в развитии	1	1
225	на себя	1	1
226	и без	3	1
227	во времена	1	1
228	в котором	4	1
229	с точки	3	1
230	религия это	1	1
231	прийти к	1	1
232	в которых	5	1
233	не осуществляется	1	1
234	и более	1	1
235	достижение в	1	1
236	иной раз	1	1
237	свое призвание	1	1
238	национальной стихии	1	1
239	одна сторона	1	1
240	его нет	1	1
241	для каждого	1	1
242	и именно	1	1
243	та или	1	1
244	на путях	4	1
245	или иная	1	1
246	и будущее	1	1
247	и народной	1	1
248	духа а	1	1
249	xix веке	2	1
250	и теперь	1	1
251	народной стихии	1	1
252	слова о	1	1
253	бытия не	1	1
254	есть у	1	1
255	в движении	1	1
256	раскрывается в	1	1
257	в момент	1	1
258	будущее в	1	1
259	по характеру	2	1
260	но также	4	1
261	по сравнению	2	1
262	все еще	1	1
263	в ее	2	1
264	тем в	1	1
265	духа есть	1	1
266	х и	2	1
267	в пределах	8	1
268	в xix	2	1
269	на нее	1	1
270	не с	1	1
271	по природе	1	1
272	живет в	1	1
273	в борьбе	1	1
274	когда в	1	1
275	в эпоху	1	1
276	находится в	1	1
277	именно потому	1	1
278	а также	4	1
279	но к	2	1
280	она всегда	1	1
281	и который	1	1
282	может не	1	1
283	в значительной	2	1
284	это в	1	1
285	и только	1	1
286	русского национального	1	1
287	интеллигенции и	1	1
288	и первое	1	1
289	экономического и	3	1
290	в какой	1	1
291	одних и	2	1
292	русская революция	4	1
293	в природе	1	1
294	бы ни	2	1
295	в творениях	1	1
296	пути но	1	1
297	идеи в	1	1
298	есть проблема	1	1
299	в противоречии	1	1
300	но есть	1	1
301	этом мире	1	1
302	мир в	1	1
303	в явлении	1	1
304	в прошлом	1	1
305	от тех	1	1
306	для них	2	1
307	из нее	1	1
308	народы мира	1	1
309	церкви и	2	1
310	бы это	1	1
311	в государство	1	1
312	не были	1	1
313	возможно что	1	1
314	с другой	5	1
315	русской интеллигенции	1	1
316	вслед за	3	1
317	и быть	1	1
318	нельзя отождествлять	1	1
319	а с	1	1
320	и недостаточно	1	1
321	есть глубокое	1	1
322	европы и	1	1
323	к более	1	1
324	личности не	1	1
325	перед тем	1	1
326	и политического	4	1
327	может ли	2	1
328	также в	1	1
329	но идея	1	1
330	настоящее и	1	1
331	вполне и	1	1
332	ни на	1	1
333	в европе	2	1
334	того чем	1	1
335	xix века	6	1
336	сравнению с	1	1
337	в церковь	1	1
338	к конечному	1	1
339	к русскому	1	1
340	в тот	2	1
341	русский но	1	1
342	его другим	1	1
343	многих других	1	1
344	распадается на	1	1
345	на человеческую	1	1
346	мира с	2	1
347	стремления к	1	1
348	все это	2	1
349	есть знак	1	1
350	которые были	1	1
351	эти ценности	1	1
352	она должна	1	1
353	культуры и	1	1
354	мы должны	4	1
355	ни к	1	1
356	только что	1	1
357	всеми его	1	1
358	они как	1	1
359	и русского	2	1
360	культуры в	2	1
361	и жизнь	1	1
362	к этой	1	1
363	видим в	1	1
364	как на	2	1
