N	3gram	Tiupa_Hudo_2	Hudozhes
1	по отношению к	7	10
2	присутствия в мире	1	7
3	то же время	4	6
4	в то же	4	6
5	с другой стороны	1	5
6	той или иной	1	5
7	в том что	11	5
8	состоит в том	2	4
9	роли в миропорядке	2	4
10	так и не	4	4
11	с точки зрения	2	3
12	несет в себе	1	3
13	в конечном счете	3	3
14	тем не менее	3	3
15	того или иного	2	3
16	можно сказать что	1	3
17	себя в другом	1	2
18	мы имеем дело	1	2
19	тот или иной	1	2
20	в таком случае	1	2
21	и в то	2	2
22	значении этого термина	1	2
23	в значительной степени	1	2
24	не могло быть	1	2
25	героя тогда как	1	2
26	с одной стороны	3	2
27	а с другой	1	2
28	так или иначе	1	2
29	приводит к тому	1	2
30	для того чтобы	3	2
31	на наших глазах	1	2
32	том числе и	1	2
33	по сути дела	1	2
34	в том числе	1	2
35	к тому что	4	2
36	ее полные розовые	1	1
37	дистанции между ними	1	1
38	во времени или	1	1
39	мягким взглядом очень	1	1
40	не в состоянии	1	1
41	самим собою в	1	1
42	личности с ее	1	1
43	в рассказе душечка	1	1
44	это было бы	1	1
45	в точке этого	1	1
46	к другому человеку	1	1
47	строгом нерасширительном значении	1	1
48	подобно тому как	4	1
49	в настоящее время	1	1
50	составляет своего рода	2	1
51	в этом случае	1	1
52	шею с темной	1	1
53	мягкую белую шею	1	1
54	внешней данности их	1	1
55	розовые щеки на	1	1
56	добродушная жалостливая барышня	1	1
57	том случае если	1	1
58	иной эстетической природы	1	1
59	в эстетическое отношение	1	1
60	что он не	1	1
61	при этом что	1	1
62	бы то ни	1	1
63	как персонаж сатирический	1	1
64	у нее нет	1	1
65	темной родинкой и	1	1
66	с самим собою	1	1
67	точно так же	1	1
68	на всех людей	1	1
69	из этих двух	1	1
70	то или иное	1	1
71	с темной родинкой	1	1
72	что одна из	1	1
73	в том случае	1	1
74	щеки на мягкую	1	1
75	тогда как в	2	1
76	полные розовые щеки	1	1
77	взглядом очень здоровая	1	1
78	едва ли не	1	1
79	в самом начале	1	1
80	содержит в себе	1	1
81	в своего рода	1	1
82	что душевная характеристика	1	1
83	другого в себе	1	1
84	на ее полные	1	1
85	не более чем	2	1
86	текста характеризующийся единством	1	1
87	целостности произведений искусства	1	1
88	имеем дело с	1	1
89	дамы с собачкой	1	1
90	это своего рода	1	1
91	тихая добродушная жалостливая	1	1
92	не для себя	1	1
93	та или иная	1	1
94	и не могла	1	1
95	в миропорядке то	1	1
96	во втором эпизоде	1	1
97	в другом и	1	1
98	а всего лишь	2	1
99	барышня с кротким	1	1
100	глядя на ее	1	1
101	как бы в	1	1
102	на этом пути	1	1
103	так же как	2	1
104	и не наступает	1	1
105	и в том	1	1
106	в строгом нерасширительном	1	1
107	казалось бы место	1	1
108	что несмотря на	1	1
109	в то время	1	1
110	она могла бы	1	1
111	а в том	1	1
112	не несет в	1	1
113	иронии в рассказе	1	1
114	это была тихая	1	1
115	определений таков что	1	1
116	для себя а	1	1
117	обратим внимание на	1	1
118	в нашем примере	1	1
119	не во внешних	1	1
120	о том что	7	1
121	в себе самом	1	1
122	и в самом	1	1
123	кротким мягким взглядом	1	1
124	к чужому слову	1	1
125	жалостливая барышня с	1	1
126	именно потому что	1	1
127	в мире я	1	1
128	таков что душевная	1	1
129	на мягкую белую	1	1
130	героев дамы с	1	1
131	друг от друга	1	1
132	между автором и	2	1
133	в смерти чиновника	1	1
134	была тихая добродушная	1	1
135	только о том	1	1
136	в котором по	1	1
137	легко может быть	1	1
138	белую шею с	1	1
139	с собачкой и	1	1
140	с кротким мягким	1	1
141	в соответствии с	3	1
142	не может быть	3	1
143	человека и его	1	1
144	как и в	3	1
145	к тому же	2	1
146	себя а для	1	1
147	с самим собой	1	1
