N	2gram	Bakhtin_Pr_5	ViktorSh
1	конце концов	3	2
2	и в	35	2
3	том что	3	2
4	в том	5	2
5	в конце	5	2
6	и только	1	1
7	крайней мере	1	1
8	тем более	1	1
9	в устах	1	1
10	и почти	1	1
11	все дело	1	1
12	стилистики в	1	1
13	под влиянием	3	1
14	в другом	12	1
15	хотя бы	2	1
16	и не	27	1
17	новых приемов	1	1
18	все время	4	1
19	и его	14	1
20	потому что	8	1
21	не даром	1	1
22	я не	8	1
23	сводится к	3	1
24	не хочу	4	1
25	один пример	1	1
26	и то	5	1
27	самом деле	10	1
28	и т.д	3	1
29	все это	14	1
30	главным образом	1	1
31	по своим	1	1
32	и сводится	1	1
33	в их	1	1
34	дело в	1	1
35	говорили в	1	1
36	так в	2	1
37	одно и	3	1
38	стоит на	1	1
39	концов его	1	1
40	столь же	2	1
41	же все	1	1
42	ведь это	1	1
43	в которых	2	1
44	в значительной	1	1
45	в самом	6	1
46	только в	6	1
47	то же	15	1
48	слово по	1	1
49	так как	4	1
50	далеко не	1	1
51	что слово	1	1
52	бы уже	4	1
53	ли над	1	1
54	к чему	1	1
55	с несколько	1	1
56	но это	6	1
57	в этом	14	1
58	они на	1	1
59	находится под	1	1
60	да и	5	1
61	по крайней	1	1
62	на одном	1	1
63	и заключается	1	1
64	то я	1	1
65	к этому	1	1
66	значительной степени	1	1
67	том же	1	1
